Exit stations,Entry stations->,,SUNDAY,,,Apr 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	10 , 	29 , 	33 , 	17 , 	113 , 	23 , 	31 , 	26 , 	22 , 	17 , 	27 , 	23 , 	10 , 	7 , 	8 , 	3 , 	5 , 	5 , 	6 , 	5 , 	4 , 	2 , 	1 , 	7 , 	7 , 	64 , 	37 , 	106 , 	48 , 	34 , 	37 , 	13 , 	10 , 	12 , 	4 , 	2 , 	5 , 	2 , 	2 , 	4 , 	6 , 	27 , 	6 , 	1 , 	3 , 	3 , 	4 , 	9 , 	3 , 	3 , 	884 ,,,,,,,,,,,
EN, 	29 , 	12 , 	21 , 	18 , 	114 , 	29 , 	42 , 	38 , 	41 , 	16 , 	31 , 	46 , 	13 , 	12 , 	11 , 	3 , 	9 , 	7 , 	9 , 	4 , 	4 , 	4 , 	1 , 	6 , 	9 , 	97 , 	72 , 	209 , 	77 , 	51 , 	36 , 	10 , 	14 , 	14 , 	10 , 	1 , 	8 , 	1 , 	5 , 	3 , 	6 , 	44 , 	6 , 	2 , 	14 , 	6 , 	7 , 	16 , 	2 , 	5 ," 	1,246 ",,,,,,,,,,,
EP, 	36 , 	21 , 	8 , 	19 , 	106 , 	23 , 	21 , 	31 , 	28 , 	14 , 	16 , 	31 , 	7 , 	4 , 	5 , 	3 , 	3 , 	3 , 	3 , 	4 , 	4 , 	4 , 	1 , 	6 , 	3 , 	56 , 	43 , 	83 , 	51 , 	25 , 	15 , 	5 , 	6 , 	5 , 	1 , 	1 , 	5 , 	0 , 	3 , 	1 , 	2 , 	33 , 	3 , 	2 , 	12 , 	1 , 	6 , 	10 , 	0 , 	2 , 	777 ,,,,,,,,,,,
NB, 	18 , 	22 , 	21 , 	6 , 	23 , 	15 , 	20 , 	32 , 	22 , 	9 , 	16 , 	25 , 	7 , 	4 , 	3 , 	4 , 	3 , 	5 , 	3 , 	3 , 	5 , 	1 , 	-   , 	3 , 	7 , 	72 , 	55 , 	90 , 	68 , 	41 , 	33 , 	9 , 	7 , 	6 , 	2 , 	1 , 	4 , 	1 , 	1 , 	0 , 	1 , 	34 , 	6 , 	2 , 	15 , 	3 , 	7 , 	7 , 	1 , 	2 , 	743 ,,,,,,,,,,,
BK, 	119 , 	124 , 	118 , 	26 , 	37 , 	46 , 	64 , 	74 , 	94 , 	33 , 	51 , 	40 , 	29 , 	22 , 	20 , 	10 , 	19 , 	30 , 	8 , 	5 , 	16 , 	8 , 	3 , 	6 , 	21 , 	225 , 	176 , 	284 , 	180 , 	110 , 	62 , 	41 , 	22 , 	32 , 	5 , 	5 , 	22 , 	3 , 	2 , 	5 , 	9 , 	136 , 	36 , 	9 , 	90 , 	15 , 	51 , 	78 , 	1 , 	3 ," 	2,625 ",,,,,,,,,,,
AS, 	22 , 	25 , 	24 , 	13 , 	47 , 	8 , 	20 , 	34 , 	26 , 	17 , 	28 , 	22 , 	9 , 	4 , 	6 , 	2 , 	6 , 	4 , 	2 , 	2 , 	4 , 	1 , 	1 , 	3 , 	10 , 	73 , 	58 , 	78 , 	78 , 	51 , 	32 , 	9 , 	7 , 	10 , 	2 , 	2 , 	4 , 	-   , 	2 , 	1 , 	4 , 	33 , 	6 , 	1 , 	16 , 	3 , 	5 , 	10 , 	1 , 	2 , 	828 ,,,,,,,,,,,
MA, 	40 , 	37 , 	22 , 	21 , 	63 , 	23 , 	11 , 	38 , 	37 , 	17 , 	42 , 	49 , 	15 , 	18 , 	13 , 	6 , 	8 , 	6 , 	15 , 	13 , 	17 , 	10 , 	5 , 	19 , 	17 , 	138 , 	104 , 	170 , 	114 , 	106 , 	62 , 	22 , 	11 , 	14 , 	4 , 	1 , 	6 , 	4 , 	7 , 	3 , 	6 , 	62 , 	6 , 	4 , 	20 , 	6 , 	9 , 	18 , 	3 , 	13 ," 	1,474 ",,,,,,,,,,,
19, 	24 , 	36 , 	28 , 	29 , 	82 , 	38 , 	33 , 	19 , 	8 , 	7 , 	19 , 	39 , 	23 , 	19 , 	14 , 	10 , 	10 , 	12 , 	9 , 	9 , 	16 , 	7 , 	5 , 	25 , 	19 , 	147 , 	94 , 	188 , 	131 , 	131 , 	81 , 	25 , 	18 , 	18 , 	4 , 	2 , 	6 , 	1 , 	7 , 	4 , 	6 , 	61 , 	10 , 	1 , 	21 , 	5 , 	13 , 	17 , 	3 , 	3 ," 	1,536 ",,,,,,,,,,,
12, 	23 , 	33 , 	30 , 	24 , 	87 , 	26 , 	36 , 	7 , 	15 , 	5 , 	14 , 	27 , 	22 , 	24 , 	16 , 	9 , 	9 , 	14 , 	12 , 	13 , 	13 , 	5 , 	4 , 	21 , 	20 , 	139 , 	85 , 	209 , 	115 , 	84 , 	48 , 	16 , 	17 , 	11 , 	8 , 	1 , 	6 , 	2 , 	7 , 	5 , 	13 , 	64 , 	9 , 	1 , 	13 , 	6 , 	11 , 	14 , 	4 , 	9 ," 	1,405 ",,,,,,,,,,,
LM, 	16 , 	16 , 	8 , 	8 , 	29 , 	13 , 	13 , 	6 , 	8 , 	10 , 	61 , 	79 , 	60 , 	54 , 	26 , 	18 , 	14 , 	16 , 	3 , 	4 , 	3 , 	1 , 	1 , 	6 , 	18 , 	111 , 	85 , 	185 , 	114 , 	85 , 	54 , 	17 , 	19 , 	13 , 	2 , 	23 , 	36 , 	0 , 	2 , 	2 , 	2 , 	11 , 	2 , 	13 , 	21 , 	15 , 	16 , 	19 , 	1 , 	1 ," 	1,338 ",,,,,,,,,,,
FV, 	22 , 	35 , 	11 , 	16 , 	50 , 	29 , 	41 , 	25 , 	15 , 	53 , 	15 , 	80 , 	54 , 	70 , 	46 , 	28 , 	14 , 	19 , 	7 , 	3 , 	7 , 	1 , 	3 , 	12 , 	37 , 	97 , 	72 , 	176 , 	119 , 	66 , 	52 , 	15 , 	14 , 	13 , 	3 , 	13 , 	36 , 	0 , 	4 , 	4 , 	5 , 	16 , 	3 , 	22 , 	8 , 	12 , 	15 , 	26 , 	2 , 	4 ," 	1,489 ",,,,,,,,,,,
CL, 	26 , 	46 , 	35 , 	29 , 	34 , 	19 , 	48 , 	43 , 	37 , 	58 , 	70 , 	17 , 	78 , 	66 , 	42 , 	35 , 	36 , 	46 , 	17 , 	14 , 	16 , 	10 , 	3 , 	30 , 	27 , 	82 , 	54 , 	131 , 	66 , 	35 , 	35 , 	18 , 	8 , 	18 , 	2 , 	36 , 	128 , 	7 , 	14 , 	5 , 	3 , 	12 , 	6 , 	50 , 	36 , 	24 , 	31 , 	52 , 	2 , 	12 ," 	1,751 ",,,,,,,,,,,
SL, 	11 , 	9 , 	5 , 	5 , 	24 , 	9 , 	20 , 	25 , 	26 , 	53 , 	46 , 	84 , 	9 , 	33 , 	39 , 	20 , 	13 , 	14 , 	4 , 	3 , 	3 , 	1 , 	0 , 	5 , 	9 , 	79 , 	55 , 	139 , 	62 , 	26 , 	21 , 	6 , 	11 , 	10 , 	1 , 	17 , 	22 , 	1 , 	2 , 	1 , 	5 , 	12 , 	3 , 	15 , 	6 , 	13 , 	10 , 	13 , 	3 , 	4 ," 	1,002 ",,,,,,,,,,,
BF, 	10 , 	11 , 	6 , 	5 , 	17 , 	5 , 	19 , 	24 , 	25 , 	57 , 	75 , 	64 , 	32 , 	13 , 	33 , 	14 , 	20 , 	22 , 	7 , 	1 , 	3 , 	0 , 	0 , 	3 , 	9 , 	74 , 	55 , 	157 , 	49 , 	25 , 	16 , 	6 , 	9 , 	7 , 	3 , 	11 , 	34 , 	0 , 	2 , 	2 , 	2 , 	9 , 	1 , 	20 , 	11 , 	14 , 	14 , 	20 , 	1 , 	4 ," 	1,025 ",,,,,,,,,,,
HY, 	11 , 	15 , 	4 , 	5 , 	22 , 	5 , 	12 , 	18 , 	16 , 	24 , 	51 , 	44 , 	38 , 	32 , 	10 , 	22 , 	30 , 	38 , 	3 , 	4 , 	2 , 	2 , 	0 , 	5 , 	7 , 	43 , 	28 , 	55 , 	30 , 	12 , 	10 , 	3 , 	4 , 	3 , 	1 , 	3 , 	13 , 	0 , 	2 , 	1 , 	2 , 	4 , 	2 , 	9 , 	7 , 	21 , 	29 , 	30 , 	2 , 	4 , 	739 ,,,,,,,,,,,
SH, 	3 , 	4 , 	3 , 	3 , 	10 , 	2 , 	4 , 	10 , 	10 , 	17 , 	25 , 	29 , 	16 , 	16 , 	20 , 	9 , 	16 , 	22 , 	2 , 	2 , 	3 , 	-   , 	0 , 	1 , 	2 , 	28 , 	14 , 	45 , 	18 , 	7 , 	7 , 	2 , 	4 , 	5 , 	2 , 	4 , 	7 , 	0 , 	2 , 	0 , 	1 , 	4 , 	1 , 	8 , 	4 , 	17 , 	18 , 	27 , 	1 , 	3 , 	457 ,,,,,,,,,,,
UC, 	6 , 	10 , 	2 , 	2 , 	21 , 	5 , 	6 , 	10 , 	10 , 	13 , 	15 , 	36 , 	13 , 	21 , 	32 , 	12 , 	8 , 	19 , 	0 , 	2 , 	1 , 	0 , 	0 , 	2 , 	4 , 	44 , 	35 , 	57 , 	28 , 	10 , 	8 , 	5 , 	2 , 	9 , 	1 , 	3 , 	8 , 	0 , 	2 , 	1 , 	0 , 	6 , 	1 , 	5 , 	7 , 	20 , 	20 , 	26 , 	-   , 	2 , 	552 ,,,,,,,,,,,
FM, 	5 , 	7 , 	4 , 	4 , 	28 , 	7 , 	6 , 	12 , 	11 , 	14 , 	17 , 	42 , 	13 , 	23 , 	43 , 	20 , 	19 , 	18 , 	5 , 	1 , 	1 , 	-   , 	0 , 	2 , 	2 , 	73 , 	34 , 	62 , 	41 , 	14 , 	8 , 	4 , 	4 , 	6 , 	3 , 	4 , 	8 , 	1 , 	0 , 	0 , 	1 , 	15 , 	1 , 	2 , 	9 , 	19 , 	36 , 	33 , 	0 , 	2 , 	684 ,,,,,,,,,,,
