Muni Fast Pass Adult/Clipper OD,,,,,,Nov 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,25,99,117,410,757,670,981,"3,098"
MT,31,38,60,108,501,961,910,"1,791","4,399"
PL,160,89,47,82,444,661,530,"1,485","3,498"
CC,85,92,78,26,233,441,364,868,"2,188"
16,360,391,524,255,14,140,159,383,"2,225"
24,580,724,797,427,149,19,120,418,"3,234"
GP,573,671,673,331,155,133,15,88,"2,639"
BP,836,"1,038","1,962",810,381,426,90,47,"5,590"
Entries,"2,665","3,067","4,240","2,156","2,288","3,538","2,858","6,061","26,872"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,5,31,31,150,180,125,273,810
MT,8,18,17,14,158,223,211,718,"1,365"
PL,44,18,45,33,411,603,439,"1,180","2,773"
CC,23,11,38,24,151,217,118,285,866
16,130,93,447,174,19,114,109,225,"1,311"
24,157,138,642,228,97,20,89,241,"1,612"
GP,106,109,536,106,96,90,16,36,"1,094"
BP,217,277,"1,461",249,196,213,35,38,"2,684"
Entries,700,669,"3,216",858,"1,277","1,659","1,142","2,995","12,514"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,16,4,22,19,78,109,68,167,482
MT,3,15,12,17,89,149,143,466,894
PL,24,7,54,30,296,441,300,779,"1,930"
CC,13,8,28,25,124,173,96,252,716
16,86,47,338,136,25,72,79,183,966
24,116,96,500,182,69,24,74,167,"1,228"
GP,81,77,401,99,79,69,14,31,851
BP,169,180,"1,135",207,167,151,24,33,"2,064"
Entries,507,433,"2,490",714,926,"1,188",797,"2,078","9,131"
