Exit stations,Entry stations->,,SATURDAY,,,Jul 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	7 , 	73 , 	70 , 	33 , 	232 , 	59 , 	67 , 	43 , 	66 , 	16 , 	72 , 	48 , 	21 , 	16 , 	19 , 	24 , 	7 , 	15 , 	13 , 	4 , 	14 , 	4 , 	6 , 	11 , 	17 , 	170 , 	119 , 	297 , 	114 , 	102 , 	113 , 	28 , 	29 , 	23 , 	9 , 	3 , 	7 , 	1 , 	26 , 	6 , 	10 , 	36 , 	8 , 	4 , 	9 , 	-   ," 	2,070 ",,,,,,,,,,
EN, 	70 , 	16 , 	73 , 	58 , 	405 , 	110 , 	108 , 	96 , 	149 , 	29 , 	99 , 	128 , 	36 , 	34 , 	33 , 	40 , 	12 , 	31 , 	22 , 	9 , 	19 , 	10 , 	8 , 	22 , 	28 , 	394 , 	279 , 	657 , 	222 , 	117 , 	116 , 	42 , 	45 , 	39 , 	17 , 	6 , 	12 , 	3 , 	29 , 	12 , 	17 , 	77 , 	19 , 	7 , 	27 , 	-   ," 	3,784 ",,,,,,,,,,
EP, 	77 , 	66 , 	12 , 	45 , 	375 , 	64 , 	67 , 	84 , 	99 , 	22 , 	42 , 	78 , 	17 , 	12 , 	9 , 	19 , 	6 , 	19 , 	7 , 	8 , 	14 , 	9 , 	9 , 	22 , 	9 , 	249 , 	175 , 	342 , 	152 , 	68 , 	52 , 	22 , 	10 , 	13 , 	7 , 	3 , 	10 , 	2 , 	8 , 	2 , 	7 , 	66 , 	14 , 	6 , 	24 , 	-   ," 	2,425 ",,,,,,,,,,
NB, 	29 , 	61 , 	40 , 	13 , 	115 , 	41 , 	46 , 	81 , 	57 , 	22 , 	51 , 	81 , 	18 , 	17 , 	14 , 	16 , 	5 , 	19 , 	11 , 	7 , 	22 , 	8 , 	5 , 	13 , 	12 , 	337 , 	222 , 	320 , 	211 , 	133 , 	101 , 	38 , 	12 , 	15 , 	5 , 	6 , 	16 , 	3 , 	10 , 	4 , 	3 , 	82 , 	21 , 	5 , 	30 , 	-   ," 	2,378 ",,,,,,,,,,
BK, 	238 , 	421 , 	384 , 	128 , 	49 , 	216 , 	215 , 	255 , 	258 , 	99 , 	174 , 	179 , 	86 , 	66 , 	59 , 	101 , 	31 , 	137 , 	54 , 	48 , 	79 , 	42 , 	34 , 	33 , 	63 , 	860 , 	444 ," 	1,116 ", 	501 , 	314 , 	217 , 	88 , 	48 , 	66 , 	11 , 	20 , 	107 , 	14 , 	44 , 	14 , 	20 , 	150 , 	109 , 	26 , 	50 , 	-   ," 	7,669 ",,,,,,,,,,
AS, 	59 , 	103 , 	58 , 	38 , 	174 , 	15 , 	59 , 	113 , 	94 , 	27 , 	74 , 	79 , 	25 , 	25 , 	22 , 	21 , 	9 , 	14 , 	14 , 	9 , 	15 , 	8 , 	6 , 	7 , 	28 , 	255 , 	184 , 	324 , 	222 , 	150 , 	103 , 	27 , 	16 , 	19 , 	2 , 	5 , 	11 , 	3 , 	13 , 	3 , 	6 , 	47 , 	14 , 	8 , 	22 , 	-   ," 	2,530 ",,,,,,,,,,
MA, 	82 , 	116 , 	60 , 	45 , 	208 , 	65 , 	18 , 	86 , 	99 , 	31 , 	114 , 	151 , 	42 , 	48 , 	40 , 	32 , 	8 , 	29 , 	40 , 	33 , 	47 , 	31 , 	16 , 	43 , 	39 , 	461 , 	302 , 	582 , 	392 , 	255 , 	177 , 	51 , 	35 , 	26 , 	8 , 	8 , 	20 , 	10 , 	69 , 	9 , 	13 , 	75 , 	25 , 	5 , 	22 , 	-   ," 	4,068 ",,,,,,,,,,
19, 	50 , 	92 , 	90 , 	88 , 	242 , 	105 , 	89 , 	22 , 	25 , 	18 , 	86 , 	159 , 	64 , 	57 , 	48 , 	41 , 	22 , 	31 , 	41 , 	44 , 	54 , 	41 , 	32 , 	73 , 	63 , 	398 , 	269 , 	505 , 	411 , 	253 , 	207 , 	63 , 	36 , 	41 , 	8 , 	10 , 	24 , 	9 , 	39 , 	8 , 	13 , 	55 , 	26 , 	10 , 	17 , 	-   ," 	4,079 ",,,,,,,,,,
12, 	70 , 	141 , 	96 , 	67 , 	222 , 	92 , 	87 , 	17 , 	24 , 	14 , 	91 , 	159 , 	73 , 	103 , 	52 , 	53 , 	26 , 	40 , 	63 , 	57 , 	60 , 	32 , 	27 , 	55 , 	67 , 	426 , 	308 , 	612 , 	335 , 	181 , 	156 , 	68 , 	57 , 	41 , 	14 , 	15 , 	23 , 	15 , 	59 , 	16 , 	21 , 	74 , 	49 , 	7 , 	17 , 	-   ," 	4,281 ",,,,,,,,,,
LM, 	17 , 	38 , 	27 , 	25 , 	99 , 	29 , 	30 , 	17 , 	15 , 	12 , 	100 , 	226 , 	126 , 	140 , 	59 , 	55 , 	22 , 	47 , 	10 , 	10 , 	17 , 	7 , 	6 , 	16 , 	25 , 	346 , 	274 , 	525 , 	300 , 	189 , 	131 , 	38 , 	32 , 	27 , 	3 , 	63 , 	79 , 	2 , 	12 , 	3 , 	6 , 	26 , 	8 , 	43 , 	17 , 	-   ," 	3,301 ",,,,,,,,,,
FV, 	64 , 	106 , 	44 , 	47 , 	163 , 	79 , 	98 , 	96 , 	103 , 	79 , 	21 , 	238 , 	143 , 	203 , 	117 , 	86 , 	24 , 	57 , 	27 , 	14 , 	30 , 	17 , 	12 , 	28 , 	80 , 	396 , 	312 , 	685 , 	352 , 	201 , 	175 , 	40 , 	43 , 	38 , 	6 , 	50 , 	80 , 	5 , 	37 , 	8 , 	13 , 	46 , 	15 , 	55 , 	10 , 	-   ," 	4,542 ",,,,,,,,,,
CL, 	48 , 	134 , 	76 , 	83 , 	178 , 	81 , 	156 , 	157 , 	169 , 	169 , 	244 , 	15 , 	214 , 	251 , 	172 , 	164 , 	43 , 	124 , 	74 , 	79 , 	100 , 	61 , 	41 , 	78 , 	81 , 	392 , 	220 , 	528 , 	275 , 	146 , 	144 , 	65 , 	40 , 	70 , 	6 , 	110 , 	319 , 	44 , 	92 , 	12 , 	14 , 	31 , 	30 , 	133 , 	26 , 	-   ," 	5,690 ",,,,,,,,,,
SL, 	18 , 	36 , 	17 , 	19 , 	82 , 	30 , 	47 , 	67 , 	100 , 	125 , 	143 , 	208 , 	11 , 	102 , 	103 , 	51 , 	16 , 	33 , 	15 , 	14 , 	12 , 	3 , 	5 , 	19 , 	25 , 	259 , 	189 , 	462 , 	163 , 	69 , 	59 , 	25 , 	29 , 	19 , 	5 , 	30 , 	42 , 	3 , 	17 , 	4 , 	9 , 	35 , 	7 , 	35 , 	8 , 	-   ," 	2,767 ",,,,,,,,,,
