Muni Fast Pass Adult/Clipper OD,,,,,,May 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,44,22,87,112,424,740,673,926,"3,029"
MT,33,45,54,103,491,983,920,"1,678","4,307"
PL,130,84,47,66,440,644,505,"1,397","3,313"
CC,86,84,76,32,243,408,356,878,"2,162"
16,358,393,530,271,19,165,167,397,"2,299"
24,596,711,772,425,178,22,127,405,"3,236"
GP,571,683,631,329,170,152,17,89,"2,641"
BP,800,966,"1,851",811,382,439,93,48,"5,390"
Entries,"2,616","2,989","4,048","2,149","2,347","3,553","2,857","5,819","26,378"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,4,37,23,159,197,134,263,840
MT,6,19,19,16,162,228,214,743,"1,406"
PL,45,13,53,34,417,509,387,"1,069","2,525"
CC,15,11,34,27,171,237,136,335,964
16,146,89,438,180,21,143,121,256,"1,394"
24,161,133,595,225,145,23,110,241,"1,631"
GP,102,121,462,132,102,105,15,47,"1,086"
BP,232,261,"1,354",287,232,218,48,36,"2,669"
Entries,731,650,"2,991",922,"1,408","1,659","1,164","2,990","12,514"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,4,23,22,97,131,100,165,564
MT,5,16,9,14,108,157,138,491,936
PL,28,6,54,25,282,396,258,722,"1,771"
CC,12,8,28,30,148,201,114,238,778
16,78,51,319,149,23,108,87,182,997
24,115,97,436,205,101,31,96,211,"1,291"
GP,85,79,362,117,92,101,20,31,886
BP,171,182,"1,059",222,179,177,23,28,"2,039"
Entries,518,441,"2,288",784,"1,029","1,301",834,"2,067","9,261"
