Exit stations,Entry stations->,,SUNDAY,,,May 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	59 , 	113 , 	62 , 	71 , 	139 , 	83 , 	119 , 	84 , 	127 , 	90 , 	150 , 	10 , 	102 , 	143 , 	118 , 	63 , 	71 , 	192 , 	65 , 	75 , 	86 , 	44 , 	30 , 	67 , 	57 , 	323 , 	177 , 	486 , 	231 , 	105 , 	105 , 	49 , 	39 , 	53 , 	11 , 	60 , 	354 , 	24 , 	99 , 	14 , 	15 , 	46 , 	27 , 	87 ," 	4,519 ",,,CM line," 	13,065 "," 	2,375 "," 	6,208 "," 	1,989 "," 	1,480 "," 	2,368 "," 	2,601 "," 	30,086 "
SL, 	22 , 	31 , 	10 , 	14 , 	47 , 	20 , 	44 , 	37 , 	56 , 	92 , 	93 , 	101 , 	9 , 	76 , 	65 , 	32 , 	26 , 	44 , 	13 , 	5 , 	16 , 	4 , 	2 , 	9 , 	22 , 	180 , 	113 , 	291 , 	141 , 	71 , 	58 , 	12 , 	20 , 	37 , 	5 , 	22 , 	24 , 	2 , 	24 , 	3 , 	5 , 	30 , 	7 , 	22 ," 	1,952 ",,,RM line," 	6,215 "," 	1,897 "," 	1,963 "," 	2,736 ", 	665 ," 	2,009 ", 	729 ," 	16,213 "
BF, 	16 , 	32 , 	19 , 	17 , 	46 , 	37 , 	50 , 	49 , 	81 , 	96 , 	194 , 	161 , 	73 , 	10 , 	88 , 	58 , 	66 , 	101 , 	16 , 	7 , 	7 , 	4 , 	2 , 	8 , 	23 , 	189 , 	108 , 	338 , 	122 , 	76 , 	60 , 	18 , 	29 , 	32 , 	7 , 	42 , 	83 , 	5 , 	19 , 	7 , 	7 , 	17 , 	7 , 	67 ," 	2,490 ",,,WP line," 	6,691 ", 	922 ," 	1,523 ", 	710 ," 	2,366 "," 	1,171 ", 	924 ," 	14,307 "
HY, 	26 , 	29 , 	9 , 	11 , 	44 , 	19 , 	46 , 	35 , 	42 , 	42 , 	113 , 	127 , 	69 , 	93 , 	10 , 	50 , 	70 , 	94 , 	12 , 	5 , 	9 , 	4 , 	3 , 	5 , 	13 , 	127 , 	48 , 	162 , 	74 , 	48 , 	43 , 	10 , 	16 , 	18 , 	3 , 	11 , 	26 , 	4 , 	22 , 	4 , 	7 , 	16 , 	6 , 	19 ," 	1,637 ",,,FT/ED line," 	8,686 "," 	2,200 "," 	2,230 "," 	1,941 "," 	1,118 "," 	6,605 ", 	564 ," 	23,343 "
SH, 	10 , 	12 , 	6 , 	6 , 	25 , 	12 , 	16 , 	21 , 	27 , 	30 , 	43 , 	59 , 	32 , 	64 , 	48 , 	4 , 	35 , 	65 , 	11 , 	4 , 	4 , 	1 , 	1 , 	5 , 	7 , 	76 , 	46 , 	106 , 	55 , 	43 , 	23 , 	6 , 	12 , 	14 , 	4 , 	11 , 	17 , 	2 , 	14 , 	5 , 	4 , 	7 , 	3 , 	13 ," 	1,005 ",,,SFIA," 	5,182 ", 	369 ," 	2,212 ", 	585 , 	676 , 	403 , 	998 ," 	10,425 "
UC, 	9 , 	16 , 	6 , 	10 , 	34 , 	15 , 	17 , 	15 , 	34 , 	40 , 	42 , 	78 , 	24 , 	61 , 	68 , 	27 , 	11 , 	65 , 	8 , 	3 , 	6 , 	2 , 	1 , 	9 , 	7 , 	160 , 	71 , 	199 , 	97 , 	36 , 	30 , 	9 , 	16 , 	24 , 	4 , 	8 , 	21 , 	1 , 	12 , 	5 , 	2 , 	25 , 	4 , 	11 ," 	1,337 ",,,Entries," 	48,178 "," 	15,167 "," 	30,506 "," 	15,839 "," 	13,723 "," 	23,287 "," 	11,572 "," 	158,271 "
FM, 	19 , 	40 , 	21 , 	30 , 	140 , 	31 , 	41 , 	36 , 	63 , 	54 , 	79 , 	197 , 	45 , 	114 , 	99 , 	75 , 	61 , 	16 , 	17 , 	18 , 	19 , 	6 , 	6 , 	13 , 	10 , 	371 , 	159 , 	416 , 	248 , 	78 , 	53 , 	14 , 	29 , 	42 , 	3 , 	17 , 	39 , 	7 , 	25 , 	4 , 	4 , 	53 , 	3 , 	17 ," 	2,830 ",,,,,,,,,,,
CN, 	26 , 	16 , 	8 , 	12 , 	34 , 	15 , 	55 , 	29 , 	47 , 	11 , 	24 , 	77 , 	14 , 	13 , 	11 , 	9 , 	7 , 	21 , 	6 , 	43 , 	155 , 	54 , 	23 , 	35 , 	6 , 	248 , 	94 , 	224 , 	143 , 	59 , 	53 , 	26 , 	21 , 	47 , 	15 , 	6 , 	8 , 	19 , 	161 , 	10 , 	9 , 	73 , 	19 , 	7 ," 	1,984 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	3 , 	10 , 	8 , 	13 , 	26 , 	7 , 	25 , 	19 , 	35 , 	5 , 	14 , 	87 , 	4 , 	5 , 	5 , 	3 , 	5 , 	17 , 	44 , 	11 , 	83 , 	22 , 	20 , 	40 , 	5 , 	319 , 	141 , 	245 , 	172 , 	56 , 	31 , 	15 , 	18 , 	29 , 	5 , 	6 , 	4 , 	6 , 	36 , 	6 , 	8 , 	126 , 	15 , 	2 ," 	1,748 ",,,Dtwn SF," 	1,745 ",,,,,,,
WC, 	15 , 	19 , 	13 , 	23 , 	62 , 	18 , 	44 , 	36 , 	53 , 	11 , 	20 , 	99 , 	11 , 	6 , 	9 , 	6 , 	3 , 	17 , 	152 , 	80 , 	14 , 	38 , 	24 , 	87 , 	9 , 	440 , 	199 , 	340 , 	274 , 	69 , 	49 , 	26 , 	14 , 	49 , 	6 , 	2 , 	5 , 	24 , 	78 , 	9 , 	10 , 	149 , 	17 , 	3 ," 	2,624 ",,,OAK," 	13,269 ", 	730 ,,,,,,
LF, 	7 , 	6 , 	7 , 	12 , 	34 , 	9 , 	18 , 	13 , 	23 , 	6 , 	13 , 	48 , 	4 , 	4 , 	4 , 	1 , 	2 , 	7 , 	61 , 	20 , 	34 , 	8 , 	13 , 	47 , 	4 , 	273 , 	122 , 	187 , 	155 , 	35 , 	27 , 	8 , 	7 , 	22 , 	2 , 	2 , 	2 , 	3 , 	19 , 	2 , 	3 , 	71 , 	9 , 	1 ," 	1,347 ",,,CM line," 	27,138 "," 	4,672 "," 	6,208 ",,,,,
OR, 	3 , 	4 , 	4 , 	4 , 	18 , 	4 , 	19 , 	9 , 	22 , 	8 , 	9 , 	34 , 	5 , 	1 , 	3 , 	1 , 	1 , 	8 , 	28 , 	18 , 	27 , 	12 , 	9 , 	37 , 	3 , 	213 , 	97 , 	161 , 	122 , 	44 , 	26 , 	10 , 	6 , 	19 , 	1 , 	1 , 	2 , 	3 , 	6 , 	2 , 	2 , 	62 , 	7 , 	1 ," 	1,070 ",,,RM line," 	12,383 "," 	3,608 "," 	3,952 "," 	2,736 ",,,,
RR, 	16 , 	17 , 	25 , 	16 , 	31 , 	16 , 	33 , 	45 , 	52 , 	15 , 	35 , 	68 , 	8 , 	11 , 	5 , 	5 , 	7 , 	18 , 	35 , 	42 , 	86 , 	51 , 	48 , 	5 , 	14 , 	392 , 	229 , 	425 , 	391 , 	198 , 	120 , 	36 , 	18 , 	33 , 	7 , 	2 , 	8 , 	10 , 	20 , 	5 , 	5 , 	116 , 	23 , 	2 ," 	2,737 ",,,WP line," 	13,295 "," 	1,737 "," 	3,003 "," 	1,375 "," 	2,366 ",,,
OW, 	19 , 	19 , 	10 , 	8 , 	41 , 	26 , 	26 , 	30 , 	60 , 	28 , 	70 , 	52 , 	21 , 	20 , 	13 , 	7 , 	6 , 	10 , 	4 , 	4 , 	7 , 	2 , 	2 , 	11 , 	7 , 	415 , 	264 , 	601 , 	348 , 	284 , 	185 , 	25 , 	30 , 	23 , 	6 , 	6 , 	11 , 	3 , 	20 , 	7 , 	7 , 	48 , 	11 , 	4 ," 	2,797 ",,,FT/ED line," 	17,265 "," 	4,352 "," 	4,598 "," 	3,950 "," 	2,289 "," 	6,605 ",,
EM, 	132 , 	355 , 	211 , 	366 , 	600 , 	266 , 	446 , 	312 , 	389 , 	295 , 	348 , 	379 , 	248 , 	245 , 	159 , 	91 , 	207 , 	497 , 	278 , 	432 , 	562 , 	360 , 	283 , 	499 , 	526 , 	79 , 	26 , 	242 , 	174 , 	588 , 	641 , 	367 , 	358 , 	525 , 	125 , 	200 , 	975 , 	154 , 	297 , 	109 , 	154 , 	463 , 	462 , 	250 ," 	14,669 ",,,SFIA," 	10,424 ", 	883 ," 	4,814 "," 	1,314 "," 	1,599 ", 	966 , 	998 ," 	158,271 "
MT, 	73 , 	165 , 	122 , 	206 , 	318 , 	154 , 	244 , 	195 , 	250 , 	206 , 	194 , 	171 , 	123 , 	129 , 	53 , 	40 , 	72 , 	188 , 	112 , 	139 , 	187 , 	108 , 	95 , 	233 , 	293 , 	24 , 	42 , 	45 , 	95 , 	441 , 	519 , 	326 , 	785 , 	270 , 	97 , 	74 , 	216 , 	61 , 	119 , 	64 , 	69 , 	361 , 	168 , 	76 ," 	7,916 ",,,,,,,,,,,
PL, 	173 , 	381 , 	184 , 	262 , 	699 , 	247 , 	429 , 	312 , 	461 , 	372 , 	408 , 	403 , 	241 , 	272 , 	133 , 	93 , 	163 , 	332 , 	173 , 	195 , 	270 , 	158 , 	120 , 	342 , 	569 , 	238 , 	39 , 	125 , 	177 ," 	1,451 "," 	1,471 ", 	721 ," 	1,369 ", 	804 , 	259 , 	137 , 	440 , 	79 , 	208 , 	191 , 	206 ," 	1,251 ", 	504 , 	117 ," 	17,176 ",,,,,,,,,,,
CC, 	83 , 	163 , 	121 , 	216 , 	433 , 	241 , 	368 , 	271 , 	219 , 	215 , 	250 , 	203 , 	103 , 	103 , 	65 , 	50 , 	79 , 	196 , 	110 , 	140 , 	229 , 	121 , 	104 , 	303 , 	305 , 	135 , 	67 , 	167 , 	70 , 	729 , 	855 , 	341 , 	530 , 	361 , 	143 , 	81 , 	223 , 	36 , 	100 , 	99 , 	170 , 	537 , 	436 , 	69 ," 	9,836 ",,,,,,,,,,,
