Exit stations,Entry stations->,,WEEKDAY,,,Feb 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
CL, 	79 , 	131 , 	36 , 	35 , 	172 , 	74 , 	167 , 	200 , 	331 , 	249 , 	248 , 	20 , 	130 , 	179 , 	178 , 	76 , 	87 , 	130 , 	43 , 	33 , 	27 , 	14 , 	14 , 	34 , 	104 , 	518 , 	506 , 	477 , 	417 , 	155 , 	125 , 	53 , 	84 , 	120 , 	16 , 	51 , 	108 , 	17 , 	87 , 	22 , 	32 , 	31 , 	19 , 	44 , 	22 , 	-   ," 	5,695 ",,,,,,,,,
SL, 	49 , 	81 , 	33 , 	40 , 	209 , 	52 , 	138 , 	232 , 	362 , 	321 , 	255 , 	138 , 	16 , 	127 , 	208 , 	87 , 	87 , 	155 , 	31 , 	25 , 	24 , 	9 , 	9 , 	31 , 	46 , 	753 , 	791 , 	628 , 	517 , 	150 , 	102 , 	34 , 	74 , 	130 , 	11 , 	50 , 	104 , 	8 , 	54 , 	24 , 	17 , 	41 , 	13 , 	54 , 	10 , 	-   ," 	6,332 ",,,,,,,,,
BF, 	29 , 	51 , 	19 , 	22 , 	164 , 	37 , 	112 , 	204 , 	354 , 	257 , 	261 , 	185 , 	138 , 	17 , 	189 , 	91 , 	129 , 	295 , 	25 , 	16 , 	18 , 	5 , 	3 , 	11 , 	48 , 	762 , 	754 , 	611 , 	482 , 	142 , 	83 , 	32 , 	66 , 	103 , 	11 , 	76 , 	205 , 	8 , 	24 , 	15 , 	19 , 	27 , 	9 , 	102 , 	7 , 	-   ," 	6,216 ",,,,,,,,,
HY, 	44 , 	98 , 	29 , 	34 , 	182 , 	48 , 	130 , 	212 , 	309 , 	181 , 	260 , 	190 , 	205 , 	197 , 	23 , 	123 , 	236 , 	424 , 	37 , 	33 , 	26 , 	9 , 	6 , 	21 , 	37 , 	560 , 	587 , 	428 , 	329 , 	103 , 	67 , 	26 , 	47 , 	73 , 	9 , 	29 , 	76 , 	12 , 	67 , 	10 , 	19 , 	23 , 	9 , 	44 , 	12 , 	-   ," 	5,621 ",,,,,,,,,
SH, 	23 , 	32 , 	10 , 	11 , 	87 , 	23 , 	59 , 	165 , 	161 , 	98 , 	100 , 	75 , 	81 , 	82 , 	105 , 	12 , 	97 , 	205 , 	15 , 	8 , 	10 , 	1 , 	2 , 	9 , 	14 , 	431 , 	404 , 	280 , 	257 , 	76 , 	45 , 	10 , 	27 , 	56 , 	6 , 	16 , 	35 , 	2 , 	17 , 	8 , 	6 , 	13 , 	8 , 	21 , 	6 , 	-   ," 	3,208 ",,,,,,,,,
UC, 	24 , 	42 , 	17 , 	19 , 	173 , 	40 , 	80 , 	224 , 	252 , 	131 , 	91 , 	89 , 	92 , 	151 , 	234 , 	90 , 	20 , 	257 , 	14 , 	11 , 	15 , 	5 , 	6 , 	13 , 	13 ," 	1,030 ", 	939 , 	453 , 	350 , 	83 , 	35 , 	11 , 	26 , 	83 , 	4 , 	19 , 	68 , 	4 , 	20 , 	8 , 	6 , 	29 , 	8 , 	26 , 	18 , 	-   ," 	5,326 ",,,,,,,,,
FM, 	37 , 	101 , 	54 , 	45 , 	308 , 	66 , 	152 , 	396 , 	409 , 	190 , 	184 , 	142 , 	156 , 	292 , 	433 , 	222 , 	231 , 	58 , 	37 , 	33 , 	29 , 	14 , 	17 , 	30 , 	27 ," 	2,009 "," 	1,761 ", 	745 , 	530 , 	136 , 	60 , 	32 , 	43 , 	110 , 	11 , 	43 , 	119 , 	9 , 	47 , 	11 , 	12 , 	46 , 	7 , 	44 , 	35 , 	-   ," 	9,476 ",,,,,,,,,
CN, 	30 , 	40 , 	18 , 	22 , 	156 , 	29 , 	167 , 	329 , 	369 , 	41 , 	53 , 	50 , 	29 , 	26 , 	36 , 	16 , 	15 , 	40 , 	29 , 	115 , 	322 , 	102 , 	44 , 	106 , 	17 , 	979 ," 	1,052 ", 	650 , 	533 , 	129 , 	81 , 	40 , 	55 , 	125 , 	25 , 	10 , 	13 , 	59 , 	376 , 	33 , 	27 , 	103 , 	30 , 	6 , 	27 , 	-   ," 	6,555 ",,,,,,,,,
PH, 	15 , 	19 , 	21 , 	20 , 	172 , 	22 , 	168 , 	365 , 	387 , 	27 , 	25 , 	28 , 	24 , 	15 , 	35 , 	8 , 	13 , 	30 , 	115 , 	27 , 	132 , 	55 , 	31 , 	129 , 	15 ," 	1,697 "," 	1,789 ", 	750 , 	610 , 	161 , 	71 , 	44 , 	50 , 	110 , 	14 , 	3 , 	6 , 	38 , 	142 , 	77 , 	37 , 	134 , 	25 , 	4 , 	44 , 	-   ," 	7,701 ",,,,,,,,,
WC, 	30 , 	37 , 	29 , 	30 , 	157 , 	28 , 	147 , 	317 , 	325 , 	30 , 	40 , 	30 , 	27 , 	18 , 	26 , 	12 , 	14 , 	32 , 	330 , 	142 , 	23 , 	71 , 	46 , 	146 , 	20 ," 	1,453 "," 	1,536 ", 	620 , 	511 , 	128 , 	78 , 	40 , 	43 , 	93 , 	22 , 	5 , 	7 , 	62 , 	237 , 	27 , 	22 , 	158 , 	34 , 	2 , 	45 , 	-   ," 	7,227 ",,,,,,,,,
LF, 	9 , 	8 , 	9 , 	9 , 	105 , 	9 , 	53 , 	163 , 	167 , 	10 , 	18 , 	15 , 	8 , 	4 , 	9 , 	1 , 	5 , 	15 , 	121 , 	68 , 	79 , 	15 , 	18 , 	83 , 	5 , 	977 , 	887 , 	340 , 	303 , 	66 , 	32 , 	13 , 	17 , 	24 , 	4 , 	2 , 	2 , 	15 , 	41 , 	16 , 	10 , 	83 , 	16 , 	2 , 	24 , 	-   ," 	3,878 ",,,,,,,,,
OR, 	9 , 	12 , 	9 , 	10 , 	67 , 	10 , 	46 , 	110 , 	123 , 	9 , 	22 , 	12 , 	8 , 	3 , 	9 , 	2 , 	5 , 	16 , 	51 , 	31 , 	48 , 	24 , 	16 , 	68 , 	3 , 	851 , 	780 , 	281 , 	257 , 	51 , 	30 , 	12 , 	16 , 	24 , 	4 , 	1 , 	3 , 	7 , 	21 , 	20 , 	7 , 	63 , 	12 , 	1 , 	14 , 	-   ," 	3,180 ",,,,,,,,,
RR, 	26 , 	38 , 	36 , 	28 , 	80 , 	21 , 	75 , 	216 , 	212 , 	36 , 	56 , 	30 , 	29 , 	11 , 	23 , 	10 , 	13 , 	32 , 	99 , 	129 , 	145 , 	86 , 	71 , 	19 , 	31 ," 	1,166 "," 	1,296 ", 	689 , 	730 , 	236 , 	123 , 	39 , 	53 , 	58 , 	6 , 	8 , 	10 , 	20 , 	65 , 	26 , 	18 , 	122 , 	31 , 	5 , 	23 , 	-   ," 	6,271 ",,,,,,,,,
OW, 	31 , 	48 , 	17 , 	16 , 	101 , 	41 , 	60 , 	78 , 	114 , 	55 , 	135 , 	102 , 	44 , 	46 , 	33 , 	14 , 	14 , 	24 , 	15 , 	14 , 	18 , 	5 , 	4 , 	31 , 	26 ," 	1,715 "," 	1,548 "," 	1,098 ", 	882 , 	372 , 	227 , 	47 , 	86 , 	71 , 	13 , 	12 , 	25 , 	5 , 	36 , 	21 , 	26 , 	74 , 	41 , 	13 , 	10 , 	-   ," 	7,406 ",,,,,,,,,
EM, 	476 ," 	1,223 ", 	722 , 	810 ," 	1,296 ", 	996 ," 	1,379 "," 	1,776 "," 	1,739 "," 	1,137 "," 	1,238 ", 	614 , 	961 , 	944 , 	699 , 	540 ," 	1,208 "," 	2,341 "," 	1,242 "," 	2,157 "," 	1,801 "," 	1,101 ", 	971 ," 	1,311 "," 	2,058 ", 	177 , 	148 , 	654 , 	627 ," 	1,172 "," 	1,889 "," 	1,334 "," 	1,686 "," 	1,541 ", 	963 , 	724 ," 	2,353 ", 	680 ," 	1,008 ", 	742 , 	711 , 	470 ," 	1,403 "," 	1,017 ", 	164 , 	-   ," 	50,202 ",,,,,,,,,
MT, 	449 ," 	1,100 ", 	688 , 	743 ," 	1,042 ", 	913 ," 	1,354 "," 	1,505 "," 	1,338 "," 	1,067 "," 	1,107 ", 	532 , 	811 , 	814 , 	603 , 	439 , 	953 ," 	1,790 "," 	1,063 "," 	1,833 "," 	1,421 ", 	812 , 	705 ," 	1,157 "," 	1,641 ", 	153 , 	147 , 	215 , 	571 ," 	1,617 "," 	2,619 "," 	1,867 "," 	2,965 "," 	2,161 "," 	1,252 ", 	583 ," 	1,688 ", 	566 , 	924 , 	974 , 	890 , 	465 ," 	1,716 ", 	747 , 	115 , 	-   ," 	48,112 ",,,,,,,,,
PL, 	417 , 	790 , 	374 , 	392 , 	888 , 	464 , 	783 , 	881 , 	913 , 	692 , 	812 , 	424 , 	482 , 	492 , 	345 , 	235 , 	350 , 	626 , 	482 , 	570 , 	481 , 	239 , 	214 , 	512 ," 	1,005 ", 	905 , 	350 , 	137 , 	390 ," 	1,402 "," 	1,860 "," 	1,161 "," 	2,400 "," 	1,446 ", 	705 , 	273 , 	702 , 	267 , 	590 , 	494 , 	473 ," 	1,188 ", 	878 , 	323 , 	131 , 	-   ," 	29,938 ",,,,,,,,,
CC, 	351 , 	689 , 	399 , 	469 , 	692 , 	543 , 	865 , 	916 , 	816 , 	626 , 	854 , 	384 , 	432 , 	435 , 	302 , 	242 , 	316 , 	495 , 	433 , 	529 , 	410 , 	270 , 	210 , 	584 , 	864 , 	648 , 	582 , 	360 , 	75 , 	702 ," 	1,177 ", 	842 ," 	1,584 ", 	865 , 	579 , 	251 , 	627 , 	241 , 	568 , 	431 , 	409 , 	460 , 	678 , 	253 , 	66 , 	-   ," 	24,526 ",,,,,,,,,
16, 	197 , 	227 , 	119 , 	176 , 	374 , 	270 , 	400 , 	478 , 	355 , 	264 , 	326 , 	148 , 	139 , 	124 , 	97 , 	69 , 	73 , 	129 , 	107 , 	140 , 	108 , 	55 , 	44 , 	196 , 	368 ," 	1,206 "," 	1,673 "," 	1,614 ", 	801 , 	36 , 	275 , 	357 , 	823 , 	353 , 	181 , 	66 , 	155 , 	71 , 	168 , 	148 , 	138 , 	197 , 	283 , 	57 , 	21 , 	-   ," 	13,603 ",,,,,,,,,
