Exit stations,Entry stations->,,SATURDAY,,,Feb 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	11 , 	72 , 	77 , 	38 , 	271 , 	60 , 	70 , 	53 , 	71 , 	18 , 	63 , 	99 , 	21 , 	20 , 	19 , 	14 , 	11 , 	18 , 	15 , 	6 , 	10 , 	4 , 	7 , 	20 , 	20 , 	270 , 	209 , 	372 , 	123 , 	106 , 	117 , 	24 , 	46 , 	23 , 	10 , 	2 , 	10 , 	1 , 	23 , 	5 , 	16 , 	27 , 	11 , 	2 , 	8 , 	-   ," 	2,488 ",,,,,,,,,,
EN, 	89 , 	28 , 	84 , 	60 , 	514 , 	109 , 	126 , 	115 , 	175 , 	38 , 	110 , 	184 , 	33 , 	40 , 	37 , 	17 , 	22 , 	53 , 	24 , 	9 , 	21 , 	9 , 	6 , 	27 , 	34 , 	833 , 	636 , 	989 , 	261 , 	131 , 	127 , 	37 , 	55 , 	52 , 	20 , 	8 , 	15 , 	2 , 	32 , 	12 , 	20 , 	79 , 	26 , 	5 , 	26 , 	-   ," 	5,325 ",,,,,,,,,,
EP, 	80 , 	76 , 	17 , 	46 , 	487 , 	75 , 	62 , 	106 , 	113 , 	32 , 	50 , 	93 , 	21 , 	16 , 	12 , 	5 , 	10 , 	37 , 	6 , 	11 , 	18 , 	7 , 	7 , 	24 , 	16 , 	329 , 	283 , 	450 , 	225 , 	84 , 	60 , 	20 , 	17 , 	22 , 	6 , 	4 , 	9 , 	3 , 	8 , 	3 , 	6 , 	49 , 	13 , 	7 , 	26 , 	-   ," 	3,047 ",,,,,,,,,,
NB, 	43 , 	72 , 	52 , 	18 , 	157 , 	58 , 	53 , 	111 , 	98 , 	32 , 	60 , 	67 , 	18 , 	20 , 	16 , 	6 , 	6 , 	32 , 	10 , 	7 , 	17 , 	6 , 	6 , 	18 , 	13 , 	319 , 	320 , 	442 , 	327 , 	139 , 	109 , 	33 , 	25 , 	21 , 	6 , 	3 , 	11 , 	2 , 	10 , 	4 , 	6 , 	76 , 	21 , 	5 , 	26 , 	-   ," 	2,891 ",,,,,,,,,,
BK, 	285 , 	520 , 	490 , 	187 , 	56 , 	292 , 	291 , 	390 , 	358 , 	120 , 	211 , 	264 , 	112 , 	94 , 	85 , 	54 , 	66 , 	242 , 	48 , 	86 , 	91 , 	70 , 	61 , 	45 , 	76 , 	798 , 	591 ," 	1,237 ", 	607 , 	374 , 	257 , 	105 , 	79 , 	134 , 	15 , 	28 , 	78 , 	14 , 	63 , 	19 , 	21 , 	124 , 	101 , 	30 , 	63 , 	-   ," 	9,327 ",,,,,,,,,,
AS, 	64 , 	113 , 	77 , 	58 , 	254 , 	20 , 	84 , 	143 , 	144 , 	46 , 	91 , 	95 , 	32 , 	31 , 	24 , 	12 , 	12 , 	37 , 	17 , 	14 , 	19 , 	7 , 	7 , 	14 , 	38 , 	283 , 	279 , 	422 , 	284 , 	207 , 	122 , 	30 , 	31 , 	20 , 	8 , 	5 , 	14 , 	3 , 	13 , 	3 , 	5 , 	37 , 	14 , 	7 , 	22 , 	-   ," 	3,255 ",,,,,,,,,,
MA, 	88 , 	119 , 	56 , 	60 , 	275 , 	87 , 	23 , 	94 , 	107 , 	42 , 	117 , 	152 , 	43 , 	53 , 	41 , 	21 , 	15 , 	49 , 	49 , 	40 , 	51 , 	23 , 	17 , 	50 , 	49 , 	537 , 	467 , 	726 , 	488 , 	301 , 	216 , 	53 , 	33 , 	34 , 	10 , 	12 , 	16 , 	9 , 	86 , 	8 , 	11 , 	82 , 	26 , 	8 , 	21 , 	-   ," 	4,861 ",,,,,,,,,,
19, 	56 , 	119 , 	110 , 	116 , 	386 , 	169 , 	101 , 	35 , 	19 , 	15 , 	109 , 	132 , 	68 , 	65 , 	52 , 	23 , 	32 , 	92 , 	55 , 	61 , 	67 , 	38 , 	37 , 	113 , 	58 , 	441 , 	410 , 	697 , 	539 , 	349 , 	249 , 	81 , 	53 , 	77 , 	15 , 	14 , 	35 , 	12 , 	50 , 	8 , 	23 , 	50 , 	48 , 	22 , 	20 , 	-   ," 	5,311 ",,,,,,,,,,
12, 	78 , 	190 , 	118 , 	97 , 	331 , 	141 , 	110 , 	19 , 	27 , 	14 , 	105 , 	185 , 	91 , 	101 , 	85 , 	37 , 	50 , 	95 , 	66 , 	60 , 	62 , 	34 , 	27 , 	81 , 	78 , 	494 , 	438 , 	814 , 	471 , 	219 , 	163 , 	59 , 	69 , 	57 , 	19 , 	24 , 	23 , 	14 , 	70 , 	17 , 	26 , 	81 , 	46 , 	15 , 	18 , 	-   ," 	5,413 ",,,,,,,,,,
LM, 	14 , 	43 , 	29 , 	34 , 	136 , 	49 , 	34 , 	17 , 	16 , 	22 , 	121 , 	192 , 	145 , 	166 , 	64 , 	24 , 	46 , 	74 , 	12 , 	10 , 	12 , 	6 , 	5 , 	17 , 	31 , 	489 , 	444 , 	766 , 	378 , 	217 , 	161 , 	43 , 	50 , 	35 , 	7 , 	63 , 	93 , 	2 , 	9 , 	3 , 	8 , 	24 , 	10 , 	43 , 	21 , 	-   ," 	4,181 ",,,,,,,,,,
FV, 	63 , 	105 , 	43 , 	57 , 	203 , 	95 , 	120 , 	116 , 	113 , 	95 , 	25 , 	313 , 	136 , 	217 , 	128 , 	59 , 	53 , 	101 , 	29 , 	14 , 	31 , 	17 , 	12 , 	42 , 	93 , 	609 , 	536 , 	897 , 	425 , 	225 , 	204 , 	42 , 	51 , 	48 , 	8 , 	48 , 	78 , 	5 , 	45 , 	11 , 	17 , 	46 , 	17 , 	57 , 	13 , 	-   ," 	5,659 ",,,,,,,,,,
