Fast Pass Adjusted OD,,,,,,Nov 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,58,44,183,177,604,932,759,"1,217","3,974"
MT,51,59,118,168,868,"1,415","1,172","2,453","6,304"
PL,262,162,96,148,802,"1,164",760,"2,096","5,490"
CC,163,169,172,54,580,737,540,"1,464","3,880"
16,514,700,"1,015",580,27,238,223,649,"3,946"
24,782,"1,082","1,391",740,257,43,160,604,"5,060"
GP,719,895,"1,019",479,227,184,21,131,"3,675"
BP,"1,107","1,427","3,045","1,389",659,633,151,40,"8,453"
Entries,"3,656","4,540","7,039","3,736","4,024","5,346","3,786","8,654","40,781"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,31,9,76,56,239,244,133,302,"1,090"
MT,9,15,22,39,307,382,333,"1,064","2,169"
PL,70,26,84,69,674,998,638,"1,392","3,950"
CC,38,24,78,45,374,409,216,531,"1,715"
16,212,197,802,405,22,173,130,341,"2,280"
24,220,236,"1,076",435,167,37,116,330,"2,616"
GP,111,169,799,183,120,113,18,67,"1,578"
BP,266,365,"2,133",485,328,304,65,38,"3,984"
Entries,955,"1,038","5,069","1,717","2,230","2,660","1,648","4,064","19,380"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,5,38,28,145,143,64,170,613
MT,3,18,25,24,200,217,193,693,"1,374"
PL,44,18,84,55,508,716,416,911,"2,750"
CC,25,17,63,49,308,306,148,366,"1,281"
16,143,139,591,314,32,108,93,225,"1,644"
24,174,149,820,342,112,42,80,227,"1,946"
GP,60,89,580,137,81,76,20,33,"1,075"
BP,190,227,"1,510",336,205,208,40,31,"2,745"
Entries,660,662,"3,708","1,283","1,590","1,815","1,053","2,656","13,427"
