Muni Fast Pass Adult/Translink OD,,,,,,Jan 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,23,87,116,429,786,667,908,"3,056"
MT,27,39,58,102,487,"1,017",903,"1,545","4,179"
PL,143,78,50,88,428,707,482,"1,300","3,277"
CC,86,87,83,32,285,463,361,818,"2,214"
16,367,397,515,315,18,141,155,388,"2,296"
24,636,739,856,468,138,25,132,361,"3,355"
GP,582,674,642,326,157,143,20,81,"2,624"
BP,757,897,"1,780",756,362,379,76,31,"5,037"
Entries,"2,637","2,935","4,071","2,203","2,304","3,660","2,795","5,432","26,038"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,34,29,160,198,109,259,810
MT,6,13,15,15,152,255,204,734,"1,393"
PL,35,17,51,29,379,583,380,"1,004","2,478"
CC,18,12,35,25,176,234,117,292,908
16,145,83,432,196,19,118,98,226,"1,318"
24,167,140,664,236,101,33,105,220,"1,664"
GP,96,113,482,113,88,97,18,42,"1,049"
BP,184,240,"1,326",257,203,183,39,20,"2,451"
Entries,667,623,"3,039",900,"1,278","1,701","1,068","2,795","12,071"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,14,4,15,12,80,116,58,151,452
MT,3,13,9,10,85,139,118,406,783
PL,24,6,49,21,226,397,235,640,"1,598"
CC,13,7,23,30,125,160,84,225,667
16,90,48,311,140,21,65,66,135,876
24,116,78,486,168,59,30,62,143,"1,144"
GP,58,79,346,89,65,57,11,20,725
BP,143,128,994,192,128,128,19,19,"1,750"
Entries,461,362,"2,234",663,789,"1,093",653,"1,739","7,995"
