Fast Pass Adjusted OD,,,,,,Jul 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,64,43,147,156,496,944,791,"1,137","3,778"
MT,39,50,82,133,729,"1,201","1,073","2,048","5,357"
PL,208,119,89,117,710,"1,087",714,"1,626","4,669"
CC,124,134,131,110,446,727,539,"1,249","3,461"
16,406,569,781,453,23,174,174,464,"3,044"
24,755,960,"1,149",684,181,42,164,375,"4,310"
GP,696,861,847,452,184,160,22,85,"3,307"
BP,961,"1,300","2,286","1,094",436,405,86,32,"6,601"
Entries,"3,252","4,036","5,513","3,201","3,204","4,740","3,564","7,017","34,527"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,8,39,33,174,242,100,208,826
MT,9,19,21,27,294,318,280,843,"1,811"
PL,43,28,80,52,540,848,461,"1,075","3,128"
CC,25,24,50,40,308,415,194,465,"1,520"
16,121,184,580,320,22,135,104,247,"1,714"
24,181,226,815,391,128,35,119,215,"2,108"
GP,95,144,598,152,90,95,20,38,"1,230"
BP,167,307,"1,605",395,238,235,41,25,"3,013"
Entries,664,939,"3,787","1,409","1,795","2,323","1,318","3,114","15,350"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,5,22,20,111,154,68,131,527
MT,4,19,18,19,184,203,184,596,"1,225"
PL,26,14,67,38,416,609,335,730,"2,235"
CC,16,15,45,37,236,312,124,294,"1,079"
16,95,122,436,249,35,92,59,153,"1,240"
24,126,148,587,310,80,46,72,179,"1,546"
GP,62,93,453,113,56,48,14,23,862
BP,128,186,"1,244",256,162,188,26,32,"2,221"
Entries,472,602,"2,871","1,039","1,279","1,651",882,"2,138","10,934"
