Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	22 , 	24 , 	5 , 	10 , 	46 , 	20 , 	28 , 	21 , 	57 , 	69 , 	90 , 	183 , 	7 , 	69 , 	68 , 	26 , 	24 , 	48 , 	11 , 	4 , 	9 , 	4 , 	3 , 	6 , 	10 , 	106 , 	69 , 	214 , 	91 , 	23 , 	29 , 	21 , 	10 , 	14 , 	14 , 	19 , 	40 , 	1 , 	13 ," 	1,522 ",,,WP line," 	4,126 ", 	556 , 	902 , 	452 ," 	2,036 "," 	1,063 "," 	9,135 "
BF, 	18 , 	18 , 	7 , 	7 , 	38 , 	22 , 	27 , 	23 , 	60 , 	59 , 	163 , 	221 , 	72 , 	8 , 	72 , 	68 , 	62 , 	105 , 	10 , 	3 , 	5 , 	2 , 	1 , 	4 , 	17 , 	101 , 	54 , 	185 , 	79 , 	18 , 	27 , 	13 , 	16 , 	21 , 	14 , 	28 , 	87 , 	4 , 	9 ," 	1,743 ",,,FT/ED line," 	6,027 "," 	1,771 "," 	1,436 "," 	1,874 "," 	1,000 "," 	7,795 "," 	19,903 "
HY, 	12 , 	20 , 	6 , 	8 , 	47 , 	17 , 	33 , 	28 , 	56 , 	29 , 	110 , 	141 , 	74 , 	83 , 	8 , 	56 , 	64 , 	130 , 	10 , 	5 , 	6 , 	3 , 	1 , 	5 , 	10 , 	61 , 	33 , 	97 , 	42 , 	16 , 	23 , 	7 , 	8 , 	12 , 	7 , 	11 , 	36 , 	2 , 	13 ," 	1,327 ",,,Entries," 	28,724 "," 	9,022 "," 	18,118 "," 	11,488 "," 	9,186 "," 	20,486 "," 	97,023 "
SH, 	21 , 	16 , 	6 , 	4 , 	24 , 	11 , 	10 , 	6 , 	16 , 	15 , 	63 , 	110 , 	16 , 	45 , 	83 , 	22 , 	32 , 	47 , 	5 , 	3 , 	5 , 	1 , 	-   , 	2 , 	3 , 	60 , 	29 , 	45 , 	24 , 	13 , 	16 , 	3 , 	6 , 	12 , 	5 , 	2 , 	11 , 	1 , 	6 , 	792 ,,,,,,,,,,
UC, 	16 , 	19 , 	6 , 	6 , 	44 , 	14 , 	15 , 	15 , 	45 , 	38 , 	46 , 	135 , 	34 , 	63 , 	73 , 	43 , 	6 , 	93 , 	19 , 	7 , 	5 , 	3 , 	3 , 	4 , 	6 , 	102 , 	51 , 	159 , 	50 , 	13 , 	12 , 	9 , 	9 , 	15 , 	8 , 	5 , 	16 , 	1 , 	9 ," 	1,216 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	20 , 	38 , 	23 , 	12 , 	107 , 	22 , 	28 , 	22 , 	67 , 	47 , 	69 , 	316 , 	54 , 	99 , 	132 , 	61 , 	91 , 	25 , 	31 , 	16 , 	11 , 	5 , 	4 , 	12 , 	6 , 	225 , 	109 , 	297 , 	123 , 	26 , 	18 , 	18 , 	17 , 	28 , 	20 , 	18 , 	47 , 	4 , 	19 ," 	2,280 ",,,Dtwn SF," 	1,165 ",,,,,,
CN, 	20 , 	7 , 	6 , 	7 , 	22 , 	8 , 	33 , 	19 , 	47 , 	8 , 	26 , 	98 , 	8 , 	9 , 	15 , 	4 , 	12 , 	23 , 	9 , 	60 , 	242 , 	54 , 	22 , 	36 , 	5 , 	150 , 	60 , 	165 , 	83 , 	26 , 	51 , 	25 , 	21 , 	32 , 	37 , 	3 , 	6 , 	18 , 	148 ," 	1,625 ",,,OAK," 	7,618 ", 	454 ,,,,,
PH, 	5 , 	6 , 	7 , 	7 , 	26 , 	5 , 	14 , 	11 , 	28 , 	7 , 	11 , 	114 , 	2 , 	4 , 	5 , 	2 , 	6 , 	16 , 	53 , 	9 , 	48 , 	17 , 	9 , 	28 , 	2 , 	217 , 	77 , 	185 , 	101 , 	15 , 	14 , 	13 , 	10 , 	19 , 	34 , 	2 , 	4 , 	5 , 	29 ," 	1,159 ",,,CM line," 	20,246 "," 	1,778 "," 	3,530 ",,,,
WC, 	10 , 	7 , 	10 , 	6 , 	43 , 	10 , 	22 , 	18 , 	41 , 	7 , 	14 , 	81 , 	9 , 	6 , 	7 , 	3 , 	3 , 	10 , 	284 , 	48 , 	8 , 	33 , 	15 , 	50 , 	2 , 	243 , 	94 , 	253 , 	127 , 	18 , 	22 , 	17 , 	11 , 	22 , 	29 , 	2 , 	2 , 	20 , 	44 ," 	1,643 ",,,RM line," 	8,014 "," 	2,641 "," 	2,200 "," 	2,562 ",,,
LF, 	2 , 	2 , 	2 , 	3 , 	18 , 	5 , 	6 , 	14 , 	20 , 	1 , 	8 , 	50 , 	4 , 	1 , 	1 , 	1 , 	1 , 	4 , 	49 , 	13 , 	31 , 	5 , 	6 , 	28 , 	1 , 	157 , 	60 , 	131 , 	76 , 	12 , 	6 , 	8 , 	4 , 	4 , 	10 , 	2 , 	3 , 	4 , 	9 , 	758 ,,,WP line," 	8,452 "," 	1,079 "," 	1,783 ", 	871 ," 	2,036 ",,
