Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	30 , 	46 , 	10 , 	9 , 	55 , 	31 , 	40 , 	38 , 	93 , 	97 , 	115 , 	155 , 	6 , 	99 , 	83 , 	50 , 	31 , 	71 , 	8 , 	5 , 	10 , 	8 , 	4 , 	9 , 	11 , 	136 , 	112 , 	324 , 	109 , 	28 , 	53 , 	15 , 	20 , 	20 , 	13 , 	26 , 	51 , 	1 , 	13 ," 	2,031 ",,,WP line," 	5,828 ", 	807 ," 	1,077 ", 	714 ," 	2,816 "," 	1,071 "," 	12,314 "
BF, 	27 , 	35 , 	11 , 	9 , 	63 , 	30 , 	44 , 	41 , 	104 , 	78 , 	199 , 	207 , 	101 , 	11 , 	111 , 	83 , 	82 , 	145 , 	14 , 	7 , 	11 , 	2 , 	2 , 	9 , 	29 , 	127 , 	97 , 	263 , 	103 , 	28 , 	47 , 	13 , 	21 , 	27 , 	17 , 	39 , 	119 , 	2 , 	11 ," 	2,365 ",,,FT/ED line," 	8,085 "," 	2,412 "," 	1,680 "," 	2,220 "," 	1,046 "," 	8,849 "," 	24,292 "
HY, 	25 , 	27 , 	9 , 	13 , 	52 , 	23 , 	34 , 	42 , 	80 , 	38 , 	141 , 	162 , 	96 , 	111 , 	8 , 	90 , 	83 , 	184 , 	14 , 	5 , 	9 , 	4 , 	2 , 	10 , 	17 , 	84 , 	69 , 	158 , 	53 , 	22 , 	31 , 	9 , 	9 , 	17 , 	12 , 	17 , 	48 , 	1 , 	14 ," 	1,822 ",,,Entries," 	40,506 "," 	12,508 "," 	25,319 "," 	16,237 "," 	12,247 "," 	24,541 "," 	131,358 "
SH, 	20 , 	15 , 	3 , 	2 , 	30 , 	18 , 	10 , 	14 , 	35 , 	21 , 	80 , 	119 , 	38 , 	51 , 	99 , 	24 , 	39 , 	75 , 	8 , 	3 , 	5 , 	3 , 	1 , 	4 , 	6 , 	110 , 	51 , 	81 , 	26 , 	14 , 	27 , 	6 , 	11 , 	16 , 	7 , 	7 , 	16 , 	1 , 	7 ," 	1,097 ",,,,,,,,,,
UC, 	16 , 	19 , 	10 , 	8 , 	54 , 	14 , 	21 , 	18 , 	67 , 	47 , 	74 , 	114 , 	36 , 	92 , 	102 , 	64 , 	13 , 	129 , 	10 , 	3 , 	7 , 	4 , 	2 , 	7 , 	8 , 	132 , 	95 , 	247 , 	70 , 	11 , 	23 , 	9 , 	17 , 	19 , 	8 , 	9 , 	22 , 	3 , 	13 ," 	1,611 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	24 , 	42 , 	28 , 	22 , 	151 , 	26 , 	37 , 	41 , 	112 , 	63 , 	83 , 	269 , 	84 , 	143 , 	182 , 	95 , 	129 , 	20 , 	25 , 	19 , 	18 , 	5 , 	7 , 	17 , 	9 , 	305 , 	174 , 	544 , 	143 , 	25 , 	35 , 	17 , 	20 , 	33 , 	18 , 	21 , 	50 , 	5 , 	24 ," 	3,060 ",,,Dtwn SF," 	1,708 ",,,,,,
CN, 	15 , 	25 , 	9 , 	9 , 	54 , 	13 , 	39 , 	29 , 	68 , 	7 , 	22 , 	72 , 	12 , 	14 , 	15 , 	7 , 	8 , 	19 , 	21 , 	58 , 	269 , 	63 , 	29 , 	37 , 	7 , 	220 , 	128 , 	307 , 	131 , 	39 , 	61 , 	23 , 	28 , 	29 , 	43 , 	3 , 	11 , 	23 , 	169 ," 	2,135 ",,,OAK," 	10,557 ", 	638 ,,,,,
PH, 	6 , 	12 , 	9 , 	12 , 	39 , 	9 , 	19 , 	20 , 	44 , 	4 , 	12 , 	90 , 	4 , 	4 , 	8 , 	4 , 	6 , 	16 , 	81 , 	8 , 	78 , 	23 , 	16 , 	42 , 	2 , 	279 , 	145 , 	296 , 	120 , 	20 , 	27 , 	18 , 	11 , 	23 , 	29 , 	4 , 	2 , 	14 , 	48 ," 	1,601 ",,,CM line," 	29,072 "," 	2,416 "," 	4,886 ",,,,
WC, 	19 , 	14 , 	16 , 	12 , 	60 , 	13 , 	25 , 	27 , 	79 , 	7 , 	24 , 	74 , 	11 , 	8 , 	8 , 	4 , 	8 , 	17 , 	377 , 	90 , 	11 , 	46 , 	17 , 	62 , 	7 , 	340 , 	155 , 	383 , 	171 , 	18 , 	24 , 	18 , 	16 , 	27 , 	33 , 	2 , 	7 , 	34 , 	90 ," 	2,347 ",,,RM line," 	11,637 "," 	4,001 "," 	3,068 "," 	3,763 ",,,
LF, 	4 , 	5 , 	6 , 	4 , 	28 , 	4 , 	11 , 	16 , 	30 , 	3 , 	17 , 	43 , 	6 , 	2 , 	2 , 	3 , 	3 , 	4 , 	89 , 	28 , 	44 , 	4 , 	12 , 	36 , 	2 , 	185 , 	82 , 	189 , 	84 , 	12 , 	13 , 	8 , 	3 , 	9 , 	13 , 	2 , 	2 , 	5 , 	12 ," 	1,022 ",,,WP line," 	11,753 "," 	1,587 "," 	2,134 "," 	1,337 "," 	2,816 ",,
OR, 	9 , 	8 , 	7 , 	7 , 	30 , 	7 , 	13 , 	10 , 	29 , 	4 , 	25 , 	33 , 	3 , 	2 , 	3 , 	2 , 	2 , 	7 , 	25 , 	13 , 	19 , 	10 , 	1 , 	37 , 	2 , 	179 , 	70 , 	181 , 	78 , 	12 , 	18 , 	8 , 	6 , 	6 , 	17 , 	1 , 	2 , 	6 , 	10 , 	895 ,,,FT/ED line," 	16,675 "," 	4,650 "," 	3,326 "," 	4,366 "," 	2,117 "," 	8,849 "," 	131,358 "
RR, 	31 , 	25 , 	28 , 	26 , 	22 , 	7 , 	11 , 	19 , 	51 , 	17 , 	36 , 	60 , 	7 , 	12 , 	4 , 	3 , 	3 , 	8 , 	52 , 	19 , 	33 , 	23 , 	28 , 	8 , 	11 , 	285 , 	228 , 	475 , 	225 , 	48 , 	39 , 	18 , 	7 , 	16 , 	16 , 	1 , 	8 , 	6 , 	18 ," 	1,931 ",,,,,,,,,,
OW, 	22 , 	24 , 	5 , 	7 , 	41 , 	27 , 	38 , 	18 , 	46 , 	11 , 	60 , 	52 , 	14 , 	22 , 	14 , 	7 , 	9 , 	8 , 	8 , 	3 , 	5 , 	2 , 	1 , 	9 , 	5 , 	210 , 	211 , 	514 , 	143 , 	54 , 	73 , 	14 , 	22 , 	10 , 	8 , 	4 , 	19 , 	3 , 	11 ," 	1,746 ",,,,,,,,,,
EM, 	76 , 	280 , 	144 , 	204 , 	533 , 	148 , 	266 , 	172 , 	288 , 	146 , 	199 , 	275 , 	171 , 	158 , 	104 , 	72 , 	137 , 	355 , 	212 , 	329 , 	405 , 	219 , 	207 , 	316 , 	259 , 	51 , 	41 , 	205 , 	109 , 	292 , 	418 , 	226 , 	309 , 	274 , 	230 , 	137 , 	953 , 	89 , 	239 ," 	9,241 ",,,,,,,,,,
MT, 	111 , 	231 , 	153 , 	156 , 	452 , 	128 , 	222 , 	144 , 	322 , 	174 , 	259 , 	175 , 	150 , 	108 , 	67 , 	42 , 	99 , 	179 , 	113 , 	133 , 	145 , 	74 , 	75 , 	180 , 	215 , 	34 , 	32 , 	59 , 	71 , 	443 , 	547 , 	453 ," 	1,239 ", 	265 , 	203 , 	58 , 	185 , 	28 , 	85 ," 	7,809 ",,,,,,,,,,
PL, 	188 , 	481 , 	258 , 	293 , 	949 , 	301 , 	498 , 	323 , 	624 , 	370 , 	479 , 	507 , 	298 , 	251 , 	157 , 	120 , 	246 , 	534 , 	251 , 	351 , 	401 , 	227 , 	200 , 	462 , 	540 , 	207 , 	82 , 	132 , 	243 ," 	1,129 "," 	1,644 ", 	932 ," 	1,691 ", 	933 , 	681 , 	154 , 	763 , 	99 , 	251 ," 	18,251 ",,,,,,,,,,
