Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Jul 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	146 , 	127 , 	95 , 	446 , 	120 , 	162 , 	160 , 	237 , 	51 , 	129 , 	113 , 	50 , 	36 , 	46 , 	24 , 	21 , 	34 , 	32 , 	20 , 	28 , 	10 , 	11 , 	18 , 	34 , 	232 , 	243 , 	336 , 	234 , 	114 , 	165 , 	28 , 	43 , 	35 , 	37 , 	6 , 	26 , 	6 , 	30 ," 	3,695 ",,,Eastbay," 	75,074 ",,SF CBD," 	197,949 ",65.8%,,,
EN, 	151 , 	12 , 	96 , 	78 , 	877 , 	147 , 	195 , 	380 , 	589 , 	91 , 	116 , 	159 , 	54 , 	38 , 	64 , 	23 , 	37 , 	63 , 	50 , 	28 , 	35 , 	12 , 	10 , 	22 , 	32 , 	805 , 	875 , 	721 , 	615 , 	113 , 	176 , 	62 , 	66 , 	77 , 	65 , 	6 , 	36 , 	7 , 	27 ," 	7,011 ",,,Westbay," 	76,963 ",,non-CBD," 	102,972 ",34.2%,,,
EP, 	128 , 	88 , 	6 , 	36 , 	642 , 	73 , 	87 , 	191 , 	293 , 	86 , 	47 , 	93 , 	24 , 	11 , 	26 , 	7 , 	14 , 	42 , 	24 , 	19 , 	29 , 	8 , 	10 , 	22 , 	14 , 	438 , 	498 , 	335 , 	266 , 	46 , 	40 , 	30 , 	16 , 	34 , 	15 , 	3 , 	18 , 	2 , 	9 ," 	3,772 ",,,Transbay," 	148,884 ",,,,,,,
NB, 	89 , 	75 , 	39 , 	5 , 	194 , 	55 , 	63 , 	151 , 	250 , 	63 , 	53 , 	90 , 	16 , 	11 , 	29 , 	8 , 	13 , 	27 , 	17 , 	16 , 	23 , 	7 , 	9 , 	15 , 	11 , 	522 , 	551 , 	361 , 	334 , 	85 , 	62 , 	24 , 	15 , 	26 , 	18 , 	3 , 	14 , 	2 , 	9 ," 	3,356 ",,,,,,,,,,,
BK, 	435 , 	953 , 	640 , 	204 , 	16 , 	394 , 	359 , 	466 , 	628 , 	238 , 	294 , 	291 , 	168 , 	127 , 	147 , 	89 , 	177 , 	334 , 	112 , 	162 , 	150 , 	81 , 	70 , 	43 , 	65 , 	714 , 	715 , 	910 , 	735 , 	201 , 	233 , 	145 , 	111 , 	137 , 	111 , 	52 , 	143 , 	36 , 	104 ," 	10,992 ",,,Extensions," 	41,262 ",,,,,,,
AS, 	109 , 	146 , 	71 , 	50 , 	334 , 	5 , 	78 , 	168 , 	241 , 	75 , 	101 , 	146 , 	49 , 	35 , 	48 , 	18 , 	26 , 	48 , 	24 , 	24 , 	26 , 	9 , 	11 , 	12 , 	33 , 	469 , 	486 , 	355 , 	318 , 	93 , 	97 , 	33 , 	26 , 	31 , 	24 , 	9 , 	26 , 	5 , 	20 ," 	3,879 ",,,,,,,,,,,
MA, 	150 , 	197 , 	85 , 	63 , 	338 , 	72 , 	7 , 	126 , 	215 , 	62 , 	131 , 	183 , 	88 , 	79 , 	79 , 	42 , 	56 , 	78 , 	98 , 	85 , 	88 , 	30 , 	34 , 	39 , 	58 , 	653 , 	704 , 	580 , 	526 , 	156 , 	128 , 	57 , 	49 , 	58 , 	42 , 	14 , 	48 , 	22 , 	102 ," 	5,621 ",,,,,,,,,,,
19, 	161 , 	440 , 	190 , 	164 , 	421 , 	172 , 	121 , 	9 , 	73 , 	36 , 	124 , 	160 , 	167 , 	160 , 	172 , 	137 , 	169 , 	275 , 	222 , 	289 , 	213 , 	120 , 	80 , 	103 , 	37 , 	645 , 	647 , 	500 , 	519 , 	133 , 	151 , 	103 , 	88 , 	129 , 	146 , 	42 , 	156 , 	101 , 	184 ," 	7,759 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	235 , 	649 , 	271 , 	243 , 	575 , 	238 , 	205 , 	71 , 	25 , 	67 , 	245 , 	357 , 	344 , 	308 , 	309 , 	189 , 	239 , 	371 , 	287 , 	401 , 	289 , 	179 , 	150 , 	185 , 	71 , 	910 , 	946 , 	991 , 	791 , 	199 , 	230 , 	163 , 	150 , 	197 , 	236 , 	85 , 	260 , 	107 , 	250 ," 	12,018 ",,,Dtwn SF," 	4,274 "," 	14,046 "," 	33,502 "," 	12,714 "," 	18,527 "," 	20,104 "," 	103,167 ",
LM, 	41 , 	91 , 	82 , 	68 , 	217 , 	77 , 	54 , 	34 , 	66 , 	8 , 	157 , 	195 , 	240 , 	182 , 	115 , 	82 , 	111 , 	131 , 	26 , 	24 , 	20 , 	8 , 	13 , 	33 , 	22 , 	488 , 	498 , 	470 , 	339 , 	83 , 	75 , 	37 , 	52 , 	52 , 	18 , 	62 , 	152 , 	9 , 	30 ," 	4,460 ",,,OAK," 	13,407 "," 	1,546 "," 	3,018 "," 	5,430 "," 	3,903 "," 	6,870 "," 	34,176 ",
