Exit stations,Entry stations->,,SUNDAY,,,Mar 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	10 , 	29 , 	35 , 	19 , 	102 , 	19 , 	29 , 	22 , 	18 , 	12 , 	19 , 	20 , 	9 , 	5 , 	8 , 	3 , 	3 , 	5 , 	9 , 	5 , 	4 , 	2 , 	1 , 	9 , 	7 , 	59 , 	35 , 	106 , 	49 , 	33 , 	31 , 	11 , 	7 , 	11 , 	5 , 	2 , 	3 , 	1 , 	2 , 	4 , 	4 , 	20 , 	6 , 	1 , 	4 , 	4 , 	6 , 	8 , 	3 , 	3 , 	817 ,,,,,,,,,,,
EN, 	35 , 	9 , 	22 , 	18 , 	105 , 	29 , 	35 , 	41 , 	37 , 	15 , 	35 , 	28 , 	10 , 	13 , 	9 , 	3 , 	7 , 	6 , 	5 , 	5 , 	5 , 	2 , 	4 , 	6 , 	7 , 	79 , 	69 , 	205 , 	67 , 	43 , 	35 , 	11 , 	10 , 	12 , 	9 , 	1 , 	5 , 	1 , 	4 , 	4 , 	6 , 	39 , 	7 , 	3 , 	16 , 	5 , 	6 , 	15 , 	1 , 	3 ," 	1,141 ",,,,,,,,,,,
EP, 	35 , 	16 , 	8 , 	16 , 	102 , 	23 , 	21 , 	29 , 	27 , 	11 , 	15 , 	13 , 	6 , 	4 , 	4 , 	4 , 	4 , 	5 , 	5 , 	4 , 	7 , 	4 , 	3 , 	4 , 	2 , 	43 , 	39 , 	83 , 	46 , 	20 , 	15 , 	9 , 	4 , 	5 , 	3 , 	0 , 	4 , 	0 , 	2 , 	2 , 	1 , 	24 , 	3 , 	2 , 	12 , 	1 , 	1 , 	6 , 	0 , 	2 , 	692 ,,,,,,,,,,,
NB, 	20 , 	15 , 	17 , 	8 , 	24 , 	14 , 	17 , 	30 , 	19 , 	9 , 	17 , 	9 , 	7 , 	4 , 	2 , 	6 , 	3 , 	3 , 	3 , 	1 , 	8 , 	2 , 	2 , 	2 , 	4 , 	65 , 	43 , 	96 , 	70 , 	37 , 	22 , 	9 , 	4 , 	2 , 	1 , 	1 , 	4 , 	0 , 	2 , 	1 , 	1 , 	32 , 	5 , 	1 , 	10 , 	4 , 	5 , 	6 , 	1 , 	2 , 	666 ,,,,,,,,,,,
BK, 	96 , 	107 , 	112 , 	28 , 	32 , 	51 , 	59 , 	95 , 	88 , 	35 , 	50 , 	22 , 	22 , 	20 , 	21 , 	13 , 	19 , 	30 , 	9 , 	8 , 	25 , 	12 , 	7 , 	5 , 	15 , 	197 , 	119 , 	247 , 	158 , 	87 , 	57 , 	39 , 	19 , 	22 , 	5 , 	6 , 	24 , 	3 , 	2 , 	5 , 	7 , 	81 , 	46 , 	10 , 	31 , 	16 , 	45 , 	73 , 	1 , 	3 ," 	2,275 ",,,,,,,,,,,
AS, 	16 , 	23 , 	19 , 	17 , 	48 , 	9 , 	16 , 	42 , 	25 , 	16 , 	26 , 	13 , 	3 , 	3 , 	5 , 	4 , 	5 , 	5 , 	3 , 	3 , 	4 , 	2 , 	1 , 	2 , 	7 , 	54 , 	46 , 	93 , 	65 , 	45 , 	30 , 	9 , 	5 , 	5 , 	1 , 	-   , 	2 , 	1 , 	1 , 	2 , 	3 , 	26 , 	4 , 	1 , 	10 , 	4 , 	7 , 	9 , 	-   , 	2 , 	737 ,,,,,,,,,,,
MA, 	30 , 	35 , 	21 , 	20 , 	60 , 	16 , 	12 , 	49 , 	34 , 	14 , 	45 , 	29 , 	11 , 	14 , 	15 , 	8 , 	6 , 	8 , 	19 , 	13 , 	17 , 	8 , 	7 , 	18 , 	11 , 	91 , 	76 , 	163 , 	108 , 	78 , 	57 , 	14 , 	11 , 	10 , 	2 , 	2 , 	5 , 	3 , 	10 , 	4 , 	4 , 	52 , 	6 , 	5 , 	15 , 	5 , 	9 , 	15 , 	3 , 	13 ," 	1,273 ",,,,,,,,,,,
19, 	24 , 	31 , 	24 , 	33 , 	87 , 	36 , 	40 , 	16 , 	7 , 	8 , 	22 , 	21 , 	20 , 	16 , 	12 , 	7 , 	7 , 	7 , 	11 , 	12 , 	23 , 	7 , 	6 , 	41 , 	17 , 	116 , 	90 , 	173 , 	124 , 	84 , 	66 , 	15 , 	12 , 	18 , 	5 , 	1 , 	6 , 	5 , 	5 , 	5 , 	5 , 	49 , 	8 , 	1 , 	14 , 	5 , 	9 , 	16 , 	3 , 	3 ," 	1,364 ",,,,,,,,,,,
12, 	20 , 	36 , 	22 , 	19 , 	77 , 	26 , 	32 , 	8 , 	15 , 	7 , 	19 , 	18 , 	22 , 	21 , 	16 , 	9 , 	8 , 	6 , 	9 , 	21 , 	10 , 	4 , 	9 , 	23 , 	21 , 	107 , 	76 , 	194 , 	113 , 	71 , 	43 , 	16 , 	15 , 	9 , 	11 , 	2 , 	2 , 	2 , 	11 , 	6 , 	11 , 	56 , 	15 , 	1 , 	8 , 	4 , 	9 , 	10 , 	3 , 	8 ," 	1,276 ",,,,,,,,,,,
LM, 	12 , 	16 , 	9 , 	9 , 	26 , 	12 , 	14 , 	6 , 	4 , 	11 , 	41 , 	44 , 	45 , 	46 , 	24 , 	10 , 	12 , 	16 , 	3 , 	3 , 	3 , 	1 , 	1 , 	3 , 	12 , 	87 , 	75 , 	159 , 	94 , 	60 , 	47 , 	17 , 	12 , 	11 , 	2 , 	17 , 	33 , 	-   , 	2 , 	2 , 	2 , 	7 , 	3 , 	17 , 	14 , 	13 , 	15 , 	21 , 	2 , 	2 ," 	1,093 ",,,,,,,,,,,
FV, 	19 , 	30 , 	14 , 	14 , 	50 , 	24 , 	42 , 	30 , 	29 , 	40 , 	16 , 	62 , 	47 , 	60 , 	46 , 	24 , 	13 , 	18 , 	7 , 	5 , 	8 , 	4 , 	4 , 	9 , 	34 , 	83 , 	59 , 	181 , 	124 , 	44 , 	42 , 	13 , 	16 , 	13 , 	2 , 	13 , 	29 , 	1 , 	7 , 	3 , 	3 , 	15 , 	3 , 	18 , 	4 , 	15 , 	12 , 	20 , 	1 , 	3 ," 	1,367 ",,,,,,,,,,,
