Exit stations,Entry stations->,,SATURDAY,,,Mar 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	39 , 	39 , 	21 , 	148 , 	31 , 	44 , 	28 , 	33 , 	10 , 	28 , 	21 , 	9 , 	8 , 	7 , 	6 , 	3 , 	4 , 	7 , 	8 , 	8 , 	3 , 	5 , 	13 , 	10 , 	73 , 	51 , 	146 , 	59 , 	51 , 	56 , 	13 , 	15 , 	16 , 	7 , 	3 , 	3 , 	1 , 	6 , 	6 , 	8 , 	24 , 	9 , 	1 , 	4 , 	6 , 	7 , 	6 , 	3 , 	5 ," 	1,126 ",,,,,,,,,,
CL, 	23 , 	35 , 	8 , 	14 , 	27 , 	16 , 	27 , 	36 , 	25 , 	34 , 	73 , 	16 , 	58 , 	63 , 	46 , 	28 , 	30 , 	21 , 	9 , 	9 , 	11 , 	5 , 	3 , 	9 , 	19 , 	50 , 	41 , 	133 , 	61 , 	44 , 	49 , 	9 , 	16 , 	22 , 	4 , 	16 , 	47 , 	4 , 	14 , 	3 , 	4 , 	11 , 	4 , 	19 , 	13 , 	23 , 	10 , 	26 , 	5 , 	10 ," 	1,272 ",,,,,,,,,,
SL, 	12 , 	12 , 	7 , 	6 , 	30 , 	13 , 	22 , 	31 , 	38 , 	60 , 	78 , 	63 , 	16 , 	52 , 	49 , 	20 , 	24 , 	22 , 	7 , 	2 , 	6 , 	1 , 	0 , 	8 , 	13 , 	80 , 	81 , 	200 , 	86 , 	35 , 	31 , 	8 , 	18 , 	13 , 	2 , 	13 , 	25 , 	1 , 	2 , 	2 , 	2 , 	12 , 	4 , 	19 , 	3 , 	21 , 	13 , 	24 , 	1 , 	4 ," 	1,286 ",,,,,,,,,,
BF, 	7 , 	12 , 	6 , 	5 , 	18 , 	8 , 	17 , 	30 , 	30 , 	53 , 	84 , 	60 , 	56 , 	18 , 	45 , 	28 , 	20 , 	26 , 	9 , 	3 , 	5 , 	1 , 	1 , 	4 , 	12 , 	71 , 	69 , 	217 , 	68 , 	32 , 	26 , 	8 , 	14 , 	7 , 	3 , 	17 , 	46 , 	1 , 	3 , 	3 , 	4 , 	6 , 	1 , 	34 , 	4 , 	16 , 	13 , 	22 , 	3 , 	4 ," 	1,242 ",,,,,,,,,,
HY, 	9 , 	11 , 	5 , 	5 , 	30 , 	4 , 	21 , 	26 , 	29 , 	28 , 	66 , 	47 , 	50 , 	36 , 	13 , 	27 , 	37 , 	40 , 	5 , 	2 , 	4 , 	2 , 	1 , 	4 , 	14 , 	43 , 	34 , 	82 , 	45 , 	16 , 	16 , 	5 , 	6 , 	7 , 	4 , 	4 , 	20 , 	1 , 	4 , 	1 , 	4 , 	4 , 	3 , 	9 , 	2 , 	30 , 	26 , 	31 , 	1 , 	4 , 	910 ,,,,,,,,,,
SH, 	5 , 	6 , 	5 , 	4 , 	17 , 	3 , 	6 , 	14 , 	12 , 	12 , 	24 , 	19 , 	24 , 	23 , 	28 , 	11 , 	15 , 	25 , 	2 , 	3 , 	2 , 	1 , 	1 , 	2 , 	4 , 	35 , 	18 , 	59 , 	29 , 	12 , 	11 , 	2 , 	5 , 	5 , 	3 , 	5 , 	5 , 	1 , 	3 , 	2 , 	2 , 	1 , 	1 , 	10 , 	4 , 	28 , 	10 , 	20 , 	1 , 	2 , 	536 ,,,,,,,,,,
UC, 	5 , 	11 , 	4 , 	4 , 	39 , 	6 , 	9 , 	15 , 	13 , 	15 , 	18 , 	26 , 	26 , 	20 , 	38 , 	13 , 	14 , 	23 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	6 , 	59 , 	38 , 	89 , 	36 , 	14 , 	13 , 	7 , 	5 , 	6 , 	2 , 	2 , 	14 , 	1 , 	2 , 	2 , 	4 , 	4 , 	1 , 	8 , 	4 , 	33 , 	35 , 	32 , 	1 , 	3 , 	723 ,,,,,,,,,,
FM, 	6 , 	9 , 	5 , 	5 , 	42 , 	7 , 	14 , 	19 , 	15 , 	18 , 	34 , 	16 , 	20 , 	25 , 	47 , 	35 , 	23 , 	19 , 	2 , 	4 , 	2 , 	2 , 	1 , 	2 , 	3 , 	84 , 	41 , 	97 , 	57 , 	19 , 	15 , 	6 , 	5 , 	8 , 	2 , 	6 , 	16 , 	1 , 	2 , 	1 , 	-   , 	10 , 	1 , 	7 , 	4 , 	24 , 	35 , 	30 , 	-   , 	1 , 	842 ,,,,,,,,,,
CN, 	7 , 	8 , 	5 , 	4 , 	20 , 	6 , 	29 , 	24 , 	23 , 	5 , 	12 , 	9 , 	9 , 	9 , 	8 , 	2 , 	2 , 	3 , 	17 , 	28 , 	99 , 	60 , 	11 , 	28 , 	7 , 	68 , 	63 , 	133 , 	60 , 	29 , 	24 , 	10 , 	7 , 	16 , 	6 , 	1 , 	4 , 	10 , 	54 , 	5 , 	6 , 	42 , 	5 , 	3 , 	8 , 	3 , 	5 , 	8 , 	28 , 	27 ," 	1,053 ",,,,,,,,,,
PH, 	11 , 	5 , 	4 , 	6 , 	15 , 	4 , 	20 , 	24 , 	20 , 	1 , 	8 , 	8 , 	3 , 	3 , 	2 , 	2 , 	2 , 	1 , 	34 , 	8 , 	35 , 	18 , 	6 , 	31 , 	5 , 	94 , 	70 , 	151 , 	69 , 	14 , 	17 , 	9 , 	4 , 	9 , 	3 , 	2 , 	2 , 	3 , 	16 , 	5 , 	6 , 	50 , 	4 , 	2 , 	10 , 	3 , 	2 , 	4 , 	7 , 	18 , 	845 ,,,,,,,,,,
WC, 	9 , 	8 , 	8 , 	7 , 	37 , 	4 , 	35 , 	34 , 	26 , 	4 , 	9 , 	13 , 	7 , 	4 , 	1 , 	3 , 	2 , 	3 , 	126 , 	38 , 	26 , 	24 , 	13 , 	49 , 	4 , 	114 , 	83 , 	168 , 	111 , 	32 , 	21 , 	9 , 	10 , 	6 , 	4 , 	1 , 	1 , 	9 , 	39 , 	4 , 	4 , 	53 , 	6 , 	0 , 	8 , 	1 , 	3 , 	6 , 	19 , 	28 ," 	1,227 ",,,,,,,,,,
