Exit stations,Entry stations->,,SUNDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	22 , 	19 , 	10 , 	55 , 	13 , 	15 , 	15 , 	14 , 	11 , 	20 , 	15 , 	9 , 	3 , 	7 , 	2 , 	2 , 	2 , 	4 , 	2 , 	3 , 	2 , 	2 , 	3 , 	7 , 	31 , 	15 , 	72 , 	25 , 	29 , 	28 , 	8 , 	8 , 	8 , 	3 , 	1 , 	2 , 	0 , 	1 , 	2 , 	5 , 	13 , 	3 , 	0 , 	4 , 	4 , 	3 , 	6 , 	2 , 	3 , 	544 ,,,,,,,,,,,
EN, 	21 , 	12 , 	12 , 	11 , 	70 , 	17 , 	24 , 	22 , 	28 , 	11 , 	23 , 	18 , 	10 , 	10 , 	9 , 	2 , 	6 , 	3 , 	7 , 	4 , 	6 , 	2 , 	1 , 	6 , 	5 , 	62 , 	33 , 	112 , 	35 , 	33 , 	22 , 	6 , 	6 , 	8 , 	5 , 	1 , 	2 , 	0 , 	5 , 	2 , 	4 , 	26 , 	7 , 	3 , 	9 , 	5 , 	6 , 	10 , 	2 , 	2 , 	747 ,,,,,,,,,,,
EP, 	21 , 	12 , 	7 , 	11 , 	67 , 	16 , 	13 , 	13 , 	17 , 	11 , 	11 , 	5 , 	2 , 	5 , 	4 , 	3 , 	1 , 	2 , 	2 , 	1 , 	3 , 	4 , 	1 , 	4 , 	1 , 	38 , 	20 , 	46 , 	22 , 	10 , 	8 , 	3 , 	2 , 	2 , 	1 , 	0 , 	1 , 	-   , 	2 , 	1 , 	2 , 	15 , 	1 , 	1 , 	7 , 	1 , 	3 , 	4 , 	1 , 	1 , 	429 ,,,,,,,,,,,
NB, 	12 , 	10 , 	18 , 	4 , 	12 , 	7 , 	12 , 	17 , 	9 , 	9 , 	13 , 	4 , 	5 , 	3 , 	1 , 	1 , 	2 , 	2 , 	2 , 	2 , 	3 , 	1 , 	0 , 	3 , 	3 , 	44 , 	24 , 	45 , 	27 , 	19 , 	11 , 	3 , 	2 , 	4 , 	1 , 	1 , 	1 , 	1 , 	2 , 	0 , 	1 , 	22 , 	2 , 	-   , 	9 , 	2 , 	3 , 	5 , 	1 , 	0 , 	387 ,,,,,,,,,,,
BK, 	57 , 	78 , 	71 , 	19 , 	34 , 	34 , 	37 , 	51 , 	48 , 	27 , 	32 , 	19 , 	18 , 	12 , 	18 , 	7 , 	12 , 	13 , 	7 , 	6 , 	10 , 	5 , 	3 , 	3 , 	13 , 	116 , 	62 , 	135 , 	79 , 	60 , 	27 , 	18 , 	10 , 	10 , 	3 , 	2 , 	9 , 	2 , 	5 , 	3 , 	2 , 	91 , 	13 , 	3 , 	56 , 	7 , 	21 , 	37 , 	1 , 	3 ," 	1,409 ",,,,,,,,,,,
AS, 	15 , 	20 , 	15 , 	7 , 	29 , 	10 , 	13 , 	13 , 	18 , 	12 , 	17 , 	8 , 	7 , 	8 , 	4 , 	2 , 	2 , 	4 , 	2 , 	2 , 	2 , 	1 , 	-   , 	1 , 	5 , 	32 , 	19 , 	49 , 	33 , 	26 , 	16 , 	4 , 	5 , 	3 , 	1 , 	1 , 	4 , 	1 , 	0 , 	1 , 	0 , 	15 , 	3 , 	0 , 	8 , 	2 , 	3 , 	8 , 	0 , 	0 , 	453 ,,,,,,,,,,,
MA, 	20 , 	22 , 	18 , 	14 , 	37 , 	10 , 	17 , 	17 , 	20 , 	10 , 	32 , 	20 , 	15 , 	9 , 	8 , 	3 , 	4 , 	4 , 	10 , 	9 , 	13 , 	5 , 	3 , 	17 , 	13 , 	78 , 	45 , 	93 , 	63 , 	50 , 	35 , 	12 , 	9 , 	4 , 	3 , 	1 , 	4 , 	3 , 	6 , 	1 , 	3 , 	34 , 	6 , 	2 , 	7 , 	2 , 	5 , 	6 , 	3 , 	7 , 	832 ,,,,,,,,,,,
19, 	9 , 	17 , 	15 , 	13 , 	46 , 	15 , 	18 , 	15 , 	5 , 	5 , 	16 , 	11 , 	14 , 	14 , 	12 , 	4 , 	4 , 	7 , 	9 , 	8 , 	12 , 	7 , 	5 , 	18 , 	11 , 	86 , 	48 , 	113 , 	68 , 	61 , 	33 , 	12 , 	8 , 	10 , 	4 , 	1 , 	1 , 	2 , 	5 , 	1 , 	3 , 	34 , 	4 , 	-   , 	13 , 	4 , 	5 , 	7 , 	2 , 	6 , 	840 ,,,,,,,,,,,
12, 	17 , 	20 , 	16 , 	11 , 	39 , 	15 , 	22 , 	3 , 	16 , 	4 , 	18 , 	19 , 	17 , 	20 , 	16 , 	5 , 	5 , 	7 , 	6 , 	9 , 	9 , 	5 , 	6 , 	12 , 	12 , 	78 , 	50 , 	136 , 	72 , 	46 , 	27 , 	12 , 	12 , 	11 , 	6 , 	0 , 	3 , 	2 , 	7 , 	3 , 	4 , 	35 , 	8 , 	1 , 	9 , 	7 , 	8 , 	7 , 	1 , 	4 , 	879 ,,,,,,,,,,,
LM, 	14 , 	14 , 	13 , 	11 , 	26 , 	13 , 	9 , 	6 , 	5 , 	8 , 	48 , 	30 , 	35 , 	37 , 	19 , 	8 , 	13 , 	9 , 	3 , 	4 , 	3 , 	0 , 	1 , 	1 , 	15 , 	60 , 	41 , 	110 , 	59 , 	49 , 	37 , 	11 , 	11 , 	5 , 	2 , 	16 , 	30 , 	0 , 	3 , 	2 , 	1 , 	6 , 	1 , 	11 , 	12 , 	6 , 	8 , 	10 , 	1 , 	3 , 	841 ,,,,,,,,,,,
FV, 	25 , 	25 , 	12 , 	11 , 	35 , 	17 , 	31 , 	19 , 	13 , 	45 , 	16 , 	37 , 	41 , 	59 , 	40 , 	23 , 	13 , 	15 , 	9 , 	4 , 	5 , 	2 , 	4 , 	7 , 	20 , 	74 , 	43 , 	149 , 	93 , 	47 , 	41 , 	9 , 	8 , 	12 , 	3 , 	12 , 	24 , 	1 , 	3 , 	2 , 	4 , 	10 , 	3 , 	16 , 	6 , 	7 , 	8 , 	20 , 	2 , 	3 ," 	1,124 ",,,,,,,,,,,
CL, 	12 , 	21 , 	5 , 	4 , 	18 , 	9 , 	18 , 	9 , 	18 , 	30 , 	35 , 	9 , 	25 , 	37 , 	21 , 	14 , 	8 , 	6 , 	6 , 	7 , 	4 , 	3 , 	2 , 	4 , 	17 , 	32 , 	20 , 	68 , 	32 , 	19 , 	20 , 	5 , 	4 , 	8 , 	1 , 	8 , 	20 , 	1 , 	5 , 	0 , 	2 , 	5 , 	1 , 	12 , 	20 , 	6 , 	5 , 	8 , 	1 , 	9 , 	656 ,,,,,,,,,,,
SL, 	8 , 	7 , 	5 , 	4 , 	20 , 	6 , 	13 , 	18 , 	19 , 	38 , 	48 , 	26 , 	8 , 	28 , 	27 , 	12 , 	11 , 	12 , 	4 , 	2 , 	5 , 	1 , 	1 , 	5 , 	9 , 	63 , 	35 , 	96 , 	41 , 	20 , 	17 , 	3 , 	6 , 	4 , 	1 , 	12 , 	17 , 	0 , 	3 , 	1 , 	2 , 	10 , 	1 , 	13 , 	7 , 	10 , 	7 , 	7 , 	1 , 	3 , 	713 ,,,,,,,,,,,
BF, 	6 , 	9 , 	3 , 	6 , 	12 , 	8 , 	10 , 	12 , 	24 , 	41 , 	64 , 	36 , 	37 , 	9 , 	22 , 	15 , 	10 , 	16 , 	6 , 	2 , 	4 , 	1 , 	2 , 	2 , 	9 , 	50 , 	34 , 	80 , 	31 , 	16 , 	11 , 	5 , 	4 , 	6 , 	5 , 	11 , 	25 , 	0 , 	2 , 	1 , 	3 , 	10 , 	1 , 	13 , 	2 , 	12 , 	9 , 	7 , 	0 , 	2 , 	704 ,,,,,,,,,,,
HY, 	4 , 	9 , 	3 , 	2 , 	15 , 	6 , 	10 , 	12 , 	17 , 	15 , 	40 , 	18 , 	24 , 	21 , 	7 , 	15 , 	19 , 	20 , 	3 , 	3 , 	2 , 	1 , 	1 , 	1 , 	5 , 	29 , 	7 , 	28 , 	14 , 	7 , 	6 , 	3 , 	4 , 	1 , 	1 , 	6 , 	10 , 	0 , 	2 , 	1 , 	2 , 	6 , 	1 , 	7 , 	5 , 	12 , 	13 , 	21 , 	1 , 	2 , 	459 ,,,,,,,,,,,
SH, 	1 , 	4 , 	2 , 	2 , 	7 , 	2 , 	3 , 	6 , 	6 , 	9 , 	23 , 	11 , 	12 , 	11 , 	11 , 	8 , 	5 , 	12 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	2 , 	22 , 	6 , 	26 , 	6 , 	5 , 	5 , 	2 , 	3 , 	1 , 	1 , 	4 , 	3 , 	-   , 	2 , 	1 , 	1 , 	4 , 	1 , 	5 , 	2 , 	10 , 	9 , 	11 , 	-   , 	1 , 	272 ,,,,,,,,,,,
UC, 	3 , 	9 , 	2 , 	2 , 	11 , 	4 , 	3 , 	5 , 	6 , 	11 , 	15 , 	11 , 	12 , 	14 , 	21 , 	6 , 	7 , 	14 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	3 , 	22 , 	9 , 	28 , 	14 , 	6 , 	3 , 	3 , 	1 , 	2 , 	1 , 	2 , 	6 , 	0 , 	1 , 	1 , 	0 , 	5 , 	0 , 	3 , 	5 , 	11 , 	15 , 	15 , 	1 , 	1 , 	319 ,,,,,,,,,,,
FM, 	2 , 	5 , 	3 , 	2 , 	15 , 	2 , 	5 , 	7 , 	7 , 	13 , 	16 , 	7 , 	13 , 	16 , 	21 , 	13 , 	12 , 	7 , 	2 , 	1 , 	2 , 	-   , 	1 , 	1 , 	3 , 	38 , 	16 , 	36 , 	10 , 	9 , 	6 , 	1 , 	4 , 	2 , 	2 , 	2 , 	6 , 	-   , 	2 , 	0 , 	1 , 	10 , 	1 , 	2 , 	8 , 	12 , 	24 , 	16 , 	0 , 	2 , 	385 ,,,,,,,,,,,
