Exit stations,Entry stations->,,SATURDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	13 , 	28 , 	22 , 	14 , 	80 , 	16 , 	29 , 	19 , 	26 , 	6 , 	22 , 	22 , 	6 , 	5 , 	5 , 	6 , 	3 , 	2 , 	6 , 	4 , 	4 , 	2 , 	1 , 	7 , 	9 , 	55 , 	31 , 	110 , 	42 , 	43 , 	53 , 	8 , 	15 , 	11 , 	4 , 	3 , 	3 , 	0 , 	3 , 	2 , 	7 , 	19 , 	4 , 	-   , 	3 , 	4 , 	2 , 	5 , 	2 , 	3 , 	784 ,,,,,,,,,,
CL, 	25 , 	31 , 	13 , 	8 , 	26 , 	16 , 	26 , 	25 , 	24 , 	41 , 	67 , 	17 , 	51 , 	47 , 	35 , 	22 , 	16 , 	23 , 	14 , 	11 , 	8 , 	8 , 	10 , 	5 , 	21 , 	58 , 	31 , 	108 , 	48 , 	33 , 	34 , 	8 , 	14 , 	23 , 	5 , 	21 , 	108 , 	5 , 	12 , 	4 , 	6 , 	6 , 	2 , 	30 , 	18 , 	20 , 	9 , 	24 , 	3 , 	12 ," 	1,234 ",,,,,,,,,,
SL, 	8 , 	11 , 	7 , 	6 , 	24 , 	7 , 	18 , 	21 , 	30 , 	40 , 	66 , 	57 , 	10 , 	32 , 	32 , 	22 , 	20 , 	17 , 	4 , 	3 , 	6 , 	0 , 	1 , 	4 , 	14 , 	69 , 	49 , 	137 , 	49 , 	28 , 	20 , 	8 , 	14 , 	9 , 	1 , 	14 , 	18 , 	1 , 	4 , 	1 , 	4 , 	12 , 	2 , 	15 , 	6 , 	14 , 	6 , 	10 , 	1 , 	5 , 	958 ,,,,,,,,,,
BF, 	5 , 	11 , 	2 , 	5 , 	17 , 	6 , 	10 , 	21 , 	26 , 	41 , 	75 , 	59 , 	38 , 	9 , 	38 , 	20 , 	16 , 	21 , 	5 , 	1 , 	5 , 	1 , 	1 , 	4 , 	13 , 	72 , 	53 , 	144 , 	40 , 	24 , 	18 , 	6 , 	12 , 	7 , 	4 , 	15 , 	23 , 	1 , 	2 , 	2 , 	3 , 	13 , 	-   , 	15 , 	2 , 	14 , 	6 , 	13 , 	2 , 	1 , 	944 ,,,,,,,,,,
HY, 	9 , 	10 , 	5 , 	4 , 	14 , 	5 , 	14 , 	12 , 	18 , 	16 , 	45 , 	32 , 	41 , 	38 , 	12 , 	22 , 	19 , 	27 , 	2 , 	2 , 	2 , 	1 , 	2 , 	2 , 	8 , 	32 , 	16 , 	45 , 	18 , 	13 , 	12 , 	4 , 	5 , 	5 , 	3 , 	8 , 	9 , 	0 , 	3 , 	1 , 	2 , 	6 , 	1 , 	9 , 	2 , 	17 , 	15 , 	15 , 	1 , 	3 , 	608 ,,,,,,,,,,
SH, 	5 , 	5 , 	3 , 	1 , 	12 , 	4 , 	4 , 	5 , 	9 , 	6 , 	23 , 	16 , 	21 , 	17 , 	22 , 	6 , 	7 , 	18 , 	1 , 	2 , 	2 , 	0 , 	-   , 	1 , 	4 , 	28 , 	10 , 	37 , 	12 , 	4 , 	10 , 	1 , 	4 , 	2 , 	2 , 	6 , 	3 , 	1 , 	1 , 	1 , 	1 , 	7 , 	1 , 	4 , 	1 , 	14 , 	7 , 	9 , 	0 , 	2 , 	360 ,,,,,,,,,,
UC, 	6 , 	7 , 	3 , 	1 , 	16 , 	5 , 	8 , 	6 , 	4 , 	14 , 	22 , 	18 , 	19 , 	15 , 	26 , 	9 , 	9 , 	16 , 	1 , 	0 , 	1 , 	0 , 	-   , 	1 , 	5 , 	30 , 	18 , 	53 , 	18 , 	10 , 	6 , 	3 , 	2 , 	3 , 	0 , 	3 , 	7 , 	-   , 	1 , 	2 , 	1 , 	7 , 	1 , 	2 , 	5 , 	12 , 	13 , 	20 , 	1 , 	2 , 	433 ,,,,,,,,,,
FM, 	4 , 	6 , 	1 , 	3 , 	17 , 	4 , 	8 , 	6 , 	10 , 	11 , 	25 , 	18 , 	14 , 	19 , 	29 , 	15 , 	13 , 	14 , 	3 , 	1 , 	1 , 	1 , 	0 , 	1 , 	2 , 	43 , 	22 , 	48 , 	22 , 	15 , 	8 , 	3 , 	2 , 	6 , 	2 , 	6 , 	9 , 	0 , 	3 , 	0 , 	1 , 	9 , 	1 , 	3 , 	6 , 	21 , 	17 , 	22 , 	1 , 	1 , 	498 ,,,,,,,,,,
CN, 	6 , 	7 , 	4 , 	4 , 	9 , 	3 , 	16 , 	13 , 	14 , 	2 , 	7 , 	11 , 	4 , 	3 , 	3 , 	2 , 	2 , 	3 , 	10 , 	26 , 	75 , 	23 , 	4 , 	21 , 	3 , 	67 , 	33 , 	79 , 	32 , 	18 , 	19 , 	6 , 	6 , 	7 , 	3 , 	1 , 	2 , 	7 , 	35 , 	3 , 	3 , 	35 , 	3 , 	0 , 	6 , 	0 , 	2 , 	3 , 	22 , 	19 , 	681 ,,,,,,,,,,
PH, 	4 , 	4 , 	2 , 	2 , 	9 , 	4 , 	12 , 	12 , 	11 , 	2 , 	5 , 	12 , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	23 , 	6 , 	31 , 	12 , 	4 , 	18 , 	3 , 	56 , 	31 , 	85 , 	31 , 	16 , 	11 , 	8 , 	4 , 	4 , 	2 , 	0 , 	2 , 	4 , 	13 , 	4 , 	3 , 	34 , 	2 , 	-   , 	5 , 	0 , 	1 , 	3 , 	5 , 	9 , 	521 ,,,,,,,,,,
WC, 	5 , 	10 , 	3 , 	5 , 	16 , 	3 , 	19 , 	19 , 	17 , 	2 , 	8 , 	8 , 	5 , 	4 , 	2 , 	1 , 	3 , 	1 , 	88 , 	33 , 	12 , 	15 , 	7 , 	26 , 	6 , 	73 , 	45 , 	94 , 	42 , 	20 , 	12 , 	6 , 	5 , 	6 , 	6 , 	0 , 	1 , 	12 , 	28 , 	4 , 	4 , 	36 , 	2 , 	1 , 	7 , 	1 , 	1 , 	3 , 	10 , 	19 , 	757 ,,,,,,,,,,
LF, 	2 , 	3 , 	2 , 	1 , 	5 , 	1 , 	8 , 	7 , 	7 , 	0 , 	2 , 	6 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	35 , 	18 , 	17 , 	5 , 	4 , 	13 , 	0 , 	36 , 	21 , 	47 , 	22 , 	11 , 	5 , 	2 , 	2 , 	2 , 	0 , 	0 , 	0 , 	3 , 	10 , 	0 , 	1 , 	19 , 	2 , 	-   , 	3 , 	1 , 	1 , 	2 , 	6 , 	4 , 	341 ,,,,,,,,,,
OR, 	1 , 	1 , 	0 , 	1 , 	5 , 	1 , 	7 , 	9 , 	6 , 	0 , 	4 , 	9 , 	1 , 	2 , 	2 , 	1 , 	0 , 	-   , 	3 , 	4 , 	7 , 	6 , 	5 , 	10 , 	0 , 	42 , 	18 , 	38 , 	20 , 	12 , 	3 , 	3 , 	1 , 	1 , 	-   , 	1 , 	0 , 	1 , 	2 , 	0 , 	1 , 	14 , 	1 , 	-   , 	2 , 	-   , 	0 , 	1 , 	1 , 	2 , 	252 ,,,,,,,,,,
RR, 	8 , 	4 , 	7 , 	4 , 	4 , 	2 , 	18 , 	28 , 	18 , 	4 , 	16 , 	5 , 	7 , 	4 , 	3 , 	1 , 	3 , 	2 , 	18 , 	17 , 	26 , 	16 , 	13 , 	8 , 	12 , 	95 , 	57 , 	107 , 	63 , 	41 , 	31 , 	12 , 	7 , 	8 , 	3 , 	1 , 	2 , 	4 , 	5 , 	1 , 	2 , 	44 , 	2 , 	0 , 	5 , 	0 , 	2 , 	2 , 	2 , 	10 , 	753 ,,,,,,,,,,
OW, 	8 , 	8 , 	1 , 	5 , 	16 , 	8 , 	14 , 	13 , 	21 , 	7 , 	28 , 	19 , 	13 , 	10 , 	5 , 	3 , 	3 , 	2 , 	2 , 	1 , 	6 , 	1 , 	1 , 	10 , 	9 , 	182 , 	106 , 	284 , 	116 , 	79 , 	48 , 	13 , 	12 , 	14 , 	5 , 	2 , 	5 , 	1 , 	3 , 	3 , 	6 , 	27 , 	5 , 	3 , 	4 , 	4 , 	1 , 	3 , 	1 , 	5 ," 	1,143 ",,,,,,,,,,
