Exit stations,Entry stations->,,TOTAL,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	304 ," 	1,304 "," 	1,079 ", 	684 ," 	3,631 ", 	931 ," 	1,397 "," 	1,022 "," 	1,127 ", 	335 ," 	1,063 ", 	713 , 	411 , 	206 , 	353 , 	186 , 	156 , 	146 , 	252 , 	98 , 	253 , 	122 , 	83 , 	239 , 	374 ," 	3,115 "," 	2,279 "," 	4,561 "," 	2,482 "," 	2,282 "," 	2,242 ", 	509 , 	663 , 	465 , 	233 , 	75 , 	136 , 	38 , 	133 , 	121 , 	251 , 	484 , 	195 , 	44 , 	128 , 	185 , 	96 , 	143 , 	126 , 	167 ," 	37,622 ",,,,,,,,,,,,,
GP, 	442 , 	548 , 	228 , 	201 , 	732 , 	265 , 	604 , 	569 , 	621 , 	494 , 	561 , 	350 , 	331 , 	297 , 	220 , 	163 , 	67 , 	84 , 	375 , 	266 , 	273 , 	83 , 	107 , 	370 , 	619 ," 	4,130 "," 	5,018 "," 	8,181 "," 	4,071 "," 	2,826 "," 	2,596 ", 	334 ," 	1,044 ", 	755 , 	445 , 	104 , 	230 , 	57 , 	344 , 	419 , 	694 ," 	1,091 ", 	662 , 	95 , 	95 , 	39 , 	54 , 	83 , 	123 , 	319 ," 	42,679 ",,,,,,,,,,,,,
BP, 	568 , 	723 , 	182 , 	243 , 	503 , 	324 , 	572 , 	623 , 	861 , 	606 , 	713 , 	574 , 	497 , 	436 , 	185 , 	167 , 	166 , 	117 , 	364 , 	235 , 	211 , 	75 , 	40 , 	562 , 	917 ," 	5,865 "," 	6,283 "," 	15,443 "," 	6,564 "," 	4,017 "," 	4,298 ", 	842 , 	417 , 	701 , 	951 , 	132 , 	292 , 	47 , 	402 , 	659 ," 	1,154 "," 	1,551 "," 	1,078 ", 	95 , 	58 , 	101 , 	66 , 	105 , 	107 , 	344 ," 	62,036 ",,,,,,,,,,,,,
DC, 	483 , 	628 , 	146 , 	220 , 	487 , 	186 , 	348 , 	511 , 	880 , 	425 , 	675 , 	451 , 	364 , 	238 , 	269 , 	142 , 	134 , 	192 , 	269 , 	242 , 	290 , 	77 , 	58 , 	169 , 	369 ," 	5,321 "," 	5,986 "," 	11,142 "," 	5,870 "," 	3,819 "," 	3,796 ", 	802 , 	896 , 	380 , 	452 , 	138 , 	320 , 	36 , 	281 , 	754 ," 	1,271 "," 	2,663 "," 	1,361 ", 	118 , 	114 , 	166 , 	103 , 	76 , 	159 , 	441 ," 	54,718 ",,,,,,,,,,,,,
CM, 	162 , 	224 , 	58 , 	66 , 	118 , 	61 , 	198 , 	170 , 	335 , 	71 , 	207 , 	120 , 	75 , 	138 , 	40 , 	81 , 	55 , 	61 , 	140 , 	69 , 	121 , 	39 , 	25 , 	80 , 	200 ," 	1,936 "," 	2,118 "," 	4,428 "," 	2,756 "," 	1,834 "," 	1,798 ", 	580 , 	982 , 	388 , 	175 , 	28 , 	80 , 	39 , 	214 , 	165 , 	530 ," 	2,200 ", 	721 , 	7 , 	7 , 	19 , 	24 , 	14 , 	85 , 	234 ," 	24,276 ",,,,,,,,,,,,,
CV, 	70 , 	48 , 	51 , 	81 , 	225 , 	65 , 	137 , 	147 , 	190 , 	939 , 	689 , 	458 , 	681 , 	529 , 	306 , 	218 , 	148 , 	161 , 	32 , 	13 , 	36 , 	18 , 	28 , 	48 , 	116 ," 	1,724 "," 	1,740 "," 	1,883 "," 	1,172 ", 	493 , 	208 , 	118 , 	152 , 	146 , 	29 , 	169 , 	983 , 	5 , 	24 , 	50 , 	74 , 	162 , 	26 , 	658 , 	66 , 	132 , 	44 , 	53 , 	6 , 	11 ," 	15,562 ",,,,,,,,,,,,,
ED, 	99 , 	179 , 	71 , 	88 , 	488 , 	179 , 	330 , 	338 , 	470 ," 	1,164 "," 	1,702 "," 	1,389 "," 	1,031 "," 	1,022 ", 	549 , 	354 , 	448 , 	342 , 	115 , 	62 , 	40 , 	26 , 	10 , 	68 , 	289 ," 	4,129 "," 	3,096 "," 	3,813 "," 	2,256 ", 	912 , 	547 , 	262 , 	268 , 	334 , 	80 , 	923 , 	456 , 	11 , 	51 , 	54 , 	36 , 	982 , 	106 , 	271 , 	656 , 	171 , 	228 , 	209 , 	20 , 	54 ," 	30,778 ",,,,,,,,,,,,,
NC, 	51 , 	68 , 	30 , 	23 , 	159 , 	28 , 	215 , 	179 , 	222 , 	35 , 	43 , 	82 , 	57 , 	35 , 	15 , 	21 , 	7 , 	30 , 	336 , 	255 , 	406 , 	75 , 	41 , 	137 , 	35 , 	864 , 	802 ," 	1,139 ", 	842 , 	274 , 	340 , 	77 , 	73 , 	52 , 	29 , 	1 , 	11 , 	46 , 	263 , 	97 , 	41 , 	452 , 	13 , 	3 , 	102 , 	4 , 	22 , 	12 , 	214 , 	253 ," 	8,611 ",,,,,,,,,,,,,
WP, 	134 , 	172 , 	79 , 	66 , 	408 , 	78 , 	838 , 	558 , 	834 , 	145 , 	221 , 	246 , 	69 , 	116 , 	82 , 	102 , 	51 , 	97 ," 	1,897 ", 	815 ," 	1,217 ", 	383 , 	114 , 	312 , 	166 ," 	2,679 "," 	2,444 "," 	4,009 "," 	2,882 "," 	1,195 "," 	1,063 ", 	416 , 	436 , 	318 , 	183 , 	30 , 	44 , 	274 , 	254 , 	161 , 	303 ," 	1,162 ", 	99 , 	4 , 	230 , 	130 , 	25 , 	45 , 	303 , 	343 ," 	28,232 ",,,,,,,,,,,,,
SS, 	139 , 	221 , 	77 , 	59 , 	168 , 	73 , 	164 , 	190 , 	302 , 	113 , 	119 , 	102 , 	105 , 	115 , 	94 , 	37 , 	23 , 	10 , 	112 , 	155 , 	163 , 	10 , 	22 , 	126 , 	179 ," 	1,604 "," 	1,619 "," 	3,257 "," 	2,037 "," 	1,351 "," 	1,318 ", 	445 , 	801 , 	800 , 	260 , 	54 , 	70 , 	93 , 	153 , 	159 , 	344 , 	933 , 	441 , 	17 , 	28 , 	41 , 	8 , 	27 , 	81 , 	205 ," 	19,024 ",,,,,,,,,,,,,
SB, 	323 , 	319 , 	94 , 	55 , 	192 , 	108 , 	135 , 	202 , 	341 , 	136 , 	237 , 	170 , 	149 , 	150 , 	150 , 	69 , 	45 , 	36 , 	231 , 	130 , 	175 , 	61 , 	38 , 	124 , 	302 ," 	1,224 "," 	1,574 "," 	3,178 "," 	2,107 "," 	1,623 "," 	1,690 ", 	816 ," 	1,308 "," 	1,401 ", 	570 , 	63 , 	54 , 	60 , 	273 , 	383 , 	260 , 	962 , 	335 , 	24 , 	31 , 	7 , 	10 , 	6 , 	76 , 	239 ," 	22,246 ",,,,,,,,,,,,,
SO, 	408 , 	905 , 	424 , 	490 , 	925 , 	336 , 	655 , 	585 , 	720 , 	238 , 	350 , 	221 , 	304 , 	250 , 	150 , 	177 , 	122 , 	131 ," 	1,105 ", 	989 , 	978 , 	528 , 	404 , 	697 , 	815 ," 	1,750 "," 	1,684 "," 	6,342 "," 	2,518 "," 	1,645 "," 	1,078 ", 	721 ," 	1,288 "," 	1,806 "," 	1,709 ", 	109 , 	642 , 	363 ," 	1,127 ", 	744 , 	543 , 	672 ," 	2,427 ", 	144 , 	161 , 	50 , 	74 , 	45 , 	156 , 	974 ," 	41,679 ",,,,,,,,,,,,,
MB, 	172 , 	444 , 	130 , 	110 , 	642 , 	152 , 	306 , 	222 , 	425 , 	78 , 	144 , 	133 , 	51 , 	107 , 	62 , 	59 , 	33 , 	21 , 	145 , 	132 , 	118 , 	33 , 	36 , 	75 , 	199 ," 	1,387 "," 	1,655 "," 	2,515 "," 	1,790 "," 	1,269 "," 	1,174 ", 	605 ," 	1,093 "," 	1,285 ", 	621 , 	18 , 	101 , 	21 , 	83 , 	388 , 	250 ," 	4,509 ", 	499 , 	28 , 	54 , 	8 , 	2 , 	4 , 	26 , 	172 ," 	23,586 ",,,,,,,,,,,,,
WD, 	54 , 	101 , 	70 , 	42 , 	153 , 	53 , 	129 , 	125 , 	123 , 	574 , 	781 , 	482 , 	606 , 	787 , 	348 , 	223 , 	201 , 	129 , 	50 , 	57 , 	21 , 	5 , 	3 , 	18 , 	63 ," 	1,667 "," 	1,139 "," 	1,339 ", 	974 , 	450 , 	259 , 	130 , 	105 , 	115 , 	15 , 	671 , 	413 , 	13 , 	6 , 	14 , 	37 , 	266 , 	22 , 	148 , 	199 , 	51 , 	63 , 	74 , 	7 , 	35 ," 	13,410 ",,,,,,,,,,,,,
OA, 	76 , 	214 , 	146 , 	149 , 	330 , 	136 , 	152 , 	145 , 	179 , 	161 , 	132 , 	238 , 	106 , 	59 , 	50 , 	33 , 	94 , 	121 , 	172 , 	220 , 	165 , 	97 , 	76 , 	74 , 	50 , 	525 , 	381 , 	516 , 	271 , 	179 , 	107 , 	78 , 	75 , 	61 , 	16 , 	32 , 	389 , 	71 , 	176 , 	13 , 	19 , 	199 , 	17 , 	93 , 	92 , 	51 , 	88 , 	74 , 	15 , 	180 ," 	7,093 ",,,,,,,,,,,,,
WS, 	183 , 	269 , 	115 , 	114 , 	351 , 	142 , 	140 , 	367 , 	290 , 	430 , 	627 , 	578 , 	556 , 	638 , 	765 , 	909 , 	650 , 	609 , 	65 , 	68 , 	47 , 	20 , 	6 , 	30 , 	124 , 	559 , 	525 , 	649 , 	409 , 	161 , 	124 , 	46 , 	101 , 	110 , 	21 , 	142 , 	157 , 	8 , 	140 , 	54 , 	4 , 	105 , 	3 , 	47 , 	68 , 	181 , 	824 , 	832 , 	16 , 	67 ," 	13,446 ",,,,,,,,,,,,,
ML, 	95 , 	147 , 	70 , 	82 , 	487 , 	176 , 	177 , 	265 , 	280 , 	232 , 	347 , 	260 , 	249 , 	300 , 	529 , 	348 , 	618 , 	928 , 	107 , 	51 , 	67 , 	30 , 	24 , 	44 , 	42 , 	769 , 	516 , 	857 , 	574 , 	195 , 	161 , 	62 , 	48 , 	111 , 	27 , 	43 , 	221 , 	12 , 	38 , 	16 , 	13 , 	132 , 	5 , 	61 , 	134 , 	907 , 	240 , 	244 , 	29 , 	38 ," 	11,408 ",,,,,,,,,,,,,
BE, 	171 , 	248 , 	134 , 	114 , 	819 , 	224 , 	306 , 	305 , 	373 , 	346 , 	571 , 	371 , 	406 , 	322 , 	574 , 	396 , 	524 , 	812 , 	129 , 	57 , 	95 , 	46 , 	38 , 	54 , 	112 ," 	1,119 ", 	712 , 	982 , 	803 , 	326 , 	261 , 	75 , 	133 , 	109 , 	16 , 	42 , 	213 , 	16 , 	57 , 	17 , 	10 , 	87 , 	9 , 	74 , 	129 ," 	1,074 ", 	214 , 	230 , 	11 , 	85 ," 	14,351 ",,,,,,,,,,,,,
PC, 	142 , 	66 , 	40 , 	17 , 	121 , 	21 , 	490 , 	219 , 	233 , 	87 , 	115 , 	125 , 	61 , 	58 , 	54 , 	15 , 	29 , 	26 , 	934 , 	317 , 	482 , 	170 , 	75 , 	187 , 	99 , 	648 , 	514 , 	981 , 	639 , 	332 , 	339 , 	155 , 	111 , 	145 , 	87 , 	11 , 	4 , 	254 , 	298 , 	86 , 	70 , 	162 , 	17 , 	4 , 	43 , 	16 , 	25 , 	11 , 	53 , 	399 ," 	9,587 ",,,,,,,,,,,,,
AN, 	154 , 	154 , 	54 , 	33 , 	355 , 	84 ," 	1,077 ", 	623 , 	916 , 	220 , 	378 , 	422 , 	276 , 	94 , 	195 , 	97 , 	63 , 	79 ," 	1,147 ", 	516 , 	925 , 	173 , 	99 , 	513 , 	258 ," 	2,764 "," 	2,205 "," 	3,047 "," 	2,574 ", 	912 , 	869 , 	408 , 	415 , 	443 , 	224 , 	33 , 	62 , 	261 , 	421 , 	204 , 	203 ," 	1,223 ", 	159 , 	24 , 	301 , 	107 , 	53 , 	106 , 	446 , 	284 ," 	26,653 ",,,,,,,,,,,,,
Entries," 	37,993 "," 	53,970 "," 	28,103 "," 	21,871 "," 	65,959 "," 	26,550 "," 	53,189 "," 	52,773 "," 	59,895 "," 	41,820 "," 	67,615 "," 	41,335 "," 	46,774 "," 	40,031 "," 	31,172 "," 	21,000 "," 	21,539 "," 	22,077 "," 	34,700 "," 	27,754 "," 	30,681 "," 	14,273 "," 	11,308 "," 	26,009 "," 	50,348 "," 	145,847 "," 	123,733 "," 	200,896 "," 	129,237 "," 	84,561 "," 	86,034 "," 	43,654 "," 	67,148 "," 	51,639 "," 	24,155 "," 	15,120 "," 	30,994 "," 	9,067 "," 	27,358 "," 	18,151 "," 	20,270 "," 	58,606 "," 	22,213 "," 	12,596 "," 	11,284 "," 	14,626 "," 	11,053 "," 	13,566 "," 	9,933 "," 	25,945 "," 	2,186,425 ",,,,,,,,,,,,,
