Exit stations,Entry stations->,,TOTAL,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	304 ," 	1,304 "," 	1,079 ", 	684 ," 	3,631 ", 	931 ," 	1,397 "," 	1,022 "," 	1,127 ", 	335 ," 	1,063 ", 	713 , 	411 , 	206 , 	353 , 	186 , 	156 , 	146 , 	252 , 	98 , 	253 , 	122 , 	83 , 	239 , 	374 ," 	3,115 "," 	2,279 "," 	4,561 "," 	2,482 "," 	2,282 "," 	2,242 ", 	509 , 	663 , 	465 , 	233 , 	75 , 	136 , 	38 , 	133 , 	121 , 	251 , 	484 , 	195 , 	44 , 	128 , 	185 , 	96 , 	143 , 	126 , 	167 ," 	37,622 ",,,,,,,,,,,,,
CL, 	711 , 	949 , 	295 , 	309 ," 	1,016 ", 	563 ," 	1,468 ", 	997 ," 	1,513 "," 	1,394 "," 	2,550 ", 	364 ," 	1,458 "," 	1,586 "," 	1,347 ", 	740 , 	494 , 	546 , 	413 , 	250 , 	155 , 	122 , 	103 , 	269 , 	954 ," 	3,049 "," 	1,961 "," 	3,740 "," 	2,481 "," 	1,301 "," 	1,198 ", 	418 , 	610 , 	471 , 	107 , 	413 ," 	1,422 ", 	79 , 	215 , 	93 , 	144 , 	282 , 	111 , 	480 , 	403 , 	521 , 	235 , 	355 , 	119 , 	424 ," 	41,198 ",,,,,,,,,,,,,
SL, 	447 , 	518 , 	321 , 	347 ," 	1,341 ", 	398 ," 	1,112 ", 	982 ," 	1,714 "," 	2,668 "," 	3,016 "," 	1,525 ", 	325 ," 	1,394 "," 	1,578 "," 	1,077 ", 	949 , 	782 , 	236 , 	137 , 	205 , 	55 , 	35 , 	227 , 	598 ," 	4,002 "," 	3,907 "," 	5,551 "," 	3,527 "," 	1,369 "," 	1,222 ", 	359 , 	607 , 	403 , 	84 , 	618 ," 	1,086 ", 	35 , 	143 , 	85 , 	121 , 	450 , 	56 , 	588 , 	156 , 	635 , 	268 , 	361 , 	81 , 	278 ," 	47,979 ",,,,,,,,,,,,,
BF, 	238 , 	396 , 	120 , 	218 , 	742 , 	313 , 	723 ," 	1,015 "," 	1,528 "," 	2,025 "," 	2,921 "," 	1,742 "," 	1,602 ", 	267 ," 	1,166 ", 	885 , 	795 ," 	1,065 ", 	257 , 	115 , 	148 , 	38 , 	58 , 	166 , 	468 ," 	3,593 "," 	3,203 "," 	4,880 "," 	2,901 "," 	1,175 ", 	712 , 	297 , 	412 , 	285 , 	173 , 	502 ," 	1,138 ", 	38 , 	105 , 	105 , 	152 , 	331 , 	85 , 	687 , 	80 , 	804 , 	288 , 	326 , 	56 , 	81 ," 	41,420 ",,,,,,,,,,,,,
HY, 	325 , 	544 , 	190 , 	159 , 	729 , 	295 , 	635 , 	894 ," 	1,284 ", 	959 ," 	2,249 "," 	1,273 "," 	1,727 "," 	1,170 ", 	256 ," 	1,002 "," 	1,657 "," 	1,601 ", 	180 , 	159 , 	122 , 	41 , 	59 , 	116 , 	400 ," 	2,083 "," 	1,435 "," 	2,074 "," 	1,450 ", 	645 , 	549 , 	250 , 	240 , 	277 , 	62 , 	257 , 	654 , 	16 , 	120 , 	68 , 	170 , 	229 , 	73 , 	318 , 	100 , 	964 , 	549 , 	550 , 	62 , 	163 ," 	31,384 ",,,,,,,,,,,,,
SH, 	217 , 	196 , 	122 , 	61 , 	439 , 	170 , 	338 , 	460 , 	627 , 	746 ," 	1,228 ", 	573 ," 	1,068 ", 	813 , 	876 , 	162 , 	659 , 	840 , 	97 , 	78 , 	95 , 	24 , 	12 , 	41 , 	185 ," 	1,550 "," 	1,213 "," 	1,617 "," 	1,239 ", 	358 , 	474 , 	160 , 	174 , 	123 , 	70 , 	209 , 	213 , 	19 , 	86 , 	68 , 	38 , 	195 , 	91 , 	237 , 	69 , 	934 , 	312 , 	326 , 	11 , 	109 ," 	20,022 ",,,,,,,,,,,,,
UC, 	169 , 	391 , 	142 , 	88 , 	655 , 	197 , 	476 , 	459 , 	785 , 	793 ," 	1,125 ", 	592 , 	992 , 	962 ," 	1,667 ", 	546 , 	245 , 	915 , 	130 , 	62 , 	127 , 	14 , 	6 , 	90 , 	261 ," 	1,688 "," 	1,353 "," 	1,625 "," 	1,223 ", 	526 , 	271 , 	98 , 	139 , 	103 , 	60 , 	164 , 	432 , 	11 , 	56 , 	33 , 	35 , 	205 , 	10 , 	190 , 	141 , 	804 , 	599 , 	562 , 	54 , 	72 ," 	22,343 ",,,,,,,,,,,,,
FM, 	144 , 	358 , 	151 , 	144 , 	587 , 	205 , 	526 , 	454 , 	746 , 	664 ," 	1,098 ", 	563 , 	819 , 	999 ," 	1,506 ", 	886 , 	858 , 	260 , 	133 , 	63 , 	49 , 	16 , 	53 , 	69 , 	108 ," 	1,613 "," 	1,332 "," 	1,635 "," 	1,203 ", 	462 , 	294 , 	113 , 	147 , 	194 , 	64 , 	195 , 	359 , 	30 , 	115 , 	20 , 	32 , 	252 , 	30 , 	130 , 	207 , 	818 , 	864 , 	763 , 	36 , 	90 ," 	22,457 ",,,,,,,,,,,,,
CN, 	234 , 	291 , 	203 , 	128 , 	568 , 	140 , 	864 , 	857 ," 	1,093 ", 	217 , 	336 , 	373 , 	228 , 	213 , 	248 , 	93 , 	131 , 	147 , 	410 , 	807 ," 	2,633 ", 	956 , 	308 , 	784 , 	194 ," 	3,188 "," 	2,667 "," 	3,689 "," 	2,855 "," 	1,031 ", 	806 , 	416 , 	337 , 	277 , 	160 , 	33 , 	102 , 	424 ," 	1,756 ", 	125 , 	230 ," 	1,215 ", 	160 , 	52 , 	266 , 	81 , 	100 , 	107 ," 	1,054 "," 	1,083 "," 	34,670 ",,,,,,,,,,,,,
PH, 	136 , 	127 , 	58 , 	136 , 	544 , 	172 , 	796 , 	890 ," 	1,089 ", 	122 , 	182 , 	256 , 	133 , 	108 , 	111 , 	75 , 	55 , 	70 , 	773 , 	224 ," 	1,078 ", 	432 , 	253 , 	637 , 	116 ," 	3,624 "," 	3,310 "," 	3,191 "," 	2,335 ", 	815 , 	549 , 	400 , 	240 , 	232 , 	61 , 	19 , 	68 , 	258 , 	729 , 	128 , 	138 ," 	1,206 ", 	155 , 	19 , 	310 , 	54 , 	47 , 	63 , 	333 , 	487 ," 	27,344 ",,,,,,,,,,,,,
WC, 	244 , 	329 , 	167 , 	136 , 	666 , 	183 , 	926 ," 	1,194 "," 	1,101 ", 	240 , 	397 , 	148 , 	213 , 	166 , 	142 , 	86 , 	122 , 	47 ," 	2,908 "," 	1,155 ", 	247 , 	575 , 	357 , 	895 , 	191 ," 	3,473 "," 	2,586 "," 	2,774 "," 	2,321 ", 	768 , 	513 , 	303 , 	204 , 	297 , 	149 , 	36 , 	51 , 	516 ," 	1,216 ", 	152 , 	172 ," 	1,282 ", 	110 , 	13 , 	261 , 	63 , 	65 , 	102 , 	508 , 	836 ," 	31,606 ",,,,,,,,,,,,,
