Exit stations,Entry stations->,,SATURDAY,,,Dec 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
RM, 	11 , 	64 , 	80 , 	54 , 	226 , 	59 , 	69 , 	53 , 	67 , 	17 , 	63 , 	47 , 	21 , 	23 , 	26 , 	8 , 	11 , 	21 , 	17 , 	5 , 	11 , 	3 , 	6 , 	16 , 	23 , 	126 , 	113 , 	375 , 	114 , 	83 , 	106 , 	24 , 	36 , 	31 , 	11 , 	6 , 	9 , 	3 , 	23 , 	6 , 	15 , 	31 , 	15 , 	4 , 	7 , 	-   ," 	2,135 ",,,Eastbay," 	41,508 ",,SF CBD," 	132,978 ",64.7%,,,
EN, 	65 , 	15 , 	89 , 	70 , 	382 , 	99 , 	123 , 	112 , 	138 , 	36 , 	103 , 	111 , 	27 , 	38 , 	30 , 	18 , 	25 , 	46 , 	19 , 	14 , 	20 , 	10 , 	7 , 	18 , 	34 , 	297 , 	280 , 	982 , 	240 , 	104 , 	113 , 	37 , 	62 , 	47 , 	19 , 	8 , 	14 , 	4 , 	34 , 	14 , 	21 , 	70 , 	18 , 	11 , 	27 , 	-   ," 	4,046 ",,,Westbay," 	65,222 ",,non-CBD," 	66,303 ",32.3%,,,
EP, 	84 , 	85 , 	11 , 	55 , 	401 , 	64 , 	70 , 	90 , 	105 , 	30 , 	38 , 	37 , 	16 , 	16 , 	12 , 	5 , 	11 , 	29 , 	6 , 	12 , 	14 , 	5 , 	6 , 	24 , 	17 , 	167 , 	143 , 	529 , 	157 , 	65 , 	52 , 	24 , 	15 , 	20 , 	4 , 	6 , 	10 , 	2 , 	12 , 	5 , 	6 , 	52 , 	18 , 	5 , 	23 , 	-   ," 	2,556 ",,,Transbay," 	104,642 ",,,,,,,
NB, 	64 , 	68 , 	62 , 	15 , 	117 , 	47 , 	61 , 	96 , 	100 , 	45 , 	55 , 	45 , 	17 , 	18 , 	17 , 	6 , 	12 , 	25 , 	11 , 	10 , 	12 , 	8 , 	6 , 	20 , 	16 , 	257 , 	205 , 	518 , 	257 , 	115 , 	98 , 	31 , 	18 , 	18 , 	5 , 	6 , 	11 , 	3 , 	8 , 	1 , 	8 , 	76 , 	16 , 	6 , 	37 , 	-   ," 	2,638 ",,,,,,,,,,,
BK, 	235 , 	414 , 	402 , 	134 , 	40 , 	246 , 	253 , 	289 , 	262 , 	136 , 	167 , 	137 , 	79 , 	82 , 	62 , 	33 , 	56 , 	141 , 	49 , 	44 , 	65 , 	40 , 	26 , 	38 , 	83 , 	479 , 	346 ," 	1,122 ", 	449 , 	225 , 	170 , 	82 , 	50 , 	62 , 	13 , 	27 , 	57 , 	10 , 	52 , 	8 , 	17 , 	131 , 	77 , 	21 , 	68 , 	-   ," 	6,972 ",,,,,,,,,,,
AS, 	65 , 	92 , 	58 , 	40 , 	197 , 	17 , 	89 , 	169 , 	136 , 	61 , 	94 , 	54 , 	30 , 	27 , 	28 , 	13 , 	16 , 	31 , 	14 , 	10 , 	21 , 	6 , 	5 , 	15 , 	35 , 	224 , 	155 , 	455 , 	264 , 	177 , 	117 , 	33 , 	24 , 	19 , 	7 , 	7 , 	6 , 	4 , 	19 , 	6 , 	6 , 	56 , 	13 , 	7 , 	28 , 	-   ," 	2,945 ",,,,,,,,,,,
MA, 	88 , 	120 , 	62 , 	56 , 	223 , 	80 , 	18 , 	135 , 	138 , 	64 , 	130 , 	103 , 	46 , 	65 , 	51 , 	24 , 	23 , 	50 , 	41 , 	31 , 	45 , 	18 , 	19 , 	49 , 	60 , 	348 , 	270 , 	765 , 	411 , 	257 , 	167 , 	45 , 	43 , 	32 , 	7 , 	12 , 	15 , 	11 , 	79 , 	8 , 	14 , 	81 , 	26 , 	13 , 	36 , 	-   ," 	4,372 ",,,,,,,,,,,
19, 	56 , 	104 , 	89 , 	96 , 	233 , 	146 , 	101 , 	20 , 	17 , 	20 , 	87 , 	78 , 	66 , 	66 , 	49 , 	27 , 	27 , 	55 , 	38 , 	40 , 	50 , 	39 , 	27 , 	104 , 	42 , 	307 , 	269 , 	639 , 	392 , 	242 , 	157 , 	57 , 	45 , 	40 , 	15 , 	10 , 	27 , 	14 , 	55 , 	10 , 	16 , 	56 , 	27 , 	12 , 	17 , 	-   ," 	4,078 ",,,,,,,,,,,
12, 	81 , 	139 , 	115 , 	119 , 	276 , 	200 , 	191 , 	20 , 	17 , 	23 , 	127 , 	124 , 	89 , 	114 , 	70 , 	38 , 	48 , 	84 , 	71 , 	59 , 	58 , 	25 , 	19 , 	120 , 	96 , 	344 , 	296 , 	784 , 	362 , 	188 , 	146 , 	53 , 	70 , 	55 , 	15 , 	13 , 	25 , 	13 , 	64 , 	12 , 	25 , 	74 , 	40 , 	9 , 	29 , 	-   ," 	4,935 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	32 , 	27 , 	27 , 	97 , 	44 , 	36 , 	14 , 	15 , 	12 , 	111 , 	105 , 	118 , 	167 , 	52 , 	28 , 	39 , 	66 , 	12 , 	11 , 	12 , 	9 , 	4 , 	21 , 	31 , 	292 , 	277 , 	740 , 	289 , 	156 , 	125 , 	35 , 	41 , 	40 , 	5 , 	58 , 	80 , 	3 , 	11 , 	4 , 	8 , 	26 , 	9 , 	35 , 	25 , 	-   ," 	3,364 ",,,Dtwn SF," 	3,233 "," 	10,100 "," 	19,236 "," 	8,657 "," 	9,639 "," 	12,321 "," 	6,597 "," 	69,781 "
