Exit stations,Entry stations->,,SUNDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	34 , 	40 , 	28 , 	117 , 	37 , 	40 , 	23 , 	30 , 	22 , 	46 , 	39 , 	12 , 	7 , 	12 , 	5 , 	4 , 	8 , 	7 , 	4 , 	8 , 	1 , 	3 , 	10 , 	11 , 	104 , 	62 , 	176 , 	86 , 	44 , 	57 , 	12 , 	24 , 	17 , 	6 , 	2 , 	7 , 	3 , 	8 , 	6 , 	8 , 	42 , 	7 , 	2 , 	8 , 	10 , 	-   , 	-   , 	5 , 	8 ," 	1,262 ",,,,,,,,,,,
EN, 	32 , 	19 , 	40 , 	27 , 	212 , 	60 , 	76 , 	42 , 	64 , 	44 , 	48 , 	123 , 	19 , 	17 , 	18 , 	11 , 	11 , 	21 , 	15 , 	9 , 	10 , 	2 , 	6 , 	11 , 	26 , 	207 , 	131 , 	333 , 	147 , 	62 , 	59 , 	16 , 	27 , 	32 , 	11 , 	3 , 	9 , 	3 , 	8 , 	9 , 	13 , 	102 , 	15 , 	6 , 	29 , 	30 , 	-   , 	-   , 	4 , 	7 ," 	2,222 ",,,,,,,,,,,
EP, 	40 , 	29 , 	9 , 	30 , 	226 , 	45 , 	46 , 	50 , 	48 , 	28 , 	29 , 	51 , 	13 , 	9 , 	9 , 	6 , 	7 , 	11 , 	8 , 	7 , 	11 , 	6 , 	5 , 	17 , 	15 , 	147 , 	93 , 	195 , 	126 , 	47 , 	40 , 	13 , 	11 , 	14 , 	5 , 	2 , 	8 , 	1 , 	5 , 	2 , 	4 , 	79 , 	12 , 	3 , 	37 , 	21 , 	-   , 	-   , 	1 , 	4 ," 	1,618 ",,,,,,,,,,,
NB, 	31 , 	30 , 	33 , 	16 , 	58 , 	27 , 	31 , 	42 , 	39 , 	19 , 	31 , 	39 , 	16 , 	12 , 	7 , 	4 , 	10 , 	11 , 	5 , 	8 , 	17 , 	6 , 	2 , 	9 , 	18 , 	154 , 	116 , 	179 , 	166 , 	76 , 	55 , 	17 , 	15 , 	13 , 	4 , 	2 , 	7 , 	1 , 	2 , 	2 , 	4 , 	98 , 	13 , 	1 , 	38 , 	19 , 	-   , 	-   , 	1 , 	3 ," 	1,502 ",,,,,,,,,,,
BK, 	132 , 	218 , 	226 , 	75 , 	39 , 	113 , 	117 , 	146 , 	134 , 	90 , 	111 , 	76 , 	43 , 	49 , 	42 , 	27 , 	58 , 	89 , 	21 , 	31 , 	38 , 	23 , 	17 , 	19 , 	63 , 	379 , 	268 , 	450 , 	333 , 	157 , 	113 , 	59 , 	41 , 	62 , 	12 , 	16 , 	55 , 	6 , 	12 , 	14 , 	16 , 	186 , 	82 , 	18 , 	75 , 	167 , 	-   , 	-   , 	2 , 	13 ," 	4,527 ",,,,,,,,,,,
AS, 	41 , 	57 , 	37 , 	25 , 	106 , 	16 , 	43 , 	66 , 	57 , 	31 , 	46 , 	40 , 	9 , 	16 , 	15 , 	6 , 	10 , 	14 , 	9 , 	8 , 	13 , 	7 , 	3 , 	6 , 	33 , 	146 , 	90 , 	161 , 	153 , 	88 , 	72 , 	20 , 	11 , 	13 , 	3 , 	3 , 	7 , 	1 , 	4 , 	4 , 	1 , 	69 , 	14 , 	4 , 	28 , 	26 , 	-   , 	-   , 	3 , 	3 ," 	1,633 ",,,,,,,,,,,
MA, 	45 , 	69 , 	40 , 	35 , 	115 , 	42 , 	22 , 	41 , 	51 , 	30 , 	69 , 	82 , 	29 , 	33 , 	20 , 	14 , 	14 , 	19 , 	22 , 	25 , 	34 , 	15 , 	14 , 	31 , 	39 , 	244 , 	169 , 	324 , 	264 , 	169 , 	107 , 	21 , 	26 , 	23 , 	5 , 	6 , 	17 , 	9 , 	19 , 	7 , 	9 , 	128 , 	18 , 	4 , 	29 , 	22 , 	-   , 	-   , 	9 , 	17 ," 	2,587 ",,,,,,,,,,,
19, 	30 , 	43 , 	43 , 	40 , 	135 , 	59 , 	36 , 	17 , 	5 , 	16 , 	51 , 	61 , 	38 , 	26 , 	23 , 	9 , 	14 , 	19 , 	23 , 	21 , 	31 , 	17 , 	14 , 	36 , 	52 , 	235 , 	186 , 	315 , 	254 , 	166 , 	115 , 	35 , 	28 , 	29 , 	4 , 	2 , 	17 , 	5 , 	15 , 	5 , 	9 , 	116 , 	20 , 	5 , 	27 , 	23 , 	-   , 	-   , 	7 , 	13 ," 	2,483 ",,,,,,,,,,,
12, 	26 , 	58 , 	43 , 	38 , 	127 , 	58 , 	47 , 	9 , 	19 , 	10 , 	52 , 	103 , 	42 , 	47 , 	33 , 	21 , 	27 , 	26 , 	28 , 	29 , 	33 , 	17 , 	12 , 	32 , 	44 , 	253 , 	180 , 	390 , 	232 , 	114 , 	78 , 	42 , 	43 , 	40 , 	13 , 	9 , 	8 , 	6 , 	21 , 	12 , 	18 , 	135 , 	31 , 	4 , 	33 , 	21 , 	-   , 	-   , 	5 , 	16 ," 	2,681 ",,,,,,,,,,,
LM, 	22 , 	42 , 	29 , 	21 , 	78 , 	40 , 	32 , 	13 , 	10 , 	12 , 	106 , 	145 , 	91 , 	97 , 	39 , 	25 , 	36 , 	35 , 	9 , 	9 , 	9 , 	5 , 	5 , 	13 , 	32 , 	226 , 	187 , 	330 , 	223 , 	139 , 	87 , 	24 , 	28 , 	24 , 	4 , 	46 , 	69 , 	1 , 	6 , 	4 , 	4 , 	40 , 	4 , 	31 , 	35 , 	39 , 	-   , 	-   , 	1 , 	5 ," 	2,505 ",,,,,,,,,,,
FV, 	55 , 	56 , 	26 , 	32 , 	108 , 	49 , 	66 , 	50 , 	57 , 	100 , 	18 , 	200 , 	91 , 	120 , 	64 , 	30 , 	29 , 	32 , 	22 , 	13 , 	17 , 	7 , 	4 , 	19 , 	56 , 	264 , 	190 , 	443 , 	250 , 	115 , 	98 , 	27 , 	32 , 	31 , 	3 , 	24 , 	53 , 	4 , 	19 , 	5 , 	10 , 	60 , 	12 , 	36 , 	16 , 	32 , 	-   , 	-   , 	4 , 	10 ," 	3,055 ",,,,,,,,,,,
CL, 	43 , 	155 , 	56 , 	40 , 	67 , 	39 , 	75 , 	65 , 	104 , 	116 , 	190 , 	16 , 	243 , 	246 , 	146 , 	100 , 	108 , 	155 , 	57 , 	54 , 	60 , 	44 , 	46 , 	33 , 	65 , 	224 , 	137 , 	369 , 	149 , 	54 , 	70 , 	30 , 	37 , 	63 , 	12 , 	112 , 	525 , 	32 , 	57 , 	16 , 	21 , 	38 , 	26 , 	147 , 	135 , 	201 , 	-   , 	-   , 	11 , 	39 ," 	4,821 ",,,,,,,,,,,
SL, 	11 , 	21 , 	12 , 	12 , 	41 , 	14 , 	27 , 	47 , 	48 , 	100 , 	100 , 	246 , 	10 , 	72 , 	35 , 	21 , 	25 , 	33 , 	7 , 	8 , 	8 , 	3 , 	3 , 	11 , 	25 , 	183 , 	119 , 	257 , 	115 , 	45 , 	44 , 	18 , 	16 , 	28 , 	5 , 	21 , 	26 , 	3 , 	5 , 	3 , 	4 , 	38 , 	4 , 	30 , 	11 , 	29 , 	-   , 	-   , 	1 , 	4 ," 	1,941 ",,,,,,,,,,,
BF, 	14 , 	20 , 	7 , 	10 , 	47 , 	12 , 	41 , 	29 , 	52 , 	97 , 	115 , 	251 , 	68 , 	10 , 	60 , 	27 , 	29 , 	39 , 	13 , 	3 , 	4 , 	4 , 	2 , 	7 , 	23 , 	173 , 	108 , 	251 , 	103 , 	40 , 	26 , 	14 , 	19 , 	19 , 	4 , 	33 , 	49 , 	1 , 	7 , 	4 , 	8 , 	27 , 	8 , 	47 , 	9 , 	34 , 	-   , 	-   , 	2 , 	7 ," 	1,972 ",,,,,,,,,,,
HY, 	11 , 	26 , 	6 , 	8 , 	41 , 	19 , 	25 , 	27 , 	36 , 	49 , 	65 , 	135 , 	42 , 	57 , 	12 , 	26 , 	43 , 	59 , 	9 , 	3 , 	9 , 	2 , 	3 , 	6 , 	15 , 	106 , 	42 , 	113 , 	47 , 	27 , 	13 , 	7 , 	8 , 	12 , 	1 , 	9 , 	18 , 	1 , 	8 , 	1 , 	5 , 	19 , 	3 , 	19 , 	11 , 	42 , 	-   , 	-   , 	1 , 	9 ," 	1,249 ",,,,,,,,,,,
SH, 	6 , 	11 , 	9 , 	5 , 	26 , 	7 , 	14 , 	12 , 	20 , 	26 , 	25 , 	101 , 	23 , 	30 , 	28 , 	9 , 	18 , 	27 , 	3 , 	4 , 	5 , 	1 , 	-   , 	4 , 	6 , 	78 , 	36 , 	96 , 	37 , 	20 , 	15 , 	4 , 	9 , 	11 , 	1 , 	6 , 	11 , 	1 , 	4 , 	1 , 	6 , 	8 , 	1 , 	11 , 	8 , 	27 , 	-   , 	-   , 	2 , 	6 , 	815 ,,,,,,,,,,,
UC, 	5 , 	13 , 	6 , 	10 , 	49 , 	10 , 	13 , 	18 , 	30 , 	40 , 	30 , 	101 , 	26 , 	30 , 	48 , 	21 , 	5 , 	36 , 	4 , 	4 , 	5 , 	1 , 	1 , 	4 , 	15 , 	137 , 	47 , 	147 , 	63 , 	23 , 	14 , 	4 , 	8 , 	12 , 	3 , 	8 , 	16 , 	2 , 	6 , 	2 , 	3 , 	26 , 	3 , 	12 , 	18 , 	54 , 	-   , 	-   , 	1 , 	3 ," 	1,133 ",,,,,,,,,,,
FM, 	9 , 	22 , 	11 , 	9 , 	62 , 	15 , 	21 , 	23 , 	25 , 	39 , 	42 , 	137 , 	39 , 	40 , 	60 , 	30 , 	33 , 	22 , 	9 , 	8 , 	5 , 	1 , 	2 , 	8 , 	15 , 	197 , 	94 , 	172 , 	96 , 	29 , 	20 , 	6 , 	9 , 	16 , 	2 , 	7 , 	26 , 	1 , 	5 , 	1 , 	3 , 	34 , 	1 , 	13 , 	31 , 	40 , 	-   , 	-   , 	1 , 	5 ," 	1,494 ",,,,,,,,,,,
