Exit stations,Entry stations->,,SATURDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	56 , 	72 , 	40 , 	40 , 	206 , 	65 , 	82 , 	85 , 	75 , 	63 , 	24 , 	164 , 	120 , 	153 , 	95 , 	49 , 	34 , 	53 , 	26 , 	15 , 	17 , 	10 , 	10 , 	32 , 	69 , 	384 , 	292 , 	636 , 	349 , 	198 , 	185 , 	41 , 	49 , 	46 , 	8 , 	38 , 	75 , 	6 , 	16 , 	6 , 	16 , 	52 , 	16 , 	45 , 	11 , 	46 , 	-   , 	-   , 	5 , 	14 ," 	4,184 ",,,,,,,,,,
CL, 	49 , 	82 , 	26 , 	25 , 	110 , 	38 , 	66 , 	79 , 	106 , 	76 , 	141 , 	25 , 	111 , 	126 , 	93 , 	60 , 	73 , 	80 , 	33 , 	30 , 	23 , 	10 , 	14 , 	18 , 	57 , 	234 , 	153 , 	331 , 	174 , 	81 , 	89 , 	42 , 	53 , 	80 , 	10 , 	46 , 	107 , 	10 , 	35 , 	11 , 	16 , 	32 , 	24 , 	50 , 	25 , 	83 , 	-   , 	-   , 	12 , 	25 ," 	3,269 ",,,,,,,,,,
SL, 	21 , 	29 , 	16 , 	15 , 	117 , 	22 , 	46 , 	66 , 	86 , 	161 , 	128 , 	125 , 	9 , 	93 , 	66 , 	38 , 	41 , 	38 , 	10 , 	12 , 	13 , 	2 , 	3 , 	15 , 	35 , 	266 , 	184 , 	399 , 	178 , 	64 , 	56 , 	28 , 	34 , 	33 , 	6 , 	23 , 	35 , 	2 , 	12 , 	8 , 	10 , 	30 , 	6 , 	37 , 	6 , 	27 , 	-   , 	-   , 	2 , 	8 ," 	2,655 ",,,,,,,,,,
BF, 	15 , 	24 , 	9 , 	13 , 	114 , 	16 , 	53 , 	60 , 	89 , 	126 , 	148 , 	138 , 	88 , 	15 , 	68 , 	44 , 	41 , 	56 , 	15 , 	6 , 	6 , 	4 , 	3 , 	10 , 	34 , 	224 , 	168 , 	348 , 	154 , 	61 , 	39 , 	17 , 	26 , 	26 , 	7 , 	36 , 	59 , 	3 , 	12 , 	8 , 	11 , 	22 , 	8 , 	58 , 	7 , 	46 , 	-   , 	-   , 	3 , 	9 ," 	2,540 ",,,,,,,,,,
HY, 	16 , 	33 , 	10 , 	11 , 	90 , 	15 , 	38 , 	52 , 	66 , 	54 , 	103 , 	96 , 	62 , 	67 , 	15 , 	60 , 	58 , 	89 , 	8 , 	6 , 	10 , 	5 , 	3 , 	8 , 	23 , 	149 , 	82 , 	184 , 	79 , 	34 , 	30 , 	12 , 	19 , 	23 , 	4 , 	15 , 	23 , 	1 , 	9 , 	3 , 	5 , 	17 , 	5 , 	30 , 	7 , 	47 , 	-   , 	-   , 	1 , 	9 ," 	1,781 ",,,,,,,,,,
SH, 	12 , 	14 , 	6 , 	7 , 	63 , 	8 , 	17 , 	20 , 	32 , 	22 , 	39 , 	62 , 	40 , 	41 , 	47 , 	7 , 	27 , 	45 , 	6 , 	4 , 	6 , 	3 , 	1 , 	4 , 	9 , 	86 , 	62 , 	146 , 	49 , 	24 , 	20 , 	6 , 	9 , 	23 , 	5 , 	9 , 	19 , 	-   , 	8 , 	3 , 	4 , 	8 , 	3 , 	17 , 	4 , 	37 , 	-   , 	-   , 	2 , 	5 ," 	1,083 ",,,,,,,,,,
UC, 	10 , 	21 , 	9 , 	12 , 	109 , 	17 , 	18 , 	33 , 	46 , 	38 , 	37 , 	73 , 	30 , 	45 , 	58 , 	31 , 	12 , 	45 , 	7 , 	6 , 	5 , 	2 , 	1 , 	5 , 	12 , 	189 , 	106 , 	216 , 	88 , 	39 , 	25 , 	8 , 	18 , 	23 , 	3 , 	10 , 	30 , 	2 , 	5 , 	2 , 	2 , 	16 , 	3 , 	13 , 	13 , 	39 , 	-   , 	-   , 	1 , 	6 ," 	1,534 ",,,,,,,,,,
FM, 	12 , 	29 , 	14 , 	14 , 	186 , 	18 , 	29 , 	40 , 	47 , 	45 , 	62 , 	74 , 	40 , 	54 , 	95 , 	42 , 	47 , 	23 , 	9 , 	9 , 	10 , 	2 , 	4 , 	14 , 	13 , 	332 , 	148 , 	276 , 	140 , 	49 , 	35 , 	9 , 	14 , 	24 , 	3 , 	9 , 	31 , 	1 , 	9 , 	3 , 	4 , 	26 , 	3 , 	12 , 	16 , 	51 , 	-   , 	-   , 	2 , 	5 ," 	2,127 ",,,,,,,,,,
CN, 	9 , 	20 , 	10 , 	8 , 	77 , 	11 , 	35 , 	42 , 	54 , 	11 , 	23 , 	32 , 	12 , 	12 , 	10 , 	6 , 	5 , 	11 , 	16 , 	53 , 	144 , 	39 , 	21 , 	54 , 	12 , 	201 , 	133 , 	265 , 	121 , 	54 , 	36 , 	21 , 	26 , 	28 , 	15 , 	3 , 	7 , 	16 , 	118 , 	9 , 	12 , 	83 , 	17 , 	1 , 	24 , 	10 , 	-   , 	-   , 	38 , 	46 ," 	2,009 ",,,,,,,,,,
PH, 	5 , 	13 , 	6 , 	12 , 	93 , 	11 , 	31 , 	62 , 	50 , 	9 , 	15 , 	26 , 	11 , 	6 , 	5 , 	2 , 	5 , 	6 , 	45 , 	15 , 	73 , 	19 , 	11 , 	61 , 	12 , 	295 , 	159 , 	310 , 	150 , 	62 , 	35 , 	14 , 	22 , 	26 , 	6 , 	1 , 	4 , 	10 , 	35 , 	3 , 	7 , 	119 , 	15 , 	1 , 	30 , 	8 , 	-   , 	-   , 	14 , 	18 ," 	1,946 ",,,,,,,,,,
WC, 	15 , 	21 , 	19 , 	15 , 	145 , 	21 , 	47 , 	69 , 	57 , 	10 , 	17 , 	24 , 	12 , 	6 , 	9 , 	6 , 	6 , 	8 , 	155 , 	80 , 	19 , 	35 , 	25 , 	89 , 	28 , 	400 , 	212 , 	328 , 	229 , 	69 , 	48 , 	22 , 	17 , 	26 , 	9 , 	2 , 	4 , 	24 , 	70 , 	11 , 	8 , 	139 , 	21 , 	1 , 	30 , 	8 , 	-   , 	-   , 	24 , 	47 ," 	2,683 ",,,,,,,,,,
LF, 	6 , 	6 , 	6 , 	8 , 	104 , 	8 , 	19 , 	41 , 	32 , 	4 , 	10 , 	11 , 	4 , 	3 , 	3 , 	2 , 	2 , 	4 , 	49 , 	22 , 	30 , 	12 , 	10 , 	67 , 	9 , 	231 , 	124 , 	191 , 	148 , 	32 , 	23 , 	13 , 	8 , 	13 , 	3 , 	1 , 	1 , 	7 , 	10 , 	1 , 	2 , 	82 , 	9 , 	1 , 	15 , 	3 , 	-   , 	-   , 	9 , 	9 ," 	1,405 ",,,,,,,,,,
OR, 	6 , 	5 , 	5 , 	5 , 	78 , 	3 , 	18 , 	32 , 	29 , 	4 , 	9 , 	14 , 	2 , 	2 , 	4 , 	2 , 	1 , 	2 , 	20 , 	12 , 	30 , 	11 , 	9 , 	47 , 	5 , 	211 , 	135 , 	183 , 	109 , 	43 , 	30 , 	11 , 	9 , 	10 , 	2 , 	1 , 	2 , 	5 , 	6 , 	3 , 	2 , 	68 , 	9 , 	0 , 	10 , 	5 , 	-   , 	-   , 	7 , 	2 ," 	1,214 ",,,,,,,,,,
RR, 	15 , 	26 , 	20 , 	13 , 	53 , 	10 , 	31 , 	74 , 	59 , 	12 , 	27 , 	15 , 	14 , 	9 , 	7 , 	4 , 	5 , 	12 , 	45 , 	57 , 	86 , 	70 , 	53 , 	23 , 	34 , 	358 , 	260 , 	432 , 	308 , 	174 , 	103 , 	36 , 	16 , 	24 , 	5 , 	4 , 	8 , 	15 , 	20 , 	4 , 	6 , 	97 , 	21 , 	4 , 	21 , 	10 , 	-   , 	-   , 	7 , 	22 ," 	2,725 ",,,,,,,,,,
OW, 	18 , 	32 , 	11 , 	14 , 	76 , 	34 , 	46 , 	53 , 	51 , 	22 , 	69 , 	61 , 	36 , 	28 , 	18 , 	11 , 	12 , 	13 , 	11 , 	14 , 	19 , 	9 , 	5 , 	29 , 	32 , 	699 , 	559 , 	945 , 	578 , 	352 , 	256 , 	61 , 	68 , 	57 , 	11 , 	11 , 	27 , 	3 , 	11 , 	10 , 	15 , 	87 , 	27 , 	10 , 	6 , 	21 , 	-   , 	-   , 	4 , 	9 ," 	4,546 ",,,,,,,,,,
