Fast Pass Adjusted OD,,,,,,Mar 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,56,51,176,192,641,"1,020",791,"1,229","4,156"
MT,51,53,116,191,880,"1,488","1,214","2,511","6,506"
PL,257,153,82,148,829,"1,179",750,"2,139","5,537"
CC,162,177,164,54,582,743,563,"1,469","3,914"
16,541,713,"1,023",582,25,251,231,691,"4,057"
24,835,"1,148","1,439",758,264,36,166,624,"5,270"
GP,739,942,"1,021",487,236,182,21,142,"3,768"
BP,"1,134","1,449","3,108","1,373",687,679,167,40,"8,638"
Entries,"3,774","4,685","7,130","3,785","4,144","5,578","3,904","8,846","41,847"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,11,69,48,242,292,139,293,"1,121"
MT,13,20,34,45,344,418,396,"1,166","2,435"
PL,93,38,78,76,696,988,606,"1,405","3,980"
CC,39,40,86,43,361,436,220,512,"1,736"
16,203,227,845,392,30,186,132,359,"2,373"
24,250,268,"1,096",448,179,59,107,312,"2,718"
GP,130,185,782,187,134,98,37,66,"1,620"
BP,287,401,"2,148",473,345,306,77,94,"4,129"
Entries,"1,042","1,189","5,137","1,711","2,330","2,783","1,713","4,207","20,112"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,4,34,25,154,174,80,176,667
MT,6,14,26,22,199,263,229,766,"1,525"
PL,41,25,70,47,493,654,370,936,"2,635"
CC,34,14,65,53,314,318,166,378,"1,341"
16,138,143,595,339,24,125,88,240,"1,692"
24,165,162,787,356,127,37,82,221,"1,936"
GP,77,105,539,149,91,74,20,33,"1,086"
BP,199,248,"1,586",328,238,228,41,31,"2,900"
Entries,680,716,"3,703","1,318","1,639","1,871","1,075","2,781","13,782"
