Fast Pass Adjusted OD,,,,,,Oct 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,71,41,135,142,501,940,780,"1,203","3,814"
MT,38,48,78,128,668,"1,247","1,011","1,910","5,129"
PL,238,140,99,122,871,"1,231",802,"2,134","5,636"
CC,142,159,135,68,497,848,588,"1,477","3,913"
16,445,642,855,448,34,214,203,582,"3,422"
24,793,"1,077","1,215",709,205,51,171,592,"4,812"
GP,754,914,907,487,194,171,28,128,"3,582"
BP,"1,039","1,407","2,644","1,261",544,644,140,42,"7,719"
Entries,"3,520","4,427","6,067","3,365","3,514","5,346","3,722","8,067","38,027"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,9,44,28,199,212,104,197,815
MT,5,14,21,24,260,302,259,744,"1,628"
PL,48,35,97,66,744,"1,055",565,"1,376","3,986"
CC,37,25,74,48,420,604,235,549,"1,992"
16,153,204,674,307,31,159,113,275,"1,915"
24,185,245,913,414,157,49,123,306,"2,392"
GP,109,145,619,162,98,105,23,58,"1,318"
BP,173,314,"1,775",416,224,310,64,33,"3,309"
Entries,732,992,"4,217","1,464","2,132","2,797","1,484","3,536","17,354"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,4,30,17,115,134,54,109,486
MT,3,16,15,20,122,152,130,410,866
PL,31,13,102,47,433,658,357,785,"2,425"
CC,16,18,59,59,269,387,137,359,"1,303"
16,107,119,468,247,33,117,60,155,"1,306"
24,129,149,635,348,94,63,70,187,"1,675"
GP,62,86,464,124,65,58,17,25,901
BP,127,171,"1,193",311,139,186,26,33,"2,183"
Entries,497,574,"2,966","1,172","1,270","1,754",850,"2,063","11,145"
