Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Oct 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	10 , 	177 , 	150 , 	126 , 	545 , 	132 , 	186 , 	188 , 	274 , 	64 , 	135 , 	117 , 	55 , 	39 , 	49 , 	33 , 	16 , 	45 , 	38 , 	24 , 	29 , 	15 , 	16 , 	25 , 	39 , 	268 , 	340 , 	387 , 	284 , 	139 , 	202 , 	35 , 	60 , 	71 , 	33 , 	6 , 	31 , 	8 , 	36 ," 	4,427 ",,,Eastbay," 	79,305 ",,SF CBD," 	203,831 ",64.6%,,,
EN, 	181 , 	32 , 	101 , 	130 ," 	1,081 ", 	183 , 	243 , 	472 , 	695 , 	134 , 	135 , 	134 , 	63 , 	43 , 	69 , 	24 , 	40 , 	79 , 	60 , 	31 , 	40 , 	12 , 	18 , 	27 , 	42 , 	823 , 	979 , 	714 , 	612 , 	129 , 	169 , 	61 , 	90 , 	145 , 	63 , 	6 , 	38 , 	5 , 	22 ," 	7,922 ",,,Westbay," 	84,943 ",,non-CBD," 	111,740 ",35.4%,,,
EP, 	177 , 	37 , 	21 , 	22 , 	735 , 	47 , 	145 , 	121 , 	337 , 	48 , 	61 , 	33 , 	31 , 	8 , 	35 , 	5 , 	30 , 	22 , 	18 , 	29 , 	13 , 	14 , 	8 , 	24 , 	5 , 	617 , 	355 , 	424 , 	196 , 	68 , 	26 , 	35 , 	23 , 	66 , 	11 , 	30 , 	23 , 	10 , 	12 ," 	3,922 ",,,Transbay," 	151,323 ",,,,,,,
NB, 	114 , 	96 , 	40 , 	6 , 	213 , 	60 , 	76 , 	180 , 	224 , 	76 , 	67 , 	68 , 	23 , 	13 , 	29 , 	8 , 	16 , 	39 , 	19 , 	16 , 	25 , 	6 , 	13 , 	16 , 	14 , 	531 , 	588 , 	352 , 	369 , 	93 , 	62 , 	26 , 	38 , 	72 , 	17 , 	5 , 	15 , 	3 , 	8 ," 	3,635 ",,,,,,,,,,,
BK, 	480 ," 	1,084 ", 	708 , 	217 , 	19 , 	453 , 	390 , 	510 , 	664 , 	298 , 	346 , 	273 , 	169 , 	145 , 	170 , 	112 , 	157 , 	291 , 	124 , 	170 , 	144 , 	73 , 	59 , 	39 , 	81 , 	701 , 	752 , 	762 , 	789 , 	231 , 	239 , 	134 , 	126 , 	203 , 	122 , 	50 , 	138 , 	48 , 	86 ," 	11,560 ",,,Extensions," 	40,556 ",,,,,,,
AS, 	112 , 	146 , 	67 , 	52 , 	382 , 	6 , 	70 , 	176 , 	230 , 	103 , 	110 , 	108 , 	50 , 	39 , 	53 , 	19 , 	28 , 	50 , 	29 , 	28 , 	24 , 	7 , 	10 , 	15 , 	37 , 	468 , 	550 , 	345 , 	371 , 	106 , 	81 , 	28 , 	41 , 	78 , 	23 , 	10 , 	27 , 	6 , 	24 ," 	4,110 ",,,,,,,,,,,
MA, 	163 , 	217 , 	74 , 	73 , 	390 , 	70 , 	8 , 	126 , 	214 , 	89 , 	161 , 	174 , 	92 , 	84 , 	88 , 	48 , 	55 , 	101 , 	105 , 	83 , 	100 , 	32 , 	35 , 	60 , 	62 , 	660 , 	769 , 	607 , 	582 , 	168 , 	128 , 	64 , 	74 , 	93 , 	44 , 	17 , 	51 , 	30 , 	116 ," 	6,104 ",,,,,,,,,,,
19, 	179 , 	478 , 	196 , 	182 , 	446 , 	183 , 	116 , 	9 , 	76 , 	55 , 	135 , 	177 , 	171 , 	171 , 	180 , 	147 , 	164 , 	256 , 	222 , 	331 , 	205 , 	108 , 	92 , 	97 , 	48 , 	672 , 	711 , 	509 , 	565 , 	144 , 	164 , 	116 , 	112 , 	159 , 	161 , 	45 , 	149 , 	120 , 	215 ," 	8,264 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	266 , 	728 , 	405 , 	280 , 	575 , 	227 , 	204 , 	80 , 	30 , 	77 , 	363 , 	385 , 	343 , 	329 , 	326 , 	218 , 	244 , 	356 , 	348 , 	420 , 	288 , 	166 , 	140 , 	174 , 	73 , 	801 , 	857 , 	834 , 	732 , 	177 , 	202 , 	146 , 	146 , 	213 , 	196 , 	72 , 	226 , 	110 , 	231 ," 	11,988 ",,,Dtwn SF," 	6,847 "," 	13,741 "," 	35,368 "," 	12,798 "," 	18,190 "," 	19,606 "," 	106,551 ",
LM, 	43 , 	115 , 	80 , 	79 , 	270 , 	97 , 	86 , 	49 , 	71 , 	10 , 	166 , 	209 , 	223 , 	194 , 	129 , 	88 , 	118 , 	136 , 	29 , 	24 , 	21 , 	10 , 	11 , 	34 , 	30 , 	484 , 	519 , 	443 , 	373 , 	86 , 	93 , 	37 , 	62 , 	117 , 	21 , 	72 , 	174 , 	8 , 	24 ," 	4,833 ",,,OAK," 	13,507 "," 	1,708 "," 	3,258 "," 	6,053 "," 	4,078 "," 	7,266 "," 	35,869 ",
