Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Oct 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	10 , 	83 , 	64 , 	47 , 	219 , 	86 , 	66 , 	34 , 	70 , 	28 , 	88 , 	113 , 	16 , 	24 , 	18 , 	13 , 	11 , 	15 , 	13 , 	2 , 	12 , 	5 , 	8 , 	13 , 	24 , 	59 , 	56 , 	183 , 	91 , 	75 , 	101 , 	15 , 	35 , 	19 , 	24 , 	4 , 	9 , 	3 , 	21 ," 	1,775 ",,,Eastbay," 	30,086 ",,SF CBD," 	51,333 ",54.6%,,
EN, 	72 , 	15 , 	35 , 	62 , 	261 , 	75 , 	63 , 	48 , 	94 , 	27 , 	62 , 	152 , 	14 , 	9 , 	15 , 	7 , 	10 , 	26 , 	12 , 	6 , 	11 , 	5 , 	1 , 	9 , 	12 , 	95 , 	82 , 	236 , 	89 , 	30 , 	60 , 	17 , 	25 , 	25 , 	35 , 	2 , 	8 , 	1 , 	11 ," 	1,815 ",,,Westbay," 	25,394 ",,non-CBD," 	42,753 ",45.4%,,
EP, 	62 , 	32 , 	5 , 	14 , 	215 , 	33 , 	20 , 	22 , 	50 , 	15 , 	26 , 	140 , 	7 , 	8 , 	5 , 	3 , 	6 , 	17 , 	8 , 	4 , 	10 , 	3 , 	3 , 	11 , 	5 , 	67 , 	62 , 	144 , 	72 , 	24 , 	20 , 	10 , 	7 , 	8 , 	11 , 	2 , 	6 , 	1 , 	4 ," 	1,157 ",,,Transbay," 	38,606 ",,,,,,
NB, 	35 , 	41 , 	13 , 	6 , 	61 , 	32 , 	24 , 	28 , 	82 , 	21 , 	50 , 	136 , 	10 , 	6 , 	8 , 	3 , 	8 , 	21 , 	7 , 	4 , 	7 , 	5 , 	5 , 	6 , 	9 , 	81 , 	72 , 	169 , 	125 , 	50 , 	36 , 	12 , 	7 , 	14 , 	16 , 	4 , 	6 , 	1 , 	6 ," 	1,225 ",,,,,,,,,,
BK, 	193 , 	265 , 	217 , 	60 , 	16 , 	164 , 	111 , 	123 , 	216 , 	69 , 	138 , 	298 , 	40 , 	39 , 	39 , 	22 , 	59 , 	177 , 	32 , 	32 , 	42 , 	21 , 	13 , 	20 , 	32 , 	237 , 	182 , 	532 , 	292 , 	104 , 	88 , 	34 , 	27 , 	57 , 	56 , 	18 , 	48 , 	5 , 	21 ," 	4,132 ",,,Extensions," 	10,894 ",,,,,,
AS, 	76 , 	66 , 	38 , 	32 , 	136 , 	7 , 	51 , 	48 , 	103 , 	35 , 	92 , 	142 , 	24 , 	17 , 	15 , 	10 , 	10 , 	21 , 	9 , 	6 , 	8 , 	3 , 	3 , 	10 , 	28 , 	68 , 	77 , 	178 , 	136 , 	80 , 	60 , 	13 , 	13 , 	12 , 	16 , 	6 , 	10 , 	1 , 	11 ," 	1,667 ",,,,,,,,,,
MA, 	48 , 	68 , 	17 , 	19 , 	102 , 	48 , 	9 , 	23 , 	52 , 	18 , 	62 , 	209 , 	24 , 	20 , 	18 , 	11 , 	10 , 	25 , 	22 , 	15 , 	16 , 	11 , 	7 , 	14 , 	24 , 	103 , 	103 , 	266 , 	174 , 	91 , 	56 , 	18 , 	20 , 	11 , 	17 , 	2 , 	9 , 	3 , 	31 ," 	1,795 ",,,,,,,,,,
19, 	31 , 	41 , 	21 , 	26 , 	101 , 	43 , 	21 , 	7 , 	16 , 	9 , 	40 , 	91 , 	24 , 	22 , 	25 , 	9 , 	11 , 	18 , 	18 , 	11 , 	19 , 	10 , 	5 , 	22 , 	11 , 	67 , 	72 , 	160 , 	128 , 	46 , 	43 , 	12 , 	11 , 	11 , 	14 , 	3 , 	8 , 	3 , 	16 ," 	1,248 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	53 , 	83 , 	51 , 	88 , 	179 , 	93 , 	45 , 	14 , 	14 , 	21 , 	107 , 	156 , 	65 , 	66 , 	48 , 	19 , 	32 , 	60 , 	43 , 	23 , 	40 , 	21 , 	14 , 	47 , 	37 , 	137 , 	148 , 	414 , 	193 , 	55 , 	64 , 	25 , 	38 , 	36 , 	42 , 	2 , 	13 , 	9 , 	38 ," 	2,630 ",,,Dtwn SF," 	1,660 "," 	3,471 "," 	10,059 "," 	3,559 "," 	3,067 "," 	4,972 "," 	26,789 "
LM, 	17 , 	21 , 	16 , 	23 , 	72 , 	38 , 	16 , 	11 , 	22 , 	6 , 	85 , 	213 , 	71 , 	55 , 	26 , 	17 , 	38 , 	56 , 	4 , 	5 , 	7 , 	2 , 	2 , 	10 , 	11 , 	84 , 	81 , 	224 , 	124 , 	58 , 	52 , 	19 , 	22 , 	17 , 	11 , 	21 , 	35 , 	1 , 	7 ," 	1,594 ",,,OAK," 	3,101 ", 	471 , 	924 ," 	1,407 ", 	519 ," 	2,020 "," 	8,441 "
