Avg Sunday Trip OD																																																			
																																																			
2024 / 06																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	18	36	41	16	113	21	35	15	24	15	26	24	10	6	6	4	1	3	8	3	6	5	3	7	10	100	38	120	85	40	46	7	10	7	4	1	3		3	5	6	32	3	1	5	2	3	5	5	7	990
EN	35	24	28	26	139	35	46	33	38	25	35	30	15	11	10	5	6	6	9	3	7	5	3	7	10	153	77	202	139	53	43	8	14	9	6	2	4	0	4	7	6	38	8	4	16	5	2	6	9	19	"1,423"
EP	50	20	15	21	128	26	25	20	30	12	15	13	7	3	3	3	1	4	6	4	6	2	2	7	5	91	49	92	107	31	19	6	3	5	2	1	4	0	1	2	3	31	3	1	8	1	0	1	5	8	902
NB	12	18	15	7	24	14	14	22	14	5	9	8	5	5	5	0	3	2	2	2	4	1		2	3	88	44	68	91	36	26	6	2	5	1	1	2	0	1	1	1	21	4	1	8	4	0	1	6	5	618
BK	127	139	140	44	47	72	75	82	71	31	51	27	24	28	21	12	26	32	9	16	20	12	9	8	24	318	130	270	233	122	83	28	18	19	6	5	26	3	7	4	9	113	26	9	38	11	1	6	49	57	"2,738"
AS	29	33	22	24	58	15	27	35	28	18	23	18	10	8	6	3	8	7	3	4	9	2	1	3	12	107	53	84	118	60	45	8	6	3	2	2	6	2	4	1	3	28	5	1	12	3	0	1	7	13	980
MA	48	50	30	29	91	40	18	29	26	17	34	26	11	14	8	4	8	7	17	16	16	7	6	16	16	136	77	156	190	96	66	9	11	8	2	2	8	3	9	2	5	47	7	4	9	6	3	13	7	15	"1,471"
19	17	31	25	23	81	32	28	26	14	13	29	38	26	18	17	9	9	17	19	19	31	15	9	29	33	232	118	256	225	141	90	24	20	24	4	6	7	3	9	6	5	75	14	4	19	8	4	9	13	22	"1,944"
12	28	36	31	19	77	31	29	13	35	9	27	51	29	24	15	11	13	16	13	13	19	9	6	22	28	207	108	244	182	97	80	18	23	16	5	2	7	2	8	7	13	73	17	1	14	3	2	10	12	21	"1,774"
LM	14	19	14	9	29	16	14	10	7	31	85	91	76	62	27	19	24	29	5	4	3	2	3	5	17	144	87	183	168	86	67	17	21	15	1	30	60		4	2	3	16	3	21	22	14	1	3	25	36	"1,643"
FV	27	29	12	11	49	27	37	30	25	65	29	89	73	84	61	29	27	26	8	4	10	3	4	10	33	135	80	201	183	86	61	15	12	12	4	21	42	1	5	3	5	19	3	24	14	13	2	6	18	34	"1,799"
CL	21	33	12	13	22	19	23	37	45	64	76	22	70	64	54	32	30	32	16	14	16	10	6	12	26	144	73	184	84	41	42	13	9	20	3	38	130	4	9	7	9	15	9	39	40	25	2	10	35	48	"1,800"
SL	10	15	6	5	26	8	16	32	32	76	66	71	20	41	45	18	14	16	7	2	4	0	1	5	13	130	79	158	118	31	28	6	11	7	1	14	32	1	4	2	4	12	4	19	7	10	2	5	14	26	"1,274"
BF	7	13	4	5	25	7	15	22	25	64	83	66	38	22	41	28	16	25	8	1	7	1	0	3	14	102	69	170	96	26	22	5	10	8	2	12	48	1	3	0	2	9	2	27	5	15	1	3	18	24	"1,220"
HY	6	13	2	5	23	8	12	21	20	27	56	50	49	37	14	23	39	48	5	3	3	2	1	3	7	61	28	64	52	15	14	3	5	4	1	7	18	1	2	2	3	7	2	12	7	23	1	5	31	33	875
SH	6	5	4	1	12	4	5	11	9	18	26	28	19	22	21	10	15	25	2	2	2	1	0	2	2	53	20	53	46	11	11	1	3	6	1	4	9	1	2	1	1	3	1	6	4	22	0	4	16	22	553
