Avg Saturday Trip OD																																																			
																																																			
2024 / 06																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	21	39	42	26	155	39	47	29	31	12	38	32	11	8	12	7	4	6	9	7	13	6	4	8	15	86	61	150	69	58	73	10	15	14	5	1	6	1	3	5	6	41	7	1	5	4	2	5	7	10	"1,267"
EN	42	24	37	28	180	44	61	41	62	17	49	43	16	18	17	6	12	6	12	5	11	5	5	9	15	159	103	231	124	70	72	15	18	17	8	4	8	2	9	10	10	48	9	3	15	10	1	4	11	15	"1,741"
EP	55	34	13	21	166	31	40	44	43	11	22	19	9	5	4	4	3	5	3	5	9	5	2	8	5	107	66	110	76	39	33	8	8	7	3	2	4	0	2	3	2	32	5	2	7	3	1	3	7	6	"1,102"
NB	15	21	18	10	39	18	20	36	25	6	17	14	10	5	6	2	3	5	3	2	4	3	1	3	5	106	54	71	85	47	39	5	4	6	2	1	3	0	2	1	3	25	4	1	7	4	0	1	4	6	774
BK	172	184	185	61	60	85	91	102	105	32	66	47	39	29	34	18	33	37	16	15	30	17	8	11	29	381	169	284	244	140	118	38	26	31	7	10	33	3	10	7	12	96	28	10	31	19	2	6	50	65	"3,325"
AS	42	47	29	21	65	21	30	39	31	14	24	23	12	10	9	4	6	6	5	6	9	3	2	5	13	122	62	93	101	104	53	8	7	4	2	3	6	1	1	1	1	24	6	1	7	5	0	0	8	11	"1,110"
MA	79	71	49	37	116	46	20	43	44	14	39	41	26	15	13	7	8	11	26	16	28	14	9	21	22	192	99	195	184	151	85	15	13	13	4	1	7	4	17	3	5	40	7	4	8	10	5	18	11	16	"1,925"
19	27	41	42	40	105	40	43	20	21	10	45	56	39	26	37	17	18	26	24	26	41	17	8	33	32	307	170	298	262	221	135	29	22	24	9	5	16	8	9	5	11	71	14	4	14	15	2	13	19	34	"2,552"
12	35	51	38	34	95	31	35	11	27	6	33	63	58	34	32	17	20	16	28	17	30	12	11	29	30	285	151	313	219	158	101	24	27	23	9	3	9	4	8	7	20	73	17	3	15	8	6	9	17	25	"2,327"
