Avg Weekday Trip OD																																																			
																																																			
2024 / 06																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	17	68	64	37	226	55	78	67	80	20	59	48	27	12	18	13	8	11	15	6	19	9	7	16	23	208	162	232	157	100	108	26	31	23	12	3	6	4	10	9	13	56	12	4	9	9	4	11	6	9	"2,230"
EN	74	19	56	45	349	60	106	136	198	40	81	63	36	19	25	11	17	15	21	12	23	7	10	18	26	404	331	394	325	135	106	39	35	39	12	4	10	3	8	13	17	69	27	6	21	16	2	9	17	16	"3,526"
EP	73	52	9	32	271	50	63	86	108	24	27	24	18	8	9	4	10	8	8	7	13	7	4	12	5	252	212	152	155	57	39	17	13	13	3	4	6	2	3	5	7	48	9	3	16	9	0	3	8	7	"1,973"
NB	24	29	22	7	46	20	29	55	61	13	26	21	11	7	9	3	4	7	8	6	9	3	2	5	5	213	177	90	121	52	29	12	7	6	2	1	5	1	2	2	3	39	8	1	12	5	0	2	5	5	"1,234"
BK	261	365	285	76	36	138	160	215	224	77	137	78	88	67	64	34	83	73	50	45	67	26	16	15	43	547	359	301	289	147	124	74	41	48	16	18	57	13	32	18	17	110	64	23	41	47	8	22	76	79	"5,299"
AS	55	62	50	25	124	11	36	78	83	24	52	33	21	14	13	7	12	10	9	9	8	7	2	8	15	256	206	147	159	84	48	16	9	11	3	3	9	2	7	3	5	34	10	2	14	8	1	5	11	15	"1,839"
MA	93	106	59	42	150	39	18	80	105	26	85	75	55	37	34	22	23	29	77	63	69	27	21	36	42	453	345	292	306	172	102	39	30	30	8	7	19	15	68	11	12	73	19	13	16	19	18	67	19	21	"3,586"
19	72	131	83	80	201	77	84	17	23	15	52	69	84	55	56	37	56	56	77	88	113	42	35	66	46	556	438	342	336	202	123	67	46	46	16	15	45	21	46	22	25	57	30	21	19	33	10	55	37	37	"4,360"
12	87	194	105	87	202	78	100	19	22	12	64	86	140	88	76	52	81	75	100	125	112	55	44	78	41	557	371	390	339	171	137	72	65	67	31	13	55	33	86	29	32	81	38	18	21	26	21	80	36	44	"4,933"
LM	17	38	22	18	69	23	27	14	14	12	73	96	157	119	81	59	54	46	12	9	14	5	4	8	16	345	271	252	230	110	72	26	28	28	5	59	127	6	10	4	5	18	5	60	19	40	6	15	30	35	"2,813"
FV	62	69	24	30	127	57	84	59	70	71	22	135	156	128	127	51	45	49	18	12	18	11	11	24	68	345	299	345	342	157	120	34	43	45	4	38	84	4	13	8	13	36	9	40	9	42	9	13	35	31	"3,648"
CL	52	62	22	28	69	36	77	73	91	95	133	11	87	90	88	47	48	39	25	21	21	14	11	17	51	192	136	192	140	61	63	27	24	33	5	34	97	6	21	7	7	18	12	32	16	38	8	28	31	37	"2,573"
SL	29	36	15	18	84	22	64	89	147	166	170	96	16	76	117	74	57	95	17	15	13	3	5	18	30	355	326	289	242	88	60	23	31	40	5	25	100	3	10	6	7	23	4	37	8	44	3	17	41	36	"3,296"
BF	12	18	8	12	64	13	38	61	88	118	128	86	73	17	52	54	43	61	14	4	9	2	2	9	22	254	250	277	202	64	48	19	20	23	6	24	85	1	4	4	7	11	4	40	5	38	3	6	23	22	"2,447"
HY	18	29	10	12	60	17	36	60	80	73	125	86	117	60	14	52	109	120	14	6	9	5	2	5	24	170	136	128	112	40	23	13	12	14	4	11	46	1	6	6	6	8	6	19	8	77	2	9	55	43	"2,097"
SH	12	12	4	4	34	8	23	35	51	55	49	43	61	45	48	10	42	60	7	4	6	2	1	3	12	146	118	91	95	23	25	4	10	8	2	10	22	1	3	2	1	6	4	13	6	58	1	4	36	33	"1,353"
UC	8	18	10	8	81	12	28	60	85	53	48	52	64	46	109	43	15	65	8	4	11	1	2	3	12	225	173	123	104	37	14	7	10	11	3	8	36	1	4	2	3	13	1	17	9	68	2	4	66	55	"1,839"
FM	11	17	7	10	71	11	28	54	80	49	54	36	93	62	118	63	63	19	9	5	6	1	3	6	6	283	201	118	99	32	15	8	7	11	2	13	31	2	4	2	3	17	1	10	10	65	1	5	93	70	"1,982"
CN	18	24	10	10	48	12	83	76	99	13	18	24	17	13	14	8	8	9	20	57	140	88	26	54	10	313	267	207	204	58	49	24	21	24	8	2	6	26	111	8	11	75	12	3	18	1	62	91	8	7	"2,516"
PH	6	14	8	10	48	12	65	89	120	10	12	20	10	4	6	4	3	4	56	12	54	29	15	54	7	498	422	210	186	60	32	23	14	21	5	1	3	12	41	7	10	93	8	2	19	3	20	46	5	4	"2,418"
WC	22	23	13	15	63	11	78	120	114	18	16	20	14	8	9	6	10	6	147	58	16	47	25	85	11	550	434	199	194	62	35	24	17	25	8	3	3	18	71	11	13	121	9	0	20	3	26	62	8	6	"2,879"
LF	9	7	7	4	24	8	25	40	58	4	13	12	3	2	3	1	1	1	105	37	47	10	10	44	4	395	303	98	95	31	18	8	8	6	2	1	1	7	19	2	4	70	3	0	12	2	7	17	1	2	"1,594"
OR	7	7	4	4	16	2	20	33	46	4	9	10	4	2	2	1	1	2	23	12	26	9	7	32	4	350	245	79	92	25	10	12	5	6	3	1	1	2	11	3	3	54	3	0	6	0	6	7	1	2	"1,214"
RR	15	19	14	9	20	6	35	71	88	11	28	17	18	8	5	4	3	5	53	59	83	43	32	10	17	588	413	198	253	104	53	30	11	17	2	3	5	8	25	8	8	93	6	1	8	2	7	24	4	6	"2,550"
OW	27	21	7	14	39	18	36	41	47	14	68	51	28	27	24	11	9	8	10	9	10	4	4	18	27	806	516	460	426	213	123	34	34	24	7	11	19	2	10	10	16	68	14	6	5	6	8	12	6	6	"3,415"
EM	249	444	282	318	587	309	503	670	660	381	412	222	442	317	211	177	259	314	373	575	639	460	403	629	946	108	32	134	176	492	729	492	522	580	220	254	799	107	314	180	168	255	193	314	72	117	38	246	151	174	"17,647"
MT	210	338	221	241	379	226	378	492	430	290	339	157	352	295	165	130	200	218	281	432	424	300	245	420	603	32	65	43	131	471	789	546	660	707	246	187	509	72	247	212	211	237	241	199	44	97	34	201	136	134	"14,222"
PL	216	325	129	111	270	138	277	313	359	222	315	175	246	223	113	83	106	107	187	199	183	92	77	182	453	169	51	86	89	480	630	415	753	573	187	93	264	53	256	157	142	660	138	97	51	52	43	150	62	66	"10,817"
CC	151	267	139	148	217	155	280	314	286	203	310	129	199	168	101	76	91	89	165	154	163	92	85	222	434	163	114	90	51	243	369	304	442	434	171	92	200	51	134	157	150	234	144	69	25	42	35	149	47	55	"8,604"
16	88	119	54	73	135	87	177	209	171	103	157	57	83	62	41	24	34	34	54	54	56	31	21	96	228	465	477	553	278	19	98	190	247	259	98	29	66	20	74	77	83	163	91	33	13	17	14	58	16	23	"5,708"
24	101	94	37	42	105	49	102	122	127	70	116	60	57	46	20	26	12	15	48	30	37	19	10	47	140	627	664	712	416	98	22	150	190	194	78	16	37	14	55	60	74	113	75	19	12	8	10	40	12	14	"5,241"
GP	24	37	17	20	72	15	39	64	66	26	31	23	22	17	14	5	6	9	24	17	20	9	9	29	39	453	483	449	293	190	152	13	40	50	39	6	22	3	18	25	35	71	45	8	7	4	4	28	4	6	"3,103"
BP	31	35	13	10	37	10	32	41	61	26	36	24	28	21	13	11	10	7	21	13	14	7	5	10	35	433	478	802	390	220	186	44	15	44	47	10	14	5	22	32	49	69	57	7	5	4	7	17	5	6	"3,517"
DC	23	40	13	8	42	12	30	41	62	25	43	32	36	22	15	6	9	11	21	21	23	7	7	13	26	534	635	622	455	251	196	54	53	19	25	13	29	4	17	52	79	141	97	12	7	9	4	21	6	9	"3,930"
CM	10	11	4	4	16	3	7	16	28	5	3	5	5	4	3	2	2	1	8	5	8	1	3	4	6	215	217	222	172	91	79	37	50	20	9	2	5	1	10	10	27	54	46	0	1	1	3	9	1	1	"1,447"
CV	3	3	4	2	18	3	8	19	20	56	37	33	27	24	13	11	11	11	3	1	2	1	1	2	9	228	172	103	106	30	16	6	10	14	1	7	68	0	1	3	2	12	4	46	4	5	1	2	4	4	"1,170"
ED	8	12	5	6	65	13	25	48	74	102	88	96	96	75	45	25	35	28	7	3	3	1	1	3	19	712	482	280	223	70	39	23	16	32	5	66	23	1	2	5	7	87	8	20	39	13	1	2	27	25	"3,093"
NC	4	3	2	2	13	1	14	19	31	6	3	7	2	1	1	1	1	2	19	12	16	5	1	8	2	85	65	54	62	20	16	4	5	4	1	0	1	4	18	5	4	27	2	0	7	1	13	18	1	2	597
WP	11	8	3	5	31	7	72	44	88	8	17	17	8	4	5	2	5	3	117	45	79	18	12	30	12	258	210	298	209	81	58	29	22	19	11	2	3	18	11	6	13	63	10	1	13	5	7	18	3	4	"2,024"
SS	10	14	4	3	17	3	10	22	30	5	9	6	6	5	5	2	2	2	9	8	10	2	2	7	9	176	192	178	162	81	59	21	38	51	10	2	5	5	8	9	20	38	23	1	1	2	1	13	1	1	"1,297"
SB	14	17	7	4	18	6	13	25	28	7	14	9	5	8	6	1	2	3	11	10	12	4	3	8	20	168	190	166	147	83	76	37	54	77	26	3	7	6	13	20	12	80	21	2	2	1	2	12	1	0	"1,463"
SO	56	65	53	70	96	44	69	58	75	16	31	18	19	10	5	4	10	14	74	99	117	78	54	84	82	191	183	518	200	132	88	62	60	112	51	8	72	27	61	29	62	77	285	22	9	8	10	52	6	5	"3,632"
MB	13	23	8	10	60	10	17	28	34	6	8	11	5	4	4	4	2	1	10	7	8	3	3	6	13	183	210	137	129	81	62	38	60	90	37	2	8	1	8	18	16	292	30	2	2	0	3	10	0	0	"1,720"
WD	4	7	4	1	24	2	15	26	26	54	39	35	40	40	22	16	15	11	4	2	1	0	0	2	6	280	196	102	91	36	17	8	9	13	0	52	22	0	1	2	2	25	3	9	14	9	1	1	14	12	"1,318"
OA	7	19	17	18	33	13	15	21	20	13	7	14	7	4	7	4	7	11	15	19	19	9	6	8	5	82	46	55	32	16	14	9	5	7	1	4	32	5	12	1	2	13	3	12	12	4	2	14	8	6	714
WS	10	16	7	7	47	7	19	32	28	40	42	36	38	31	62	49	57	58	2	2	3	2	0	2	5	105	87	54	44	18	10	3	5	9	1	6	12	2	4	2	2	8	0	7	4	11	1	4	68	70	"1,136"
PC	4	3	1	0	7	1	20	10	16	6	7	7	4	3	3	2	1	2	61	17	23	5	6	9	7	31	22	42	34	15	10	4	6	3	2	1	1	14	8	1	3	8	2	1	3	1	1	18	1	1	458
AN	12	9	3	2	22	6	66	54	80	13	14	27	19	7	9	3	5	5	94	40	60	15	9	24	12	211	177	165	168	58	41	28	20	22	11	1	3	19	24	13	10	56	9	1	16	7	18	16	5	4	"1,712"
ML	8	15	8	8	79	11	19	38	35	26	32	27	38	23	54	36	65	86	8	5	7	2	1	4	5	133	118	72	50	14	13	4	6	8	1	4	23	1	3	1	0	8	0	11	5	73	1	5	15	20	"1,230"
