Total Trip OD																																																			
																																																			
2024 / 06																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	519	"1,718"	"1,692"	951	"5,812"	"1,393"	"1,963"	"1,549"	"1,846"	525	"1,490"	"1,224"	644	308	440	307	191	260	385	176	466	236	180	394	587	"5,030"	"3,694"	"5,963"	"3,862"	"2,473"	"2,717"	606	746	556	282	73	166	74	219	230	327	"1,482"	279	94	235	211	105	273	178	265	"55,396"
EN	"1,838"	623	"1,456"	"1,165"	"8,443"	"1,603"	"2,668"	"3,044"	"4,377"	998	"2,016"	"1,611"	867	530	643	285	428	359	528	283	548	187	233	441	634	"9,478"	"7,365"	"10,003"	"7,682"	"3,279"	"2,681"	874	853	900	308	105	262	66	208	336	416	"1,805"	614	146	571	400	57	230	428	486	"85,361"
EP	"1,983"	"1,312"	311	844	"6,816"	"1,278"	"1,580"	"2,020"	"2,481"	588	718	632	428	205	212	109	219	199	215	186	337	182	91	318	150	"5,926"	"4,698"	"4,037"	"3,948"	"1,476"	"1,022"	397	316	318	81	95	155	50	73	116	169	"1,280"	220	78	407	192	15	76	219	219	"48,997"
NB	606	780	596	232	"1,229"	547	736	"1,371"	"1,375"	309	641	526	292	193	231	73	102	185	179	142	217	85	52	123	146	"5,127"	"3,925"	"2,503"	"3,251"	"1,429"	902	293	164	177	68	36	133	26	66	42	71	"1,006"	206	25	305	133	10	43	145	162	"31,216"
BK	"6,652"	"8,781"	"7,265"	"2,043"	"1,266"	"3,488"	"4,019"	"5,179"	"5,274"	"1,833"	"3,295"	"1,933"	"2,049"	"1,590"	"1,546"	811	"1,923"	"1,776"	"1,105"	"1,042"	"1,570"	653	409	396	"1,127"	"14,271"	"8,591"	"8,759"	"8,053"	"4,241"	"3,463"	"1,793"	"1,035"	"1,195"	381	426	"1,418"	292	713	418	433	"3,225"	"1,529"	556	"1,181"	"1,080"	166	492	"1,986"	"2,172"	"134,894"
AS	"1,442"	"1,628"	"1,245"	734	"3,043"	409	"1,004"	"1,934"	"1,928"	629	"1,266"	867	524	365	328	182	316	276	223	238	237	166	57	199	425	"6,200"	"4,599"	"3,783"	"4,202"	"2,496"	"1,443"	413	246	249	81	82	237	59	172	64	129	946	265	50	362	197	24	112	285	410	"46,771"
MA	"2,483"	"2,728"	"1,572"	"1,163"	"3,998"	"1,203"	537	"1,938"	"2,419"	676	"2,056"	"1,816"	"1,270"	881	783	487	541	662	"1,722"	"1,409"	"1,592"	647	490	898	"1,018"	"10,545"	"7,623"	"7,539"	"7,891"	"4,637"	"2,782"	890	702	692	203	167	452	331	"1,471"	247	293	"1,876"	443	287	396	447	402	"1,473"	462	580	"87,820"
19	"1,629"	"2,940"	"1,983"	"1,903"	"4,882"	"1,897"	"2,016"	563	623	407	"1,406"	"1,842"	"1,990"	"1,302"	"1,367"	871	"1,236"	"1,298"	"1,731"	"1,957"	"2,590"	994	773	"1,638"	"1,233"	"13,546"	"9,970"	"9,545"	"9,037"	"5,809"	"3,549"	"1,588"	"1,110"	"1,142"	390	346	996	462	992	481	565	"1,863"	730	458	542	769	233	"1,188"	888	"1,008"	"108,278"
12	"2,013"	"4,229"	"2,388"	"1,981"	"4,827"	"1,854"	"2,292"	490	746	317	"1,561"	"2,273"	"3,170"	"2,012"	"1,705"	"1,160"	"1,750"	"1,631"	"2,166"	"2,594"	"2,430"	"1,172"	948	"1,798"	"1,100"	"13,365"	"8,565"	"10,480"	"8,687"	"4,673"	"3,616"	"1,611"	"1,527"	"1,515"	683	282	"1,153"	669	"1,742"	629	784	"2,350"	918	360	556	565	450	"1,647"	843	"1,099"	"117,376"
LM	469	913	570	456	"1,653"	611	673	373	331	457	"2,126"	"2,807"	"3,970"	"3,029"	"1,921"	"1,358"	"1,294"	"1,206"	261	207	314	109	107	202	504	"8,470"	"6,298"	"6,936"	"6,170"	"3,181"	"2,121"	695	759	720	106	"1,487"	"3,109"	113	216	104	127	490	130	"1,391"	556	935	129	318	857	"1,045"	"72,384"
FV	"1,569"	"1,701"	635	741	"3,073"	"1,401"	"2,062"	"1,497"	"1,642"	"1,930"	698	"3,601"	"3,930"	"3,445"	"3,178"	"1,326"	"1,215"	"1,247"	451	287	460	270	268	599	"1,756"	"8,277"	"6,760"	"9,003"	"8,508"	"4,139"	"3,156"	837	"1,020"	"1,035"	120	982	"2,183"	95	331	206	305	933	233	"1,028"	291	"1,027"	185	332	890	931	"91,789"
CL	"1,293"	"1,590"	608	706	"1,699"	931	"1,858"	"1,927"	"2,333"	"2,572"	"3,452"	441	"2,540"	"2,442"	"2,335"	"1,292"	"1,358"	"1,207"	672	562	607	351	306	454	"1,347"	"5,252"	"3,407"	"5,720"	"3,709"	"1,660"	"1,734"	686	627	962	144	"1,034"	"3,257"	191	546	211	237	489	330	"1,090"	605	"1,113"	171	678	"1,097"	"1,371"	"71,204"
SL	694	888	377	440	"1,990"	568	"1,474"	"2,158"	"3,330"	"4,157"	"4,204"	"2,786"	501	"2,055"	"2,920"	"1,719"	"1,331"	"2,078"	389	337	334	69	108	423	736	"8,374"	"7,249"	"7,525"	"5,957"	"2,142"	"1,555"	539	741	909	112	726	"2,342"	72	244	138	181	599	124	968	235	993	77	390	994	974	"80,226"
BF	292	506	220	295	"1,516"	318	924	"1,462"	"2,045"	"2,975"	"3,384"	"2,437"	"1,958"	497	"1,491"	"1,385"	"1,035"	"1,497"	356	92	261	56	48	199	593	"6,093"	"5,636"	"7,341"	"4,894"	"1,530"	"1,239"	434	498	560	131	650	"2,169"	34	113	90	183	324	107	"1,087"	147	931	62	168	631	661	"61,555"
HY	434	733	218	317	"1,449"	430	857	"1,445"	"1,844"	"1,719"	"3,114"	"2,307"	"2,968"	"1,597"	418	"1,317"	"2,578"	"2,941"	333	149	228	114	47	143	573	"4,053"	"2,969"	"3,247"	"2,730"	987	638	302	299	354	104	309	"1,153"	24	136	139	145	213	138	494	207	"1,787"	48	249	"1,430"	"1,202"	"51,630"
SH	301	297	125	102	816	200	524	830	"1,108"	"1,241"	"1,239"	"1,153"	"1,457"	"1,162"	"1,215"	286	"1,038"	"1,496"	163	84	146	45	35	86	261	"3,374"	"2,528"	"2,369"	"2,267"	585	628	99	237	217	49	250	547	29	85	45	44	154	101	350	161	"1,430"	34	107	931	891	"32,922"
UC	197	438	215	196	"1,874"	307	650	"1,346"	"1,816"	"1,251"	"1,210"	"1,424"	"1,471"	"1,132"	"2,602"	"1,026"	451	"1,532"	180	111	226	24	45	66	265	"5,409"	"3,787"	"3,265"	"2,688"	948	398	184	233	270	77	203	857	40	116	56	77	349	37	408	261	"1,570"	41	99	"1,660"	"1,471"	"44,559"
