Fast Pass Adjusted OD,,,,,,Jun 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,81,57,218,242,685,"1,101",866,"1,361","4,610"
MT,60,77,132,231,889,"1,537","1,223","2,490","6,638"
PL,318,189,103,180,876,"1,244",850,"2,057","5,817"
CC,219,218,211,68,597,785,581,"1,359","4,038"
16,617,725,"1,105",625,37,254,259,629,"4,251"
24,898,"1,166","1,514",779,266,47,173,537,"5,380"
GP,792,919,"1,066",518,259,194,30,146,"3,924"
BP,"1,199","1,383","3,007","1,205",652,563,151,55,"8,214"
Entries,"4,183","4,733","7,357","3,847","4,260","5,724","4,133","8,634","42,871"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,30,12,83,58,281,326,175,362,"1,325"
MT,11,23,36,45,335,382,361,"1,178","2,370"
PL,93,29,90,87,759,"1,071",638,"1,524","4,290"
CC,44,26,97,55,435,462,250,550,"1,918"
16,231,193,901,456,41,202,173,405,"2,601"
24,271,228,"1,178",485,189,46,137,353,"2,886"
GP,152,154,817,222,153,128,28,81,"1,734"
BP,310,356,"2,260",479,394,335,86,46,"4,266"
Entries,"1,140","1,020","5,460","1,886","2,586","2,951","1,847","4,499","21,387"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,33,9,52,49,162,194,102,211,813
MT,7,21,27,40,193,243,224,778,"1,533"
PL,51,18,83,79,486,712,425,"1,036","2,891"
CC,41,24,93,66,336,387,208,449,"1,605"
16,164,114,639,366,46,127,98,252,"1,806"
24,185,140,846,401,124,48,85,244,"2,071"
GP,105,92,615,195,105,78,30,37,"1,257"
BP,233,228,"1,682",389,256,226,42,46,"3,101"
Entries,820,646,"4,039","1,583","1,707","2,014","1,215","3,053","15,077"
