Fast Pass Adjusted OD,,,,,,Mar 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,52,46,144,147,542,904,767,"1,109","3,711"
MT,46,53,92,157,796,"1,349","1,107","2,263","5,865"
PL,188,122,82,113,676,"1,031",669,"1,780","4,661"
CC,144,152,129,68,529,708,493,"1,295","3,518"
16,484,626,868,526,37,231,200,608,"3,580"
24,766,"1,061","1,233",696,244,55,154,562,"4,770"
GP,715,867,914,450,199,164,28,131,"3,470"
BP,"1,003","1,298","2,640","1,227",606,594,154,47,"7,569"
Entries,"3,398","4,226","6,104","3,382","3,630","5,036","3,572","7,795","37,142"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,26,11,47,39,218,249,123,273,985
MT,6,16,28,38,326,402,338,"1,069","2,223"
PL,51,27,65,53,579,879,498,"1,121","3,272"
CC,41,27,62,35,389,423,190,478,"1,644"
16,185,191,706,399,20,175,131,321,"2,128"
24,202,251,945,430,163,31,110,294,"2,427"
GP,116,163,670,172,111,118,22,63,"1,433"
BP,239,357,"1,863",479,327,287,78,31,"3,660"
Entries,866,"1,042","4,386","1,644","2,132","2,565","1,489","3,649","17,772"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,7,33,24,134,147,71,131,565
MT,8,20,17,26,200,242,200,665,"1,377"
PL,34,16,51,45,398,579,318,698,"2,138"
CC,26,16,51,43,311,303,135,341,"1,225"
16,139,133,467,315,24,120,73,196,"1,467"
24,148,160,678,301,124,36,79,171,"1,696"
GP,76,86,472,121,76,67,18,31,947
BP,137,206,"1,285",300,197,178,34,23,"2,359"
Entries,586,641,"3,053","1,175","1,463","1,673",927,"2,256","11,773"
