Exit stations,Entry stations->,,SUNDAY,,,Feb 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	34 , 	55 , 	24 , 	30 , 	112 , 	50 , 	72 , 	45 , 	118 , 	58 , 	83 , 	8 , 	51 , 	90 , 	76 , 	49 , 	38 , 	88 , 	22 , 	26 , 	21 , 	13 , 	9 , 	25 , 	41 , 	143 , 	99 , 	320 , 	128 , 	49 , 	50 , 	26 , 	27 , 	35 , 	10 , 	26 , 	101 , 	8 , 	56 , 	12 , 	10 , 	39 , 	16 ," 	2,388 ",,,CM line," 	10,333 "," 	1,117 "," 	3,902 "," 	1,179 ", 	770 ," 	1,155 "," 	1,491 "," 	19,946 "
SL, 	14 , 	21 , 	8 , 	11 , 	42 , 	22 , 	31 , 	29 , 	63 , 	52 , 	87 , 	52 , 	6 , 	49 , 	57 , 	26 , 	25 , 	29 , 	10 , 	6 , 	7 , 	1 , 	2 , 	9 , 	18 , 	60 , 	67 , 	204 , 	73 , 	27 , 	29 , 	13 , 	15 , 	18 , 	4 , 	20 , 	34 , 	4 , 	16 , 	4 , 	4 , 	17 , 	8 ," 	1,283 ",,,RM line," 	3,740 "," 	1,493 "," 	1,241 "," 	2,197 ", 	505 ," 	1,676 ", 	508 ," 	11,360 "
BF, 	18 , 	31 , 	8 , 	13 , 	45 , 	25 , 	47 , 	41 , 	70 , 	65 , 	147 , 	104 , 	60 , 	7 , 	99 , 	67 , 	55 , 	93 , 	15 , 	3 , 	7 , 	3 , 	2 , 	7 , 	20 , 	67 , 	64 , 	205 , 	78 , 	22 , 	26 , 	8 , 	14 , 	18 , 	4 , 	39 , 	97 , 	2 , 	18 , 	5 , 	3 , 	16 , 	5 ," 	1,738 ",,,WP line," 	3,464 ", 	679 , 	838 , 	563 ," 	1,852 ", 	732 , 	650 ," 	8,777 "
HY, 	20 , 	25 , 	8 , 	10 , 	32 , 	16 , 	36 , 	25 , 	43 , 	27 , 	80 , 	80 , 	57 , 	99 , 	8 , 	49 , 	58 , 	106 , 	9 , 	5 , 	4 , 	1 , 	2 , 	4 , 	10 , 	34 , 	23 , 	96 , 	42 , 	18 , 	10 , 	7 , 	9 , 	12 , 	3 , 	6 , 	35 , 	3 , 	18 , 	1 , 	5 , 	11 , 	5 ," 	1,149 ",,,FT/ED line," 	4,686 "," 	1,733 "," 	1,159 "," 	1,508 ", 	659 ," 	4,932 ", 	495 ," 	15,173 "
SH, 	6 , 	9 , 	5 , 	3 , 	19 , 	7 , 	21 , 	13 , 	19 , 	13 , 	43 , 	49 , 	20 , 	70 , 	44 , 	5 , 	26 , 	52 , 	9 , 	3 , 	3 , 	3 , 	1 , 	4 , 	7 , 	21 , 	19 , 	72 , 	23 , 	13 , 	9 , 	3 , 	7 , 	10 , 	3 , 	8 , 	17 , 	2 , 	12 , 	4 , 	3 , 	6 , 	2 , 	681 ,,,SFIA," 	3,019 ", 	287 ," 	1,265 ", 	375 , 	475 , 	354 , 	661 ," 	6,435 "
UC, 	6 , 	16 , 	8 , 	5 , 	38 , 	10 , 	18 , 	10 , 	37 , 	31 , 	36 , 	37 , 	24 , 	59 , 	56 , 	26 , 	4 , 	54 , 	8 , 	4 , 	5 , 	3 , 	1 , 	8 , 	5 , 	42 , 	33 , 	112 , 	42 , 	14 , 	14 , 	8 , 	16 , 	15 , 	11 , 	5 , 	22 , 	2 , 	8 , 	3 , 	4 , 	18 , 	3 , 	872 ,,,Entries," 	30,469 "," 	9,748 "," 	19,437 "," 	10,765 "," 	8,063 "," 	14,758 "," 	6,888 "," 	100,128 "
FM, 	20 , 	34 , 	23 , 	20 , 	123 , 	28 , 	36 , 	27 , 	55 , 	51 , 	63 , 	105 , 	30 , 	105 , 	105 , 	57 , 	63 , 	14 , 	17 , 	9 , 	8 , 	3 , 	5 , 	14 , 	9 , 	93 , 	74 , 	247 , 	98 , 	21 , 	23 , 	16 , 	17 , 	27 , 	5 , 	11 , 	40 , 	4 , 	26 , 	6 , 	7 , 	43 , 	5 ," 	1,780 ",,,,,,,,,,,
CN, 	11 , 	12 , 	9 , 	9 , 	24 , 	11 , 	29 , 	18 , 	35 , 	7 , 	18 , 	26 , 	10 , 	13 , 	8 , 	7 , 	4 , 	14 , 	5 , 	28 , 	135 , 	43 , 	19 , 	31 , 	4 , 	59 , 	49 , 	145 , 	73 , 	19 , 	29 , 	16 , 	19 , 	21 , 	9 , 	3 , 	8 , 	16 , 	124 , 	8 , 	7 , 	51 , 	8 ," 	1,189 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	7 , 	6 , 	10 , 	30 , 	10 , 	18 , 	14 , 	27 , 	3 , 	6 , 	43 , 	4 , 	5 , 	5 , 	2 , 	5 , 	12 , 	29 , 	8 , 	50 , 	16 , 	8 , 	40 , 	4 , 	97 , 	79 , 	192 , 	102 , 	24 , 	20 , 	13 , 	9 , 	16 , 	5 , 	1 , 	5 , 	6 , 	30 , 	6 , 	7 , 	88 , 	9 ," 	1,071 ",,,Dtwn SF," 	1,464 ",,,,,,,
WC, 	6 , 	13 , 	9 , 	12 , 	46 , 	12 , 	29 , 	23 , 	35 , 	9 , 	11 , 	36 , 	6 , 	5 , 	2 , 	2 , 	7 , 	10 , 	159 , 	48 , 	6 , 	27 , 	22 , 	68 , 	3 , 	116 , 	85 , 	282 , 	137 , 	29 , 	21 , 	15 , 	11 , 	24 , 	9 , 	1 , 	6 , 	16 , 	60 , 	5 , 	5 , 	100 , 	13 ," 	1,534 ",,,OAK," 	7,622 ", 	580 ,,,,,,
LF, 	4 , 	2 , 	7 , 	5 , 	36 , 	6 , 	15 , 	12 , 	22 , 	5 , 	6 , 	33 , 	2 , 	3 , 	-   , 	3 , 	1 , 	5 , 	54 , 	16 , 	35 , 	4 , 	6 , 	31 , 	1 , 	65 , 	54 , 	132 , 	102 , 	19 , 	10 , 	4 , 	2 , 	9 , 	2 , 	1 , 	3 , 	4 , 	13 , 	2 , 	2 , 	50 , 	7 , 	791 ,,,CM line," 	20,241 "," 	2,241 "," 	3,902 ",,,,,
OR, 	2 , 	3 , 	5 , 	5 , 	21 , 	8 , 	11 , 	6 , 	16 , 	3 , 	7 , 	14 , 	4 , 	1 , 	2 , 	2 , 	1 , 	5 , 	19 , 	10 , 	19 , 	7 , 	2 , 	28 , 	2 , 	54 , 	49 , 	101 , 	70 , 	18 , 	9 , 	6 , 	6 , 	8 , 	1 , 	2 , 	1 , 	2 , 	9 , 	2 , 	1 , 	35 , 	5 , 	576 ,,,RM line," 	7,238 "," 	2,938 "," 	2,420 "," 	2,197 ",,,,
RR, 	8 , 	13 , 	16 , 	17 , 	39 , 	14 , 	26 , 	44 , 	46 , 	11 , 	20 , 	41 , 	7 , 	10 , 	4 , 	4 , 	7 , 	15 , 	31 , 	39 , 	67 , 	33 , 	26 , 	5 , 	10 , 	149 , 	116 , 	349 , 	248 , 	90 , 	76 , 	25 , 	13 , 	17 , 	4 , 	2 , 	5 , 	6 , 	18 , 	4 , 	4 , 	84 , 	14 ," 	1,772 ",,,WP line," 	6,670 "," 	1,275 "," 	1,608 "," 	1,068 "," 	1,852 ",,,
OW, 	14 , 	19 , 	8 , 	6 , 	39 , 	27 , 	38 , 	20 , 	46 , 	19 , 	62 , 	41 , 	13 , 	20 , 	15 , 	4 , 	7 , 	6 , 	4 , 	5 , 	3 , 	1 , 	3 , 	10 , 	4 , 	141 , 	121 , 	353 , 	160 , 	70 , 	62 , 	13 , 	22 , 	13 , 	4 , 	4 , 	7 , 	5 , 	22 , 	3 , 	2 , 	31 , 	6 ," 	1,467 ",,,FT/ED line," 	8,992 "," 	3,338 "," 	2,314 "," 	3,184 "," 	1,391 "," 	4,932 ",,
EM, 	66 , 	115 , 	59 , 	119 , 	264 , 	96 , 	166 , 	125 , 	176 , 	118 , 	115 , 	149 , 	70 , 	69 , 	38 , 	32 , 	42 , 	90 , 	66 , 	92 , 	123 , 	65 , 	56 , 	157 , 	165 , 	31 , 	23 , 	170 , 	90 , 	230 , 	265 , 	131 , 	234 , 	85 , 	36 , 	65 , 	185 , 	27 , 	82 , 	25 , 	24 , 	214 , 	59 ," 	4,603 ",,,SFIA," 	5,799 ", 	591 ," 	2,756 ", 	883 ," 	1,125 ", 	849 , 	661 ," 	100,128 "
MT, 	50 , 	87 , 	54 , 	111 , 	190 , 	84 , 	140 , 	102 , 	188 , 	151 , 	100 , 	111 , 	83 , 	77 , 	34 , 	19 , 	45 , 	85 , 	64 , 	82 , 	89 , 	45 , 	41 , 	130 , 	136 , 	19 , 	25 , 	60 , 	63 , 	287 , 	341 , 	299 , 	893 , 	138 , 	56 , 	36 , 	142 , 	21 , 	63 , 	30 , 	35 , 	222 , 	56 ," 	5,078 ",,,,,,,,,,,
