Fast Pass OD,,,,,,Feb 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,71,51,199,199,635,"1,057",821,"1,325","4,358"
MT,57,65,122,212,874,"1,518","1,250","2,554","6,652"
PL,256,169,93,177,811,"1,180",770,"2,307","5,763"
CC,178,192,195,63,602,822,577,"1,573","4,203"
16,570,701,"1,027",632,31,259,257,789,"4,266"
24,872,"1,153","1,438",843,272,42,201,788,"5,609"
GP,744,946,"1,014",519,256,217,25,185,"3,907"
BP,"1,206","1,411","3,304","1,467",762,834,202,50,"9,236"
Entries,"3,954","4,689","7,393","4,111","4,245","5,928","4,103","9,570","43,993"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,15,97,50,246,327,160,373,"1,309"
MT,13,22,33,42,337,403,365,"1,218","2,431"
PL,102,39,91,84,722,978,622,"1,535","4,171"
CC,54,39,105,45,393,475,223,533,"1,866"
16,216,201,888,438,50,207,172,414,"2,585"
24,249,236,"1,124",522,199,70,150,408,"2,958"
GP,139,167,790,201,146,138,43,83,"1,707"
BP,338,383,"2,318",471,381,384,89,78,"4,441"
Entries,"1,149","1,101","5,445","1,853","2,474","2,980","1,824","4,641","21,466"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,35,23,117,140,71,171,584
MT,4,14,18,21,164,193,193,688,"1,294"
PL,38,16,82,44,409,544,334,854,"2,319"
CC,21,13,63,44,247,301,133,345,"1,167"
16,125,94,517,277,37,118,102,225,"1,494"
24,138,131,681,328,120,37,69,199,"1,701"
GP,66,82,508,123,101,80,20,35,"1,015"
BP,182,167,"1,436",299,219,201,42,35,"2,580"
Entries,595,523,"3,339","1,158","1,414","1,611",962,"2,552","12,152"
