Exit stations,Entry stations->,,SATURDAY,,,Apr 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	62 , 	148 , 	85 , 	90 , 	297 , 	107 , 	164 , 	144 , 	187 , 	134 , 	206 , 	13 , 	151 , 	236 , 	184 , 	99 , 	138 , 	278 , 	76 , 	101 , 	83 , 	49 , 	40 , 	80 , 	89 , 	264 , 	188 , 	550 , 	237 , 	92 , 	81 , 	42 , 	56 , 	93 , 	12 , 	118 , 	322 , 	32 , 	121 , 	15 , 	18 , 	29 , 	31 , 	115 ," 	5,653 ",,,CM line," 	16,450 "," 	2,440 "," 	6,635 "," 	2,408 "," 	1,400 "," 	2,070 "," 	2,198 "," 	33,600 "
SL, 	27 , 	43 , 	21 , 	20 , 	103 , 	37 , 	58 , 	63 , 	102 , 	123 , 	156 , 	154 , 	15 , 	112 , 	91 , 	47 , 	37 , 	56 , 	20 , 	9 , 	16 , 	3 , 	3 , 	10 , 	32 , 	197 , 	147 , 	416 , 	130 , 	52 , 	50 , 	17 , 	36 , 	32 , 	7 , 	34 , 	40 , 	3 , 	22 , 	6 , 	10 , 	30 , 	10 , 	20 ," 	2,616 ",,,RM line," 	7,737 "," 	2,874 "," 	2,435 "," 	4,682 "," 	1,040 "," 	3,076 ", 	672 ," 	22,515 "
BF, 	25 , 	48 , 	16 , 	19 , 	113 , 	40 , 	78 , 	74 , 	140 , 	138 , 	254 , 	240 , 	113 , 	13 , 	152 , 	86 , 	75 , 	135 , 	21 , 	8 , 	10 , 	4 , 	4 , 	13 , 	32 , 	186 , 	131 , 	406 , 	121 , 	46 , 	47 , 	23 , 	36 , 	35 , 	10 , 	74 , 	89 , 	7 , 	27 , 	4 , 	12 , 	17 , 	8 , 	90 ," 	3,211 ",,,WP line," 	7,243 "," 	1,353 "," 	1,441 "," 	1,111 "," 	3,293 "," 	1,393 ", 	797 ," 	16,632 "
HY, 	32 , 	48 , 	13 , 	17 , 	98 , 	36 , 	63 , 	50 , 	93 , 	62 , 	157 , 	182 , 	97 , 	150 , 	7 , 	88 , 	98 , 	144 , 	20 , 	8 , 	10 , 	2 , 	3 , 	9 , 	24 , 	132 , 	67 , 	239 , 	82 , 	30 , 	31 , 	12 , 	23 , 	27 , 	7 , 	22 , 	39 , 	5 , 	17 , 	8 , 	11 , 	12 , 	10 , 	27 ," 	2,307 ",,,FT/ED line," 	9,678 "," 	3,255 "," 	2,131 "," 	3,236 "," 	1,385 "," 	9,248 ", 	595 ," 	29,528 "
SH, 	16 , 	18 , 	9 , 	6 , 	61 , 	13 , 	24 , 	27 , 	46 , 	33 , 	74 , 	98 , 	49 , 	92 , 	78 , 	5 , 	43 , 	87 , 	13 , 	3 , 	7 , 	2 , 	2 , 	5 , 	11 , 	83 , 	57 , 	194 , 	52 , 	21 , 	31 , 	10 , 	16 , 	25 , 	5 , 	21 , 	27 , 	1 , 	16 , 	3 , 	8 , 	7 , 	4 , 	15 ," 	1,409 ",,,SFIA," 	4,645 ", 	416 ," 	2,275 ", 	665 , 	655 , 	503 , 	860 ," 	10,017 "
UC, 	9 , 	44 , 	8 , 	10 , 	120 , 	16 , 	25 , 	58 , 	45 , 	44 , 	56 , 	132 , 	42 , 	76 , 	102 , 	48 , 	9 , 	102 , 	16 , 	10 , 	7 , 	4 , 	3 , 	9 , 	10 , 	156 , 	92 , 	286 , 	71 , 	27 , 	23 , 	15 , 	17 , 	34 , 	7 , 	13 , 	36 , 	2 , 	24 , 	5 , 	5 , 	19 , 	5 , 	14 ," 	1,851 ",,,Entries," 	55,941 "," 	19,683 "," 	34,513 "," 	23,025 "," 	16,395 "," 	29,058 "," 	10,579 "," 	189,194 "
FM, 	22 , 	46 , 	26 , 	30 , 	353 , 	44 , 	54 , 	56 , 	95 , 	65 , 	102 , 	274 , 	56 , 	127 , 	156 , 	98 , 	105 , 	22 , 	26 , 	12 , 	18 , 	10 , 	5 , 	23 , 	19 , 	320 , 	177 , 	569 , 	167 , 	48 , 	42 , 	24 , 	28 , 	57 , 	5 , 	22 , 	49 , 	6 , 	30 , 	7 , 	7 , 	41 , 	7 , 	19 ," 	3,465 ",,,,,,,,,,,
CN, 	25 , 	22 , 	10 , 	12 , 	74 , 	17 , 	57 , 	38 , 	73 , 	13 , 	35 , 	80 , 	15 , 	18 , 	16 , 	12 , 	12 , 	21 , 	9 , 	67 , 	211 , 	66 , 	30 , 	53 , 	9 , 	210 , 	126 , 	307 , 	121 , 	40 , 	42 , 	26 , 	29 , 	45 , 	13 , 	5 , 	10 , 	15 , 	213 , 	9 , 	11 , 	58 , 	18 , 	5 ," 	2,291 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	14 , 	6 , 	15 , 	83 , 	9 , 	35 , 	31 , 	54 , 	8 , 	19 , 	100 , 	10 , 	8 , 	7 , 	3 , 	9 , 	12 , 	64 , 	17 , 	103 , 	28 , 	15 , 	62 , 	9 , 	299 , 	180 , 	337 , 	128 , 	38 , 	35 , 	16 , 	16 , 	27 , 	6 , 	5 , 	5 , 	18 , 	66 , 	8 , 	7 , 	87 , 	16 , 	2 ," 	2,019 ",,,Dtwn SF," 	2,171 ",,,,,,,
WC, 	18 , 	22 , 	21 , 	22 , 	100 , 	19 , 	51 , 	56 , 	76 , 	16 , 	35 , 	91 , 	16 , 	9 , 	8 , 	7 , 	6 , 	18 , 	246 , 	113 , 	14 , 	51 , 	39 , 	113 , 	12 , 	385 , 	253 , 	468 , 	195 , 	57 , 	45 , 	23 , 	20 , 	33 , 	11 , 	3 , 	7 , 	34 , 	124 , 	8 , 	10 , 	99 , 	19 , 	3 ," 	2,970 ",,,OAK," 	16,325 "," 	1,038 ",,,,,,
