Muni Fast Pass Adult/Clipper OD,,,,,,Apr 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,46,24,93,119,431,763,670,944,"3,089"
MT,31,41,58,108,504,995,920,"1,747","4,404"
PL,134,81,48,69,442,632,496,"1,443","3,345"
CC,85,87,81,31,253,447,370,919,"2,274"
16,356,412,522,280,15,168,171,430,"2,355"
24,597,719,764,449,191,24,127,474,"3,345"
GP,572,685,629,336,172,155,16,101,"2,667"
BP,820,"1,004","1,937",875,421,507,98,52,"5,714"
Entries,"2,642","3,053","4,132","2,266","2,428","3,692","2,869","6,110","27,193"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,4,36,22,156,215,125,286,865
MT,6,20,21,16,172,248,220,802,"1,504"
PL,46,14,54,34,400,521,411,"1,069","2,548"
CC,20,12,33,28,182,254,145,316,990
16,134,87,424,183,15,168,128,265,"1,403"
24,172,142,579,255,152,26,98,268,"1,692"
GP,110,126,485,130,111,99,17,52,"1,131"
BP,246,279,"1,393",288,230,242,44,35,"2,756"
Entries,755,683,"3,024",957,"1,419","1,773","1,186","3,093","12,889"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,3,21,16,72,110,64,146,455
MT,4,15,11,10,98,127,125,475,865
PL,22,7,46,18,242,348,242,641,"1,567"
CC,9,5,24,25,137,172,104,218,693
16,81,53,280,137,19,97,79,144,891
24,110,80,410,185,100,28,71,152,"1,136"
GP,70,76,348,98,80,81,18,26,798
BP,154,162,996,199,150,147,23,29,"1,862"
Entries,475,402,"2,136",689,897,"1,111",727,"1,831","8,269"
