Exit stations,Entry stations->,,SATURDAY,,,Aug 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	5 , 	67 , 	74 , 	42 , 	183 , 	93 , 	89 , 	45 , 	61 , 	18 , 	85 , 	76 , 	25 , 	24 , 	24 , 	12 , 	12 , 	22 , 	17 , 	13 , 	11 , 	10 , 	4 , 	14 , 	18 , 	109 , 	79 , 	264 , 	116 , 	68 , 	91 , 	21 , 	42 , 	28 , 	8 , 	6 , 	9 , 	4 , 	28 , 	8 , 	13 , 	21 , 	10 , 	6 ," 	1,969 ",,,Eastbay," 	42,713 ",,SF CBD," 	114,528 ",59.9%,,,
EN, 	64 , 	13 , 	67 , 	54 , 	342 , 	118 , 	128 , 	71 , 	185 , 	37 , 	111 , 	203 , 	38 , 	47 , 	41 , 	17 , 	20 , 	50 , 	29 , 	18 , 	22 , 	9 , 	7 , 	18 , 	27 , 	294 , 	226 , 	675 , 	214 , 	85 , 	151 , 	33 , 	66 , 	54 , 	20 , 	10 , 	18 , 	4 , 	35 , 	12 , 	17 , 	57 , 	23 , 	6 ," 	3,729 ",,,Westbay," 	60,795 ",,non-CBD," 	70,454 ",36.9%,,,
EP, 	80 , 	59 , 	8 , 	47 , 	356 , 	81 , 	68 , 	52 , 	125 , 	28 , 	48 , 	99 , 	10 , 	14 , 	13 , 	6 , 	11 , 	30 , 	14 , 	7 , 	16 , 	8 , 	4 , 	20 , 	11 , 	191 , 	134 , 	373 , 	143 , 	63 , 	64 , 	12 , 	20 , 	18 , 	4 , 	6 , 	9 , 	2 , 	11 , 	3 , 	4 , 	38 , 	17 , 	6 ," 	2,328 ",,,Transbay," 	89,595 ",,,,,,,
NB, 	52 , 	55 , 	47 , 	8 , 	123 , 	48 , 	52 , 	61 , 	106 , 	24 , 	64 , 	85 , 	21 , 	21 , 	20 , 	4 , 	6 , 	25 , 	16 , 	10 , 	20 , 	9 , 	3 , 	17 , 	15 , 	275 , 	223 , 	431 , 	247 , 	127 , 	107 , 	28 , 	21 , 	18 , 	4 , 	7 , 	7 , 	3 , 	6 , 	4 , 	6 , 	72 , 	18 , 	3 ," 	2,513 ",,,,,,,,,,,
BK, 	192 , 	344 , 	360 , 	139 , 	30 , 	226 , 	252 , 	228 , 	274 , 	81 , 	171 , 	211 , 	64 , 	72 , 	54 , 	27 , 	57 , 	171 , 	62 , 	50 , 	73 , 	37 , 	27 , 	51 , 	55 , 	665 , 	406 ," 	1,303 ", 	550 , 	287 , 	240 , 	65 , 	63 , 	82 , 	21 , 	20 , 	62 , 	12 , 	32 , 	11 , 	17 , 	185 , 	121 , 	21 ," 	7,466 ",,,,,,,,,,,
AS, 	86 , 	111 , 	73 , 	49 , 	187 , 	12 , 	97 , 	107 , 	135 , 	35 , 	104 , 	116 , 	31 , 	41 , 	36 , 	14 , 	12 , 	37 , 	16 , 	9 , 	18 , 	8 , 	3 , 	13 , 	37 , 	198 , 	143 , 	374 , 	257 , 	163 , 	140 , 	22 , 	24 , 	19 , 	4 , 	9 , 	16 , 	4 , 	24 , 	5 , 	5 , 	42 , 	17 , 	4 ," 	2,852 ",,,,,,,,,,,
MA, 	90 , 	125 , 	74 , 	50 , 	247 , 	87 , 	12 , 	75 , 	164 , 	29 , 	131 , 	153 , 	48 , 	65 , 	60 , 	28 , 	22 , 	45 , 	54 , 	31 , 	44 , 	18 , 	17 , 	41 , 	50 , 	394 , 	311 , 	736 , 	439 , 	262 , 	239 , 	37 , 	43 , 	33 , 	12 , 	11 , 	19 , 	9 , 	81 , 	4 , 	11 , 	78 , 	24 , 	12 ," 	4,510 ",,,,,,,,,,,
19, 	53 , 	73 , 	55 , 	64 , 	198 , 	94 , 	78 , 	9 , 	19 , 	9 , 	57 , 	107 , 	53 , 	54 , 	51 , 	23 , 	23 , 	38 , 	32 , 	32 , 	33 , 	20 , 	15 , 	60 , 	40 , 	201 , 	188 , 	407 , 	286 , 	182 , 	142 , 	38 , 	30 , 	25 , 	11 , 	9 , 	14 , 	6 , 	46 , 	6 , 	11 , 	35 , 	21 , 	7 ," 	2,950 ",,,,,,,,,,,
12, 	77 , 	176 , 	124 , 	104 , 	248 , 	130 , 	155 , 	21 , 	14 , 	18 , 	113 , 	178 , 	128 , 	137 , 	83 , 	50 , 	60 , 	116 , 	74 , 	48 , 	86 , 	44 , 	47 , 	104 , 	74 , 	330 , 	271 , 	684 , 	329 , 	158 , 	150 , 	53 , 	82 , 	62 , 	22 , 	22 , 	48 , 	21 , 	74 , 	18 , 	21 , 	76 , 	47 , 	18 ," 	4,890 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	16 , 	33 , 	24 , 	26 , 	80 , 	40 , 	34 , 	8 , 	19 , 	7 , 	82 , 	154 , 	124 , 	149 , 	56 , 	26 , 	51 , 	61 , 	9 , 	8 , 	10 , 	8 , 	9 , 	15 , 	21 , 	226 , 	205 , 	520 , 	221 , 	117 , 	118 , 	31 , 	39 , 	31 , 	5 , 	64 , 	76 , 	2 , 	12 , 	3 , 	4 , 	22 , 	8 , 	29 ," 	2,793 ",,,Dtwn SF," 	2,527 "," 	8,009 "," 	17,433 "," 	8,086 "," 	7,636 "," 	9,774 "," 	6,071 "," 	59,535 "
FV, 	75 , 	112 , 	42 , 	53 , 	171 , 	100 , 	114 , 	76 , 	120 , 	63 , 	10 , 	238 , 	134 , 	242 , 	156 , 	72 , 	46 , 	101 , 	40 , 	18 , 	34 , 	16 , 	19 , 	39 , 	92 , 	303 , 	237 , 	642 , 	307 , 	187 , 	176 , 	43 , 	67 , 	51 , 	9 , 	44 , 	82 , 	6 , 	51 , 	12 , 	12 , 	49 , 	22 , 	37 ," 	4,515 ",,,OAK," 	7,608 "," 	1,032 "," 	2,357 "," 	2,435 "," 	1,177 "," 	3,110 ", 	455 ," 	18,174 "
CL, 	71 , 	217 , 	107 , 	88 , 	247 , 	110 , 	162 , 	138 , 	181 , 	147 , 	233 , 	16 , 	184 , 	264 , 	172 , 	98 , 	126 , 	301 , 	117 , 	108 , 	114 , 	72 , 	42 , 	81 , 	110 , 	301 , 	193 , 	539 , 	252 , 	113 , 	115 , 	55 , 	69 , 	66 , 	11 , 	127 , 	408 , 	53 , 	158 , 	24 , 	19 , 	48 , 	32 , 	84 ," 	6,165 ",,,CM line," 	16,861 "," 	2,421 "," 	6,722 "," 	2,314 "," 	1,574 "," 	2,391 "," 	2,536 "," 	34,818 "
