Muni Fast Pass Adult/Clipper OD,,,,,,Aug 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,23,86,116,409,764,640,877,"2,963"
MT,27,42,54,99,478,969,870,"1,564","4,104"
PL,130,75,57,70,417,659,497,"1,255","3,159"
CC,92,90,79,31,242,444,334,782,"2,093"
16,347,379,495,270,19,123,142,363,"2,138"
24,602,711,793,434,128,27,120,347,"3,162"
GP,560,639,610,302,144,133,15,82,"2,484"
BP,753,913,"1,682",697,342,362,79,44,"4,872"
Entries,"2,558","2,870","3,856","2,018","2,178","3,483","2,696","5,315","24,974"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,6,40,29,143,203,121,266,827
MT,9,14,19,17,154,236,207,739,"1,393"
PL,54,13,55,38,381,555,380,"1,012","2,487"
CC,23,12,37,24,177,260,130,290,953
16,125,87,435,184,22,104,107,236,"1,299"
24,152,140,650,261,107,23,117,252,"1,702"
GP,101,113,469,120,91,102,17,37,"1,049"
BP,198,254,"1,359",243,208,214,39,27,"2,543"
Entries,680,639,"3,063",916,"1,282","1,697","1,117","2,859","12,252"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,5,23,20,84,119,71,157,496
MT,2,13,11,12,91,142,124,465,860
PL,23,6,54,23,268,389,264,709,"1,735"
CC,16,8,30,28,137,168,98,241,726
16,86,52,319,142,20,68,66,154,905
24,117,83,477,189,66,27,72,156,"1,187"
GP,70,80,371,88,68,69,12,22,778
BP,154,151,"1,034",192,147,125,20,22,"1,845"
Entries,486,398,"2,319",692,881,"1,105",725,"1,925","8,531"
