Exit stations,Entry stations->,,SATURDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
FV, 	59 , 	78 , 	31 , 	48 , 	149 , 	64 , 	86 , 	79 , 	87 , 	65 , 	27 , 	235 , 	125 , 	148 , 	97 , 	48 , 	30 , 	79 , 	26 , 	17 , 	27 , 	11 , 	13 , 	37 , 	77 , 	351 , 	241 , 	606 , 	349 , 	190 , 	168 , 	42 , 	44 , 	46 , 	9 , 	39 , 	89 , 	5 , 	38 , 	10 , 	12 , 	48 , 	21 , 	55 , 	11 , 	35 , 	-   , 	-   , 	1 , 	1 ," 	4,153 ",,,,,,,,,,
CL, 	56 , 	130 , 	74 , 	81 , 	134 , 	74 , 	125 , 	121 , 	146 , 	152 , 	220 , 	23 , 	229 , 	205 , 	153 , 	92 , 	139 , 	225 , 	41 , 	117 , 	102 , 	51 , 	52 , 	72 , 	75 , 	319 , 	191 , 	452 , 	246 , 	115 , 	126 , 	80 , 	47 , 	106 , 	11 , 	105 , 	355 , 	22 , 	75 , 	17 , 	25 , 	36 , 	23 , 	145 , 	36 , 	187 , 	-   , 	-   , 	0 , 	9 ," 	5,613 ",,,,,,,,,,
SL, 	15 , 	36 , 	14 , 	29 , 	78 , 	25 , 	44 , 	68 , 	94 , 	117 , 	132 , 	229 , 	8 , 	104 , 	68 , 	35 , 	35 , 	43 , 	10 , 	11 , 	10 , 	4 , 	3 , 	12 , 	41 , 	202 , 	181 , 	369 , 	178 , 	70 , 	61 , 	19 , 	26 , 	26 , 	6 , 	25 , 	39 , 	3 , 	17 , 	4 , 	8 , 	29 , 	5 , 	32 , 	6 , 	20 , 	-   , 	-   , 	0 , 	2 ," 	2,587 ",,,,,,,,,,
BF, 	13 , 	27 , 	12 , 	11 , 	66 , 	22 , 	46 , 	52 , 	92 , 	123 , 	155 , 	205 , 	100 , 	9 , 	76 , 	43 , 	49 , 	84 , 	13 , 	8 , 	7 , 	2 , 	3 , 	9 , 	35 , 	167 , 	159 , 	373 , 	136 , 	67 , 	56 , 	18 , 	30 , 	29 , 	7 , 	34 , 	70 , 	3 , 	16 , 	6 , 	15 , 	22 , 	7 , 	76 , 	4 , 	27 , 	-   , 	-   , 	1 , 	2 ," 	2,582 ",,,,,,,,,,
HY, 	13 , 	34 , 	11 , 	14 , 	53 , 	21 , 	26 , 	46 , 	50 , 	46 , 	98 , 	157 , 	63 , 	73 , 	11 , 	53 , 	68 , 	113 , 	10 , 	5 , 	9 , 	4 , 	2 , 	8 , 	24 , 	113 , 	66 , 	186 , 	74 , 	41 , 	35 , 	11 , 	18 , 	17 , 	1 , 	12 , 	36 , 	1 , 	15 , 	3 , 	3 , 	16 , 	7 , 	24 , 	7 , 	38 , 	-   , 	-   , 	0 , 	1 ," 	1,731 ",,,,,,,,,,
SH, 	10 , 	18 , 	3 , 	7 , 	34 , 	8 , 	17 , 	22 , 	34 , 	26 , 	48 , 	80 , 	34 , 	49 , 	40 , 	4 , 	26 , 	42 , 	7 , 	3 , 	2 , 	1 , 	1 , 	7 , 	14 , 	62 , 	51 , 	135 , 	49 , 	25 , 	27 , 	9 , 	12 , 	19 , 	5 , 	10 , 	15 , 	2 , 	9 , 	2 , 	4 , 	10 , 	5 , 	9 , 	5 , 	16 , 	-   , 	-   , 	1 , 	0 ," 	1,013 ",,,,,,,,,,
UC, 	9 , 	18 , 	9 , 	11 , 	76 , 	13 , 	18 , 	30 , 	44 , 	44 , 	33 , 	140 , 	39 , 	42 , 	62 , 	24 , 	18 , 	60 , 	5 , 	3 , 	8 , 	2 , 	2 , 	9 , 	21 , 	154 , 	84 , 	203 , 	87 , 	43 , 	33 , 	10 , 	15 , 	21 , 	3 , 	11 , 	24 , 	2 , 	9 , 	3 , 	3 , 	21 , 	3 , 	12 , 	13 , 	18 , 	-   , 	-   , 	-   , 	1 ," 	1,510 ",,,,,,,,,,
FM, 	18 , 	28 , 	23 , 	19 , 	130 , 	23 , 	32 , 	51 , 	51 , 	61 , 	82 , 	218 , 	52 , 	80 , 	110 , 	49 , 	60 , 	24 , 	9 , 	13 , 	10 , 	4 , 	3 , 	12 , 	42 , 	238 , 	148 , 	288 , 	153 , 	55 , 	39 , 	16 , 	23 , 	31 , 	5 , 	16 , 	42 , 	4 , 	12 , 	4 , 	5 , 	30 , 	5 , 	18 , 	22 , 	20 , 	-   , 	-   , 	-   , 	1 ," 	2,375 ",,,,,,,,,,
CN, 	11 , 	16 , 	8 , 	8 , 	34 , 	10 , 	36 , 	45 , 	44 , 	10 , 	31 , 	39 , 	7 , 	9 , 	11 , 	6 , 	9 , 	10 , 	19 , 	40 , 	113 , 	37 , 	15 , 	32 , 	14 , 	135 , 	92 , 	200 , 	102 , 	43 , 	34 , 	18 , 	14 , 	23 , 	9 , 	4 , 	5 , 	33 , 	151 , 	5 , 	9 , 	79 , 	14 , 	0 , 	19 , 	5 , 	-   , 	-   , 	6 , 	14 ," 	1,621 ",,,,,,,,,,
PH, 	8 , 	14 , 	9 , 	12 , 	77 , 	10 , 	40 , 	62 , 	54 , 	9 , 	14 , 	94 , 	9 , 	6 , 	5 , 	2 , 	4 , 	12 , 	41 , 	16 , 	82 , 	19 , 	17 , 	63 , 	17 , 	264 , 	184 , 	315 , 	163 , 	66 , 	50 , 	26 , 	18 , 	22 , 	8 , 	2 , 	4 , 	11 , 	59 , 	7 , 	9 , 	144 , 	20 , 	2 , 	32 , 	5 , 	-   , 	-   , 	1 , 	2 ," 	2,102 ",,,,,,,,,,
