Exit stations,Entry stations->,,SUNDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	52 , 	51 , 	23 , 	34 , 	107 , 	54 , 	63 , 	48 , 	49 , 	89 , 	15 , 	130 , 	85 , 	125 , 	61 , 	26 , 	27 , 	54 , 	20 , 	12 , 	18 , 	6 , 	5 , 	23 , 	49 , 	258 , 	183 , 	463 , 	263 , 	157 , 	150 , 	31 , 	29 , 	33 , 	5 , 	22 , 	56 , 	3 , 	26 , 	5 , 	9 , 	52 , 	12 , 	32 , 	17 , 	20 , 	-   , 	-   , 	0 , 	1 ," 	3,048 ",,,,,,,,,,,
CL, 	48 , 	90 , 	39 , 	47 , 	78 , 	45 , 	81 , 	65 , 	88 , 	120 , 	132 , 	19 , 	130 , 	131 , 	94 , 	65 , 	82 , 	112 , 	35 , 	55 , 	52 , 	33 , 	29 , 	34 , 	51 , 	278 , 	153 , 	361 , 	175 , 	103 , 	88 , 	49 , 	34 , 	64 , 	11 , 	67 , 	229 , 	17 , 	55 , 	11 , 	11 , 	34 , 	22 , 	89 , 	50 , 	120 , 	-   , 	-   , 	1 , 	4 ," 	3,776 ",,,,,,,,,,,
SL, 	12 , 	23 , 	13 , 	21 , 	49 , 	20 , 	26 , 	39 , 	53 , 	95 , 	85 , 	132 , 	11 , 	72 , 	40 , 	23 , 	23 , 	28 , 	7 , 	8 , 	9 , 	2 , 	1 , 	9 , 	23 , 	163 , 	130 , 	260 , 	131 , 	63 , 	66 , 	18 , 	17 , 	24 , 	5 , 	14 , 	32 , 	2 , 	13 , 	3 , 	5 , 	44 , 	5 , 	28 , 	15 , 	14 , 	-   , 	-   , 	1 , 	1 ," 	1,870 ",,,,,,,,,,,
BF, 	11 , 	21 , 	10 , 	11 , 	45 , 	17 , 	33 , 	33 , 	61 , 	100 , 	114 , 	132 , 	66 , 	14 , 	50 , 	26 , 	30 , 	61 , 	10 , 	9 , 	6 , 	1 , 	2 , 	6 , 	26 , 	132 , 	124 , 	259 , 	115 , 	70 , 	54 , 	11 , 	22 , 	23 , 	3 , 	24 , 	60 , 	2 , 	16 , 	3 , 	7 , 	34 , 	4 , 	52 , 	11 , 	15 , 	-   , 	-   , 	0 , 	1 ," 	1,929 ",,,,,,,,,,,
HY, 	11 , 	21 , 	7 , 	12 , 	28 , 	12 , 	30 , 	30 , 	37 , 	43 , 	69 , 	94 , 	42 , 	53 , 	10 , 	28 , 	45 , 	72 , 	8 , 	4 , 	10 , 	2 , 	2 , 	7 , 	18 , 	93 , 	51 , 	113 , 	51 , 	37 , 	37 , 	10 , 	12 , 	15 , 	4 , 	10 , 	27 , 	1 , 	16 , 	1 , 	3 , 	18 , 	3 , 	16 , 	13 , 	21 , 	-   , 	-   , 	0 , 	1 ," 	1,240 ",,,,,,,,,,,
SH, 	6 , 	7 , 	6 , 	6 , 	15 , 	5 , 	13 , 	14 , 	18 , 	19 , 	26 , 	59 , 	26 , 	32 , 	28 , 	8 , 	19 , 	42 , 	4 , 	2 , 	4 , 	1 , 	1 , 	4 , 	9 , 	57 , 	37 , 	81 , 	44 , 	26 , 	23 , 	4 , 	8 , 	11 , 	2 , 	7 , 	12 , 	1 , 	10 , 	1 , 	3 , 	11 , 	3 , 	7 , 	10 , 	9 , 	-   , 	-   , 	-   , 	2 , 	741 ,,,,,,,,,,,
UC, 	6 , 	13 , 	8 , 	10 , 	43 , 	13 , 	12 , 	20 , 	23 , 	33 , 	30 , 	79 , 	24 , 	33 , 	49 , 	17 , 	14 , 	44 , 	6 , 	5 , 	4 , 	1 , 	2 , 	7 , 	18 , 	120 , 	62 , 	157 , 	82 , 	35 , 	28 , 	10 , 	11 , 	19 , 	3 , 	6 , 	20 , 	1 , 	8 , 	2 , 	3 , 	23 , 	2 , 	9 , 	17 , 	11 , 	-   , 	-   , 	1 , 	-   ," 	1,138 ",,,,,,,,,,,
FM, 	15 , 	36 , 	18 , 	18 , 	83 , 	20 , 	25 , 	25 , 	31 , 	35 , 	54 , 	113 , 	34 , 	58 , 	82 , 	38 , 	45 , 	26 , 	9 , 	12 , 	9 , 	2 , 	2 , 	8 , 	17 , 	194 , 	98 , 	215 , 	114 , 	57 , 	40 , 	9 , 	18 , 	17 , 	5 , 	12 , 	37 , 	3 , 	15 , 	3 , 	3 , 	41 , 	3 , 	11 , 	31 , 	12 , 	-   , 	-   , 	0 , 	1 ," 	1,748 ",,,,,,,,,,,
CN, 	8 , 	11 , 	5 , 	9 , 	25 , 	5 , 	30 , 	22 , 	42 , 	11 , 	14 , 	31 , 	7 , 	9 , 	7 , 	6 , 	6 , 	10 , 	14 , 	31 , 	79 , 	29 , 	14 , 	28 , 	10 , 	140 , 	94 , 	161 , 	83 , 	34 , 	32 , 	16 , 	18 , 	25 , 	10 , 	3 , 	6 , 	29 , 	117 , 	8 , 	9 , 	79 , 	10 , 	3 , 	27 , 	6 , 	-   , 	-   , 	4 , 	8 ," 	1,378 ",,,,,,,,,,,
PH, 	7 , 	9 , 	7 , 	10 , 	31 , 	11 , 	29 , 	26 , 	36 , 	9 , 	9 , 	49 , 	8 , 	6 , 	4 , 	2 , 	5 , 	7 , 	32 , 	11 , 	67 , 	18 , 	11 , 	44 , 	12 , 	229 , 	141 , 	255 , 	147 , 	62 , 	51 , 	17 , 	13 , 	18 , 	8 , 	2 , 	5 , 	7 , 	41 , 	7 , 	7 , 	199 , 	12 , 	1 , 	47 , 	5 , 	-   , 	-   , 	1 , 	2 ," 	1,729 ",,,,,,,,,,,
