Exit stations,Entry stations->,,SATURDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	77 , 	228 , 	92 , 	94 , 	244 , 	113 , 	172 , 	97 , 	194 , 	123 , 	239 , 	8 , 	243 , 	311 , 	189 , 	110 , 	141 , 	309 , 	110 , 	130 , 	114 , 	71 , 	58 , 	73 , 	86 , 	307 , 	190 , 	540 , 	217 , 	93 , 	103 , 	50 , 	52 , 	62 , 	16 , 	173 , 	567 , 	59 , 	152 , 	18 , 	26 , 	47 , 	32 ," 	6,330 ",,,CM line," 	18,032 "," 	1,730 "," 	6,196 "," 	2,060 "," 	1,278 "," 	1,842 "," 	2,081 "," 	33,220 "
SL, 	21 , 	33 , 	16 , 	17 , 	106 , 	31 , 	61 , 	49 , 	145 , 	126 , 	164 , 	237 , 	14 , 	110 , 	95 , 	45 , 	37 , 	62 , 	19 , 	9 , 	14 , 	5 , 	6 , 	12 , 	27 , 	166 , 	131 , 	408 , 	115 , 	40 , 	41 , 	14 , 	25 , 	30 , 	9 , 	30 , 	56 , 	4 , 	26 , 	7 , 	8 , 	30 , 	16 ," 	2,611 ",,,RM line," 	8,299 "," 	2,672 "," 	2,053 "," 	4,879 "," 	1,230 "," 	3,256 ", 	709 ," 	23,097 "
BF, 	28 , 	45 , 	12 , 	18 , 	114 , 	44 , 	74 , 	71 , 	154 , 	122 , 	257 , 	306 , 	117 , 	10 , 	150 , 	99 , 	79 , 	176 , 	19 , 	7 , 	10 , 	5 , 	6 , 	10 , 	37 , 	175 , 	117 , 	396 , 	109 , 	40 , 	42 , 	15 , 	26 , 	24 , 	7 , 	65 , 	180 , 	2 , 	25 , 	8 , 	6 , 	14 , 	8 ," 	3,229 ",,,WP line," 	7,330 "," 	1,234 "," 	1,330 "," 	1,277 "," 	3,715 "," 	1,566 ", 	751 ," 	17,202 "
HY, 	29 , 	39 , 	15 , 	13 , 	87 , 	31 , 	54 , 	47 , 	100 , 	54 , 	171 , 	185 , 	102 , 	166 , 	10 , 	96 , 	86 , 	186 , 	20 , 	8 , 	9 , 	4 , 	4 , 	10 , 	26 , 	104 , 	61 , 	224 , 	68 , 	31 , 	31 , 	14 , 	24 , 	21 , 	8 , 	21 , 	55 , 	3 , 	23 , 	7 , 	7 , 	16 , 	7 ," 	2,274 ",,,FT/ED line," 	10,204 "," 	3,252 "," 	1,973 "," 	3,378 "," 	1,558 "," 	11,190 ", 	718 ," 	32,273 "
SH, 	15 , 	20 , 	9 , 	6 , 	39 , 	8 , 	30 , 	18 , 	48 , 	28 , 	70 , 	105 , 	41 , 	102 , 	86 , 	10 , 	47 , 	126 , 	8 , 	4 , 	4 , 	2 , 	3 , 	4 , 	10 , 	65 , 	47 , 	190 , 	57 , 	22 , 	27 , 	8 , 	13 , 	15 , 	7 , 	13 , 	34 , 	2 , 	17 , 	3 , 	5 , 	8 , 	2 ," 	1,376 ",,,SFIA," 	5,139 ", 	353 ," 	2,095 ", 	707 , 	633 , 	641 , 	984 ," 	10,552 "
UC, 	11 , 	19 , 	10 , 	7 , 	96 , 	18 , 	23 , 	27 , 	63 , 	48 , 	55 , 	145 , 	35 , 	81 , 	83 , 	56 , 	13 , 	124 , 	15 , 	7 , 	10 , 	2 , 	4 , 	6 , 	13 , 	141 , 	93 , 	305 , 	64 , 	25 , 	17 , 	11 , 	16 , 	21 , 	11 , 	14 , 	34 , 	3 , 	12 , 	4 , 	4 , 	18 , 	7 ," 	1,771 ",,,Entries," 	58,875 "," 	17,667 "," 	33,862 "," 	23,377 "," 	17,175 "," 	32,224 "," 	11,617 "," 	194,797 "
FM, 	25 , 	57 , 	34 , 	31 , 	402 , 	39 , 	55 , 	47 , 	121 , 	75 , 	113 , 	302 , 	69 , 	184 , 	187 , 	137 , 	134 , 	29 , 	22 , 	22 , 	17 , 	8 , 	5 , 	23 , 	12 , 	316 , 	218 , 	715 , 	164 , 	35 , 	36 , 	20 , 	29 , 	46 , 	7 , 	29 , 	72 , 	7 , 	29 , 	6 , 	11 , 	49 , 	8 ," 	3,946 ",,,,,,,,,,,
CN, 	23 , 	28 , 	13 , 	11 , 	78 , 	18 , 	55 , 	37 , 	85 , 	8 , 	37 , 	107 , 	20 , 	19 , 	13 , 	8 , 	13 , 	24 , 	17 , 	65 , 	236 , 	80 , 	41 , 	59 , 	11 , 	206 , 	124 , 	338 , 	119 , 	35 , 	55 , 	20 , 	31 , 	37 , 	12 , 	4 , 	12 , 	29 , 	265 , 	10 , 	10 , 	67 , 	19 ," 	2,497 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	8 , 	11 , 	9 , 	12 , 	110 , 	12 , 	25 , 	23 , 	73 , 	8 , 	14 , 	119 , 	8 , 	7 , 	8 , 	7 , 	6 , 	19 , 	74 , 	10 , 	85 , 	26 , 	21 , 	76 , 	7 , 	305 , 	158 , 	427 , 	133 , 	28 , 	28 , 	20 , 	22 , 	26 , 	8 , 	5 , 	10 , 	13 , 	79 , 	7 , 	6 , 	83 , 	12 ," 	2,149 ",,,Dtwn SF," 	2,784 ",,,,,,,
WC, 	9 , 	22 , 	19 , 	14 , 	195 , 	21 , 	51 , 	38 , 	82 , 	11 , 	29 , 	116 , 	13 , 	13 , 	8 , 	7 , 	7 , 	18 , 	294 , 	103 , 	11 , 	55 , 	41 , 	125 , 	11 , 	396 , 	207 , 	540 , 	205 , 	41 , 	38 , 	30 , 	23 , 	35 , 	9 , 	4 , 	9 , 	27 , 	114 , 	9 , 	9 , 	101 , 	21 ," 	3,132 ",,,OAK," 	14,517 ", 	996 ,,,,,,
