Exit stations,Entry stations->,,WEEKDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,,
CL, 	107 , 	230 , 	92 , 	100 , 	293 , 	135 , 	246 , 	217 , 	406 , 	228 , 	265 , 	13 , 	191 , 	250 , 	235 , 	135 , 	139 , 	293 , 	98 , 	112 , 	105 , 	59 , 	43 , 	69 , 	120 , 	634 , 	500 , 	588 , 	422 , 	137 , 	122 , 	57 , 	70 , 	81 , 	24 , 	89 , 	456 , 	47 , 	148 , 	24 , 	23 , 	54 , 	34 ," 	7,690 ",,,CM line," 	34,537 "," 	3,363 "," 	9,418 "," 	2,720 "," 	2,023 "," 	2,962 "," 	2,829 "," 	57,853 ",
SL, 	45 , 	62 , 	30 , 	29 , 	170 , 	55 , 	122 , 	233 , 	386 , 	261 , 	303 , 	200 , 	10 , 	129 , 	189 , 	88 , 	76 , 	111 , 	36 , 	23 , 	28 , 	9 , 	8 , 	20 , 	43 , 	665 , 	588 , 	499 , 	380 , 	81 , 	68 , 	33 , 	45 , 	54 , 	14 , 	46 , 	149 , 	9 , 	42 , 	17 , 	26 , 	36 , 	15 ," 	5,432 ",,,RM line," 	13,847 "," 	5,929 "," 	2,909 "," 	7,274 "," 	1,698 "," 	4,399 ", 	937 ," 	36,993 ",
BF, 	36 , 	54 , 	19 , 	26 , 	166 , 	53 , 	124 , 	223 , 	383 , 	225 , 	303 , 	251 , 	125 , 	10 , 	190 , 	152 , 	138 , 	276 , 	34 , 	16 , 	19 , 	7 , 	7 , 	17 , 	41 , 	591 , 	540 , 	468 , 	363 , 	85 , 	54 , 	29 , 	28 , 	50 , 	14 , 	73 , 	373 , 	8 , 	24 , 	10 , 	10 , 	24 , 	11 ," 	5,650 ",,,WP line," 	19,568 "," 	4,827 "," 	2,113 "," 	1,722 "," 	6,466 "," 	1,986 "," 	1,065 "," 	37,747 ",
HY, 	44 , 	67 , 	31 , 	22 , 	144 , 	46 , 	127 , 	205 , 	280 , 	160 , 	258 , 	236 , 	189 , 	194 , 	9 , 	157 , 	186 , 	374 , 	32 , 	20 , 	27 , 	9 , 	8 , 	22 , 	43 , 	411 , 	365 , 	301 , 	227 , 	68 , 	46 , 	25 , 	28 , 	35 , 	11 , 	23 , 	111 , 	12 , 	41 , 	11 , 	13 , 	18 , 	7 ," 	4,641 ",,,FT/ED line," 	22,712 "," 	8,619 "," 	3,083 "," 	4,467 "," 	2,011 "," 	14,891 ", 	955 ," 	56,737 ",
SH, 	27 , 	38 , 	9 , 	11 , 	100 , 	28 , 	69 , 	144 , 	211 , 	102 , 	122 , 	126 , 	87 , 	146 , 	140 , 	7 , 	71 , 	190 , 	21 , 	10 , 	19 , 	6 , 	5 , 	8 , 	23 , 	347 , 	333 , 	261 , 	222 , 	54 , 	32 , 	12 , 	18 , 	28 , 	5 , 	19 , 	63 , 	4 , 	18 , 	7 , 	7 , 	12 , 	7 ," 	3,170 ",,,SFIA," 	9,193 ", 	939 ," 	2,913 ", 	930 ," 	1,088 ", 	907 ," 	1,405 "," 	17,376 ",
UC, 	19 , 	36 , 	9 , 	13 , 	147 , 	35 , 	80 , 	181 , 	231 , 	129 , 	94 , 	132 , 	74 , 	150 , 	184 , 	75 , 	9 , 	189 , 	21 , 	18 , 	19 , 	7 , 	3 , 	12 , 	19 , 	612 , 	536 , 	351 , 	231 , 	43 , 	24 , 	16 , 	28 , 	34 , 	9 , 	15 , 	64 , 	4 , 	22 , 	5 , 	9 , 	28 , 	6 ," 	3,920 ",,,Entries," 	121,270 "," 	41,024 "," 	59,295 "," 	36,089 "," 	37,452 "," 	56,886 "," 	17,868 "," 	369,884 ",
FM, 	38 , 	98 , 	46 , 	35 , 	376 , 	65 , 	157 , 	382 , 	443 , 	171 , 	173 , 	285 , 	118 , 	294 , 	377 , 	193 , 	193 , 	27 , 	41 , 	29 , 	30 , 	7 , 	11 , 	33 , 	26 ," 	1,291 "," 	1,002 ", 	669 , 	388 , 	81 , 	42 , 	31 , 	36 , 	65 , 	11 , 	31 , 	100 , 	7 , 	44 , 	7 , 	13 , 	68 , 	9 ," 	7,545 ",,,,,,,,,,,,
CN, 	35 , 	54 , 	28 , 	17 , 	138 , 	35 , 	140 , 	238 , 	320 , 	29 , 	57 , 	100 , 	38 , 	35 , 	35 , 	23 , 	22 , 	38 , 	14 , 	129 , 	387 , 	123 , 	74 , 	103 , 	20 , 	772 , 	754 , 	449 , 	371 , 	78 , 	62 , 	39 , 	46 , 	63 , 	20 , 	6 , 	16 , 	90 , 	422 , 	18 , 	17 , 	79 , 	23 ," 	5,556 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,,
PH, 	18 , 	26 , 	21 , 	19 , 	171 , 	29 , 	115 , 	340 , 	414 , 	24 , 	31 , 	107 , 	23 , 	13 , 	18 , 	11 , 	20 , 	30 , 	139 , 	12 , 	143 , 	55 , 	48 , 	116 , 	15 ," 	1,388 "," 	1,280 ", 	587 , 	431 , 	95 , 	42 , 	54 , 	35 , 	72 , 	16 , 	4 , 	9 , 	51 , 	175 , 	18 , 	20 , 	106 , 	27 ," 	6,369 ",,,Dtwn SF," 	6,222 ",,,,,,,,
WC, 	23 , 	47 , 	28 , 	28 , 	172 , 	36 , 	154 , 	265 , 	339 , 	29 , 	52 , 	104 , 	28 , 	19 , 	27 , 	18 , 	18 , 	28 , 	461 , 	151 , 	18 , 	89 , 	81 , 	190 , 	18 ," 	1,181 "," 	1,052 ", 	566 , 	364 , 	73 , 	53 , 	52 , 	37 , 	70 , 	21 , 	10 , 	10 , 	90 , 	270 , 	19 , 	17 , 	134 , 	29 ," 	6,470 ",,,OAK," 	30,513 "," 	2,024 ",,,,,,,
