Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV, 	86 , 	93 , 	42 , 	60 , 	276 , 	99 , 	136 , 	176 , 	220 , 	136 , 	24 , 	217 , 	207 , 	185 , 	168 , 	76 , 	78 , 	85 , 	41 , 	23 , 	37 , 	14 , 	22 , 	54 , 	75 , 	927 , 	964 , 	824 , 	780 , 	337 , 	214 , 	68 , 	80 , 	60 , 	11 , 	47 , 	129 , 	6 , 	24 , 	18 , 	23 , 	75 , 	23 , 	59 , 	14 , 	83 , 	-   , 	-   , 	11 , 	18 ," 	7,425 ",,,,,,,,,,,,,
CL, 	73 , 	125 , 	46 , 	48 , 	167 , 	79 , 	132 , 	200 , 	265 , 	207 , 	216 , 	30 , 	130 , 	140 , 	131 , 	75 , 	79 , 	87 , 	56 , 	46 , 	47 , 	26 , 	17 , 	44 , 	81 , 	554 , 	528 , 	480 , 	393 , 	153 , 	124 , 	54 , 	56 , 	64 , 	13 , 	57 , 	175 , 	16 , 	35 , 	18 , 	17 , 	43 , 	19 , 	84 , 	24 , 	105 , 	-   , 	-   , 	22 , 	41 ," 	5,619 ",,,,,,,,,,,,,
SL, 	41 , 	56 , 	28 , 	26 , 	190 , 	50 , 	120 , 	230 , 	356 , 	296 , 	208 , 	132 , 	17 , 	114 , 	128 , 	64 , 	84 , 	101 , 	31 , 	27 , 	22 , 	8 , 	9 , 	24 , 	39 , 	766 , 	828 , 	591 , 	528 , 	174 , 	96 , 	46 , 	67 , 	54 , 	9 , 	39 , 	108 , 	9 , 	15 , 	13 , 	11 , 	54 , 	13 , 	61 , 	10 , 	82 , 	-   , 	-   , 	9 , 	18 ," 	6,002 ",,,,,,,,,,,,,
BF, 	21 , 	32 , 	14 , 	17 , 	122 , 	32 , 	80 , 	213 , 	298 , 	221 , 	181 , 	131 , 	110 , 	17 , 	80 , 	60 , 	81 , 	117 , 	18 , 	8 , 	13 , 	2 , 	3 , 	12 , 	33 , 	675 , 	686 , 	544 , 	438 , 	157 , 	85 , 	31 , 	43 , 	37 , 	11 , 	39 , 	135 , 	4 , 	8 , 	10 , 	15 , 	34 , 	10 , 	66 , 	6 , 	71 , 	-   , 	-   , 	4 , 	6 ," 	5,030 ",,,,,,,,,,,,,
HY, 	22 , 	49 , 	20 , 	23 , 	113 , 	38 , 	80 , 	208 , 	272 , 	125 , 	168 , 	131 , 	123 , 	82 , 	18 , 	85 , 	156 , 	197 , 	23 , 	14 , 	16 , 	7 , 	6 , 	14 , 	25 , 	477 , 	521 , 	358 , 	293 , 	96 , 	66 , 	33 , 	30 , 	30 , 	5 , 	17 , 	72 , 	6 , 	17 , 	7 , 	14 , 	30 , 	5 , 	31 , 	9 , 	108 , 	-   , 	-   , 	9 , 	16 ," 	4,262 ",,,,,,,,,,,,,
SH, 	18 , 	23 , 	7 , 	8 , 	75 , 	20 , 	41 , 	132 , 	165 , 	71 , 	71 , 	78 , 	64 , 	58 , 	72 , 	12 , 	64 , 	91 , 	9 , 	8 , 	10 , 	1 , 	2 , 	5 , 	13 , 	424 , 	394 , 	247 , 	252 , 	80 , 	46 , 	18 , 	17 , 	21 , 	6 , 	11 , 	36 , 	2 , 	8 , 	5 , 	7 , 	21 , 	5 , 	20 , 	6 , 	88 , 	-   , 	-   , 	2 , 	5 ," 	2,838 ",,,,,,,,,,,,,
UC, 	18 , 	33 , 	15 , 	20 , 	181 , 	37 , 	65 , 	192 , 	227 , 	110 , 	82 , 	81 , 	86 , 	84 , 	153 , 	63 , 	23 , 	244 , 	14 , 	12 , 	16 , 	4 , 	3 , 	9 , 	13 , 	898 , 	789 , 	389 , 	365 , 	105 , 	39 , 	18 , 	21 , 	27 , 	8 , 	14 , 	68 , 	2 , 	9 , 	7 , 	4 , 	27 , 	4 , 	33 , 	16 , 	85 , 	-   , 	-   , 	5 , 	10 ," 	4,724 ",,,,,,,,,,,,,
FM, 	27 , 	36 , 	24 , 	24 , 	197 , 	29 , 	79 , 	245 , 	254 , 	102 , 	103 , 	88 , 	97 , 	114 , 	195 , 	97 , 	296 , 	37 , 	17 , 	15 , 	13 , 	5 , 	9 , 	12 , 	17 ," 	1,331 "," 	1,116 ", 	408 , 	381 , 	119 , 	34 , 	18 , 	18 , 	24 , 	5 , 	22 , 	54 , 	4 , 	9 , 	4 , 	8 , 	37 , 	4 , 	25 , 	19 , 	89 , 	-   , 	-   , 	4 , 	8 ," 	5,873 ",,,,,,,,,,,,,
CN, 	23 , 	27 , 	16 , 	20 , 	101 , 	26 , 	135 , 	278 , 	310 , 	30 , 	39 , 	53 , 	27 , 	19 , 	22 , 	8 , 	16 , 	17 , 	27 , 	92 , 	210 , 	75 , 	38 , 	81 , 	16 , 	854 , 	811 , 	483 , 	454 , 	157 , 	85 , 	49 , 	47 , 	52 , 	21 , 	4 , 	11 , 	46 , 	139 , 	23 , 	23 , 	148 , 	32 , 	4 , 	34 , 	13 , 	-   , 	-   , 	99 , 	100 ," 	5,396 ",,,,,,,,,,,,,
PH, 	19 , 	18 , 	22 , 	20 , 	136 , 	20 , 	163 , 	363 , 	431 , 	22 , 	18 , 	44 , 	27 , 	7 , 	15 , 	6 , 	12 , 	17 , 	87 , 	27 , 	95 , 	49 , 	32 , 	114 , 	15 ," 	1,659 "," 	1,650 ", 	630 , 	623 , 	192 , 	82 , 	91 , 	47 , 	48 , 	12 , 	4 , 	5 , 	39 , 	76 , 	24 , 	30 , 	203 , 	22 , 	3 , 	42 , 	16 , 	-   , 	-   , 	29 , 	56 ," 	7,361 ",,,,,,,,,,,,,
