Exit stations,Entry stations->,,SATURDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	17 , 	48 , 	64 , 	30 , 	185 , 	57 , 	64 , 	40 , 	51 , 	15 , 	44 , 	40 , 	25 , 	15 , 	20 , 	10 , 	10 , 	13 , 	13 , 	6 , 	8 , 	4 , 	4 , 	16 , 	16 , 	170 , 	114 , 	294 , 	113 , 	90 , 	112 , 	20 , 	36 , 	26 , 	5 , 	3 , 	8 , 	3 , 	11 , 	6 , 	8 , 	41 , 	11 , 	2 , 	8 , 	12 , 	-   , 	-   , 	4 , 	5 ," 	1,912 ",,,,,,,,,,
EN, 	50 , 	12 , 	47 , 	47 , 	314 , 	76 , 	87 , 	82 , 	112 , 	22 , 	72 , 	102 , 	28 , 	26 , 	26 , 	13 , 	13 , 	17 , 	15 , 	9 , 	13 , 	3 , 	8 , 	15 , 	22 , 	288 , 	181 , 	487 , 	184 , 	101 , 	103 , 	34 , 	36 , 	36 , 	20 , 	5 , 	17 , 	4 , 	12 , 	10 , 	16 , 	93 , 	17 , 	3 , 	27 , 	26 , 	-   , 	-   , 	6 , 	10 ," 	2,943 ",,,,,,,,,,
EP, 	69 , 	47 , 	13 , 	37 , 	315 , 	38 , 	73 , 	72 , 	81 , 	31 , 	36 , 	59 , 	18 , 	13 , 	11 , 	5 , 	9 , 	18 , 	11 , 	11 , 	10 , 	6 , 	4 , 	18 , 	12 , 	202 , 	131 , 	276 , 	117 , 	66 , 	49 , 	18 , 	18 , 	20 , 	8 , 	5 , 	8 , 	1 , 	5 , 	4 , 	4 , 	70 , 	13 , 	3 , 	19 , 	15 , 	-   , 	-   , 	0 , 	6 ," 	2,070 ",,,,,,,,,,
NB, 	33 , 	45 , 	30 , 	16 , 	104 , 	30 , 	44 , 	65 , 	67 , 	16 , 	31 , 	53 , 	22 , 	9 , 	10 , 	7 , 	11 , 	16 , 	8 , 	10 , 	13 , 	6 , 	5 , 	8 , 	10 , 	252 , 	148 , 	217 , 	165 , 	113 , 	67 , 	23 , 	13 , 	20 , 	8 , 	3 , 	8 , 	2 , 	3 , 	2 , 	3 , 	74 , 	15 , 	3 , 	24 , 	17 , 	-   , 	-   , 	1 , 	3 ," 	1,847 ",,,,,,,,,,
BK, 	208 , 	324 , 	341 , 	119 , 	60 , 	171 , 	178 , 	209 , 	208 , 	81 , 	144 , 	180 , 	70 , 	58 , 	48 , 	28 , 	60 , 	84 , 	53 , 	42 , 	48 , 	27 , 	23 , 	24 , 	51 , 	749 , 	404 , 	890 , 	475 , 	298 , 	200 , 	86 , 	57 , 	69 , 	14 , 	19 , 	70 , 	9 , 	18 , 	13 , 	18 , 	140 , 	98 , 	19 , 	39 , 	142 , 	-   , 	-   , 	7 , 	9 ," 	6,679 ",,,,,,,,,,
AS, 	60 , 	70 , 	38 , 	23 , 	149 , 	13 , 	59 , 	87 , 	83 , 	23 , 	52 , 	57 , 	28 , 	20 , 	18 , 	8 , 	13 , 	14 , 	11 , 	10 , 	6 , 	5 , 	3 , 	7 , 	21 , 	200 , 	147 , 	223 , 	163 , 	126 , 	94 , 	27 , 	15 , 	17 , 	2 , 	5 , 	14 , 	2 , 	6 , 	5 , 	5 , 	60 , 	14 , 	4 , 	23 , 	21 , 	-   , 	-   , 	2 , 	3 ," 	2,050 ",,,,,,,,,,
MA, 	79 , 	94 , 	66 , 	47 , 	192 , 	73 , 	31 , 	81 , 	88 , 	24 , 	93 , 	102 , 	43 , 	37 , 	29 , 	13 , 	16 , 	22 , 	40 , 	31 , 	47 , 	19 , 	15 , 	37 , 	26 , 	359 , 	255 , 	441 , 	345 , 	243 , 	165 , 	43 , 	33 , 	28 , 	8 , 	7 , 	18 , 	11 , 	35 , 	5 , 	10 , 	92 , 	21 , 	7 , 	20 , 	31 , 	-   , 	-   , 	14 , 	31 ," 	3,562 ",,,,,,,,,,
19, 	41 , 	89 , 	67 , 	67 , 	189 , 	78 , 	82 , 	33 , 	17 , 	12 , 	58 , 	107 , 	59 , 	41 , 	28 , 	21 , 	24 , 	26 , 	32 , 	41 , 	40 , 	23 , 	16 , 	54 , 	34 , 	300 , 	242 , 	452 , 	292 , 	210 , 	160 , 	43 , 	36 , 	41 , 	7 , 	9 , 	17 , 	7 , 	23 , 	10 , 	13 , 	72 , 	26 , 	8 , 	15 , 	31 , 	-   , 	-   , 	8 , 	11 ," 	3,308 ",,,,,,,,,,
12, 	62 , 	112 , 	75 , 	76 , 	205 , 	86 , 	98 , 	12 , 	29 , 	17 , 	87 , 	100 , 	76 , 	90 , 	66 , 	29 , 	36 , 	43 , 	52 , 	48 , 	46 , 	26 , 	30 , 	73 , 	51 , 	350 , 	251 , 	498 , 	263 , 	151 , 	126 , 	49 , 	51 , 	55 , 	20 , 	13 , 	20 , 	12 , 	31 , 	13 , 	18 , 	104 , 	44 , 	8 , 	18 , 	38 , 	-   , 	-   , 	7 , 	32 ," 	3,789 ",,,,,,,,,,
LM, 	15 , 	29 , 	26 , 	20 , 	92 , 	30 , 	30 , 	9 , 	16 , 	13 , 	86 , 	166 , 	136 , 	124 , 	48 , 	27 , 	38 , 	49 , 	12 , 	7 , 	11 , 	5 , 	2 , 	11 , 	25 , 	314 , 	236 , 	480 , 	242 , 	179 , 	123 , 	41 , 	43 , 	31 , 	4 , 	63 , 	88 , 	2 , 	5 , 	2 , 	7 , 	26 , 	10 , 	41 , 	17 , 	48 , 	-   , 	-   , 	2 , 	5 ," 	3,036 ",,,,,,,,,,
FV, 	49 , 	65 , 	34 , 	30 , 	137 , 	56 , 	83 , 	65 , 	85 , 	55 , 	17 , 	194 , 	131 , 	143 , 	79 , 	45 , 	38 , 	47 , 	20 , 	13 , 	14 , 	10 , 	13 , 	33 , 	44 , 	328 , 	245 , 	555 , 	284 , 	156 , 	135 , 	30 , 	50 , 	41 , 	9 , 	32 , 	73 , 	4 , 	15 , 	7 , 	14 , 	51 , 	11 , 	42 , 	14 , 	47 , 	-   , 	-   , 	4 , 	14 ," 	3,655 ",,,,,,,,,,
CL, 	44 , 	111 , 	63 , 	57 , 	179 , 	57 , 	100 , 	95 , 	117 , 	122 , 	180 , 	16 , 	180 , 	137 , 	92 , 	64 , 	89 , 	121 , 	51 , 	73 , 	82 , 	45 , 	30 , 	55 , 	55 , 	229 , 	168 , 	370 , 	162 , 	100 , 	92 , 	40 , 	37 , 	64 , 	8 , 	94 , 	300 , 	23 , 	32 , 	13 , 	11 , 	28 , 	20 , 	144 , 	19 , 	135 , 	-   , 	-   , 	12 , 	36 ," 	4,346 ",,,,,,,,,,
SL, 	24 , 	29 , 	17 , 	19 , 	70 , 	28 , 	47 , 	65 , 	97 , 	132 , 	131 , 	181 , 	13 , 	79 , 	55 , 	30 , 	30 , 	38 , 	8 , 	8 , 	10 , 	2 , 	3 , 	14 , 	23 , 	221 , 	184 , 	365 , 	161 , 	62 , 	46 , 	23 , 	28 , 	31 , 	5 , 	23 , 	50 , 	3 , 	7 , 	6 , 	10 , 	38 , 	7 , 	31 , 	5 , 	33 , 	-   , 	-   , 	3 , 	7 ," 	2,494 ",,,,,,,,,,
BF, 	19 , 	27 , 	11 , 	10 , 	60 , 	18 , 	41 , 	48 , 	88 , 	112 , 	146 , 	142 , 	73 , 	10 , 	58 , 	47 , 	40 , 	45 , 	10 , 	4 , 	7 , 	4 , 	4 , 	10 , 	28 , 	179 , 	150 , 	355 , 	116 , 	42 , 	33 , 	14 , 	29 , 	21 , 	8 , 	26 , 	71 , 	1 , 	7 , 	4 , 	7 , 	25 , 	5 , 	47 , 	7 , 	40 , 	-   , 	-   , 	3 , 	4 ," 	2,249 ",,,,,,,,,,
HY, 	14 , 	30 , 	11 , 	10 , 	49 , 	17 , 	28 , 	36 , 	60 , 	39 , 	88 , 	92 , 	58 , 	59 , 	7 , 	49 , 	54 , 	70 , 	10 , 	7 , 	8 , 	2 , 	2 , 	6 , 	16 , 	106 , 	63 , 	187 , 	71 , 	33 , 	26 , 	13 , 	14 , 	18 , 	4 , 	9 , 	28 , 	1 , 	8 , 	4 , 	4 , 	17 , 	4 , 	17 , 	10 , 	43 , 	-   , 	-   , 	5 , 	8 ," 	1,508 ",,,,,,,,,,
SH, 	10 , 	11 , 	4 , 	7 , 	22 , 	7 , 	13 , 	24 , 	30 , 	25 , 	35 , 	66 , 	33 , 	44 , 	47 , 	7 , 	28 , 	35 , 	7 , 	4 , 	3 , 	2 , 	3 , 	4 , 	8 , 	78 , 	55 , 	124 , 	54 , 	20 , 	22 , 	6 , 	9 , 	14 , 	3 , 	6 , 	16 , 	1 , 	6 , 	3 , 	8 , 	16 , 	1 , 	13 , 	8 , 	33 , 	-   , 	-   , 	2 , 	3 , 	976 ,,,,,,,,,,
UC, 	9 , 	16 , 	9 , 	9 , 	62 , 	15 , 	18 , 	25 , 	37 , 	43 , 	37 , 	78 , 	30 , 	44 , 	51 , 	27 , 	14 , 	32 , 	10 , 	5 , 	6 , 	1 , 	2 , 	5 , 	6 , 	176 , 	99 , 	217 , 	91 , 	36 , 	22 , 	11 , 	12 , 	16 , 	6 , 	6 , 	27 , 	1 , 	6 , 	3 , 	2 , 	20 , 	2 , 	16 , 	10 , 	42 , 	-   , 	-   , 	4 , 	5 ," 	1,416 ",,,,,,,,,,
FM, 	13 , 	17 , 	13 , 	16 , 	87 , 	16 , 	26 , 	30 , 	41 , 	45 , 	47 , 	127 , 	30 , 	47 , 	66 , 	35 , 	35 , 	18 , 	10 , 	8 , 	6 , 	2 , 	2 , 	4 , 	7 , 	206 , 	119 , 	260 , 	107 , 	45 , 	24 , 	9 , 	10 , 	18 , 	3 , 	6 , 	28 , 	1 , 	2 , 	3 , 	2 , 	25 , 	3 , 	10 , 	17 , 	43 , 	-   , 	-   , 	1 , 	5 ," 	1,690 ",,,,,,,,,,
