Exit stations,Entry stations->,,SUNDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	34 , 	43 , 	19 , 	145 , 	37 , 	41 , 	35 , 	39 , 	25 , 	38 , 	42 , 	14 , 	12 , 	11 , 	8 , 	6 , 	7 , 	9 , 	5 , 	6 , 	2 , 	2 , 	13 , 	13 , 	126 , 	76 , 	206 , 	77 , 	51 , 	63 , 	17 , 	20 , 	15 , 	4 , 	1 , 	6 , 	1 , 	7 , 	3 , 	7 , 	41 , 	10 , 	3 , 	11 , 	11 , 	-   , 	-   , 	7 , 	6 ," 	1,383 ",,,,,,,,,,,
EN, 	40 , 	12 , 	30 , 	31 , 	207 , 	53 , 	58 , 	47 , 	85 , 	30 , 	45 , 	95 , 	21 , 	24 , 	11 , 	7 , 	9 , 	13 , 	14 , 	7 , 	9 , 	4 , 	4 , 	14 , 	19 , 	184 , 	105 , 	297 , 	133 , 	70 , 	56 , 	21 , 	23 , 	29 , 	13 , 	4 , 	9 , 	2 , 	9 , 	11 , 	12 , 	88 , 	8 , 	6 , 	29 , 	22 , 	-   , 	-   , 	3 , 	6 ," 	2,023 ",,,,,,,,,,,
EP, 	45 , 	39 , 	11 , 	26 , 	252 , 	39 , 	41 , 	43 , 	58 , 	23 , 	24 , 	57 , 	11 , 	8 , 	8 , 	4 , 	7 , 	11 , 	7 , 	8 , 	11 , 	3 , 	7 , 	12 , 	5 , 	136 , 	74 , 	168 , 	84 , 	40 , 	28 , 	19 , 	10 , 	11 , 	5 , 	2 , 	8 , 	1 , 	2 , 	3 , 	5 , 	61 , 	10 , 	1 , 	23 , 	16 , 	-   , 	-   , 	1 , 	6 ," 	1,474 ",,,,,,,,,,,
NB, 	23 , 	37 , 	22 , 	14 , 	73 , 	21 , 	38 , 	53 , 	38 , 	19 , 	29 , 	61 , 	14 , 	9 , 	6 , 	2 , 	8 , 	11 , 	7 , 	8 , 	13 , 	5 , 	4 , 	6 , 	9 , 	187 , 	89 , 	142 , 	118 , 	72 , 	58 , 	10 , 	8 , 	11 , 	3 , 	3 , 	8 , 	1 , 	3 , 	2 , 	3 , 	88 , 	9 , 	4 , 	32 , 	20 , 	-   , 	-   , 	1 , 	1 ," 	1,399 ",,,,,,,,,,,
BK, 	158 , 	216 , 	250 , 	77 , 	46 , 	110 , 	123 , 	157 , 	149 , 	77 , 	101 , 	102 , 	45 , 	34 , 	37 , 	18 , 	48 , 	74 , 	23 , 	33 , 	38 , 	24 , 	16 , 	17 , 	31 , 	428 , 	255 , 	573 , 	279 , 	144 , 	105 , 	52 , 	35 , 	52 , 	10 , 	14 , 	67 , 	7 , 	9 , 	15 , 	21 , 	214 , 	52 , 	25 , 	66 , 	176 , 	-   , 	-   , 	4 , 	11 ," 	4,611 ",,,,,,,,,,,
AS, 	42 , 	50 , 	37 , 	23 , 	113 , 	11 , 	46 , 	63 , 	57 , 	28 , 	37 , 	51 , 	14 , 	14 , 	15 , 	5 , 	12 , 	8 , 	6 , 	5 , 	8 , 	5 , 	4 , 	6 , 	15 , 	142 , 	69 , 	154 , 	123 , 	77 , 	60 , 	19 , 	10 , 	10 , 	1 , 	4 , 	10 , 	1 , 	5 , 	3 , 	3 , 	65 , 	9 , 	5 , 	24 , 	18 , 	-   , 	-   , 	1 , 	4 ," 	1,484 ",,,,,,,,,,,
MA, 	48 , 	61 , 	40 , 	36 , 	121 , 	52 , 	19 , 	60 , 	74 , 	31 , 	70 , 	113 , 	36 , 	26 , 	23 , 	15 , 	14 , 	14 , 	25 , 	27 , 	34 , 	17 , 	11 , 	30 , 	21 , 	313 , 	175 , 	324 , 	272 , 	180 , 	124 , 	32 , 	28 , 	26 , 	6 , 	9 , 	23 , 	6 , 	21 , 	3 , 	11 , 	135 , 	17 , 	12 , 	35 , 	22 , 	-   , 	-   , 	9 , 	19 ," 	2,815 ",,,,,,,,,,,
19, 	30 , 	51 , 	46 , 	47 , 	139 , 	59 , 	56 , 	16 , 	8 , 	17 , 	50 , 	75 , 	35 , 	27 , 	26 , 	10 , 	14 , 	22 , 	25 , 	20 , 	30 , 	15 , 	12 , 	40 , 	28 , 	240 , 	186 , 	338 , 	245 , 	168 , 	115 , 	30 , 	29 , 	34 , 	6 , 	12 , 	16 , 	4 , 	16 , 	7 , 	9 , 	120 , 	13 , 	9 , 	38 , 	33 , 	-   , 	-   , 	4 , 	13 ," 	2,578 ",,,,,,,,,,,
12, 	36 , 	76 , 	54 , 	42 , 	153 , 	56 , 	61 , 	15 , 	20 , 	18 , 	73 , 	108 , 	66 , 	65 , 	39 , 	24 , 	29 , 	39 , 	34 , 	32 , 	32 , 	20 , 	14 , 	61 , 	44 , 	392 , 	269 , 	561 , 	305 , 	185 , 	129 , 	47 , 	59 , 	52 , 	16 , 	18 , 	36 , 	9 , 	21 , 	11 , 	19 , 	144 , 	26 , 	13 , 	40 , 	45 , 	-   , 	-   , 	7 , 	15 ," 	3,622 ",,,,,,,,,,,
LM, 	29 , 	35 , 	24 , 	24 , 	79 , 	32 , 	34 , 	16 , 	14 , 	12 , 	103 , 	121 , 	97 , 	102 , 	41 , 	24 , 	40 , 	33 , 	10 , 	6 , 	9 , 	4 , 	6 , 	10 , 	14 , 	88 , 	65 , 	154 , 	81 , 	50 , 	37 , 	18 , 	20 , 	19 , 	3 , 	39 , 	54 , 	1 , 	9 , 	2 , 	7 , 	23 , 	6 , 	23 , 	29 , 	47 , 	-   , 	-   , 	1 , 	7 ," 	1,697 ",,,,,,,,,,,
