Fast Pass Adjusted OD,,,,,,Oct 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,39,124,148,525,880,740,"1,113","3,616"
MT,43,48,79,140,761,"1,283","1,045","2,320","5,718"
PL,175,101,63,100,652,993,639,"1,742","4,464"
CC,135,129,119,47,527,695,481,"1,320","3,452"
16,448,588,844,520,19,224,200,612,"3,456"
24,738,989,"1,205",725,228,29,136,570,"4,621"
GP,681,816,871,435,203,151,20,135,"3,312"
BP,972,"1,354","2,723","1,236",626,596,146,30,"7,685"
Entries,"3,240","4,064","6,029","3,351","3,541","4,851","3,406","7,842","36,323"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,8,42,36,204,232,122,247,911
MT,7,18,21,26,285,369,313,"1,051","2,089"
PL,44,17,61,43,499,730,425,"1,056","2,876"
CC,29,19,59,37,315,379,197,459,"1,494"
16,173,178,610,319,16,134,102,265,"1,797"
24,182,216,833,378,132,33,96,260,"2,129"
GP,101,154,607,165,105,99,19,63,"1,311"
BP,231,344,"1,847",436,278,261,69,28,"3,494"
Entries,787,953,"4,079","1,441","1,832","2,237","1,342","3,429","16,101"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,5,27,19,147,153,74,159,604
MT,6,16,15,19,178,214,188,669,"1,304"
PL,26,12,49,32,364,542,280,730,"2,036"
CC,22,12,45,41,278,295,128,338,"1,158"
16,131,127,438,267,24,96,73,179,"1,335"
24,146,154,612,322,91,36,74,186,"1,621"
GP,79,86,441,112,77,65,15,29,904
BP,164,225,"1,348",295,172,188,31,25,"2,448"
Entries,592,637,"2,975","1,107","1,331","1,589",863,"2,315","11,409"
