Exit stations,Entry stations->,,SATURDAY,,,Aug 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	71 , 	99 , 	46 , 	53 , 	178 , 	85 , 	121 , 	143 , 	147 , 	86 , 	23 , 	243 , 	144 , 	214 , 	133 , 	56 , 	55 , 	100 , 	31 , 	12 , 	23 , 	15 , 	14 , 	30 , 	66 , 	325 , 	243 , 	612 , 	311 , 	168 , 	136 , 	28 , 	52 , 	35 , 	8 , 	44 , 	81 , 	3 , 	46 , 	7 , 	16 , 	46 , 	16 , 	49 , 	10 , 	-   ," 	4,423 ",,,OAK," 	7,771 "," 	1,239 "," 	2,347 "," 	3,054 "," 	1,472 "," 	3,301 ", 	524 ," 	19,709 "
CL, 	59 , 	159 , 	78 , 	82 , 	130 , 	86 , 	139 , 	143 , 	196 , 	150 , 	249 , 	20 , 	200 , 	244 , 	165 , 	80 , 	111 , 	241 , 	68 , 	85 , 	66 , 	46 , 	39 , 	67 , 	59 , 	221 , 	138 , 	339 , 	176 , 	73 , 	71 , 	30 , 	41 , 	42 , 	7 , 	122 , 	393 , 	36 , 	89 , 	7 , 	13 , 	24 , 	16 , 	145 , 	24 , 	-   ," 	4,970 ",,,CM line," 	15,749 "," 	2,371 "," 	5,617 "," 	2,025 "," 	1,262 "," 	1,752 "," 	2,634 "," 	31,411 "
SL, 	24 , 	46 , 	21 , 	23 , 	100 , 	40 , 	50 , 	82 , 	132 , 	154 , 	150 , 	193 , 	13 , 	101 , 	117 , 	34 , 	42 , 	57 , 	19 , 	10 , 	15 , 	3 , 	6 , 	21 , 	22 , 	221 , 	146 , 	372 , 	145 , 	65 , 	45 , 	23 , 	24 , 	27 , 	6 , 	34 , 	51 , 	3 , 	20 , 	9 , 	6 , 	32 , 	8 , 	45 , 	7 , 	-   ," 	2,766 ",,,RM line," 	7,325 "," 	3,105 "," 	2,010 "," 	4,436 ", 	922 ," 	2,564 ", 	775 ," 	21,136 "
BF, 	23 , 	41 , 	16 , 	17 , 	88 , 	25 , 	57 , 	87 , 	131 , 	140 , 	213 , 	232 , 	100 , 	19 , 	121 , 	62 , 	73 , 	176 , 	16 , 	9 , 	13 , 	4 , 	5 , 	17 , 	30 , 	193 , 	145 , 	348 , 	134 , 	44 , 	34 , 	15 , 	33 , 	24 , 	7 , 	58 , 	106 , 	3 , 	23 , 	5 , 	9 , 	20 , 	5 , 	98 , 	7 , 	-   ," 	3,028 ",,,WP line," 	7,063 "," 	1,549 "," 	1,286 ", 	968 ," 	3,138 "," 	1,187 ", 	841 ," 	16,032 "
HY, 	21 , 	35 , 	9 , 	14 , 	72 , 	19 , 	40 , 	71 , 	87 , 	55 , 	133 , 	159 , 	106 , 	123 , 	17 , 	64 , 	78 , 	154 , 	13 , 	5 , 	9 , 	5 , 	2 , 	12 , 	19 , 	136 , 	70 , 	208 , 	77 , 	31 , 	25 , 	10 , 	14 , 	18 , 	4 , 	23 , 	39 , 	2 , 	24 , 	5 , 	8 , 	16 , 	5 , 	32 , 	9 , 	-   ," 	2,079 ",,,FT/ED line," 	9,158 "," 	3,378 "," 	1,814 "," 	2,733 "," 	1,231 "," 	9,309 ", 	524 ," 	28,147 "
SH, 	11 , 	21 , 	4 , 	7 , 	36 , 	11 , 	18 , 	27 , 	37 , 	30 , 	59 , 	72 , 	33 , 	72 , 	51 , 	10 , 	42 , 	95 , 	5 , 	4 , 	5 , 	3 , 	1 , 	4 , 	4 , 	80 , 	49 , 	138 , 	50 , 	22 , 	26 , 	5 , 	8 , 	14 , 	4 , 	11 , 	20 , 	1 , 	13 , 	4 , 	5 , 	8 , 	3 , 	18 , 	4 , 	-   ," 	1,143 ",,,SFIA," 	5,585 ", 	479 ," 	2,480 ", 	787 , 	706 , 	436 ," 	1,068 "," 	11,541 "
UC, 	9 , 	19 , 	11 , 	10 , 	81 , 	14 , 	22 , 	44 , 	62 , 	50 , 	53 , 	109 , 	37 , 	93 , 	77 , 	37 , 	23 , 	118 , 	13 , 	5 , 	6 , 	2 , 	2 , 	10 , 	7 , 	187 , 	91 , 	246 , 	89 , 	34 , 	20 , 	10 , 	14 , 	21 , 	3 , 	15 , 	37 , 	1 , 	10 , 	3 , 	4 , 	18 , 	3 , 	19 , 	9 , 	-   ," 	1,750 ",,,Entries," 	55,252 "," 	20,432 "," 	31,509 "," 	21,789 "," 	16,073 "," 	27,942 "," 	12,927 "," 	185,924 "
FM, 	22 , 	52 , 	27 , 	35 , 	301 , 	43 , 	57 , 	76 , 	110 , 	76 , 	113 , 	217 , 	67 , 	158 , 	168 , 	108 , 	126 , 	57 , 	26 , 	23 , 	25 , 	10 , 	9 , 	25 , 	18 , 	373 , 	202 , 	472 , 	192 , 	63 , 	32 , 	16 , 	30 , 	39 , 	7 , 	28 , 	89 , 	3 , 	24 , 	5 , 	8 , 	32 , 	5 , 	40 , 	29 , 	-   ," 	3,636 ",,,,,,,,,,,
CN, 	18 , 	24 , 	12 , 	14 , 	59 , 	13 , 	52 , 	55 , 	82 , 	12 , 	28 , 	61 , 	12 , 	11 , 	13 , 	8 , 	10 , 	25 , 	18 , 	71 , 	170 , 	63 , 	24 , 	45 , 	13 , 	225 , 	135 , 	316 , 	129 , 	50 , 	37 , 	21 , 	23 , 	23 , 	10 , 	5 , 	8 , 	23 , 	226 , 	11 , 	10 , 	69 , 	15 , 	3 , 	21 , 	-   ," 	2,275 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	11 , 	8 , 	7 , 	65 , 	14 , 	36 , 	54 , 	58 , 	11 , 	15 , 	76 , 	11 , 	8 , 	5 , 	2 , 	3 , 	18 , 	66 , 	18 , 	94 , 	25 , 	13 , 	56 , 	6 , 	313 , 	190 , 	308 , 	161 , 	53 , 	31 , 	17 , 	16 , 	16 , 	7 , 	3 , 	6 , 	12 , 	74 , 	6 , 	5 , 	102 , 	12 , 	2 , 	23 , 	-   ," 	2,041 ",,,Dtwn SF," 	2,601 ",,,,,,,
