Total Trip OD																																																			
																																																			
2024 / 04																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	397	"1,779"	"1,465"	931	"6,640"	"1,326"	"2,021"	"1,504"	"1,885"	648	"1,403"	"1,046"	614	335	397	267	172	223	397	213	457	243	144	302	494	"5,192"	"3,733"	"5,753"	"3,750"	"2,585"	"2,633"	637	878	"1,492"	300	74	143	75	309	221	364	"1,144"	241	51	203	270	107	277	144	286	"56,165"
EN	"1,918"	595	"1,717"	"1,266"	"10,870"	"1,864"	"2,920"	"3,540"	"4,855"	"1,225"	"1,915"	"1,439"	861	634	849	299	429	422	530	271	517	213	231	426	623	"10,294"	"8,286"	"10,688"	"7,956"	"3,506"	"2,660"	988	"1,102"	"2,743"	321	136	253	87	206	398	463	"1,800"	712	148	577	476	62	220	435	587	"95,533"
EP	"1,690"	"1,432"	283	774	"8,619"	"1,335"	"1,639"	"2,357"	"2,721"	830	736	536	458	248	245	100	239	205	222	224	313	148	113	362	126	"6,275"	"5,017"	"4,080"	"3,771"	"1,372"	957	451	343	802	91	109	110	56	90	114	210	"1,206"	261	88	472	156	12	60	189	240	"52,487"
NB	990	"1,200"	819	275	"2,220"	740	"1,120"	"1,882"	"1,904"	639	940	551	430	233	354	77	185	275	256	197	328	83	94	186	276	"7,165"	"4,971"	"3,661"	"4,081"	"1,940"	"1,161"	444	362	451	101	44	149	33	96	47	128	"1,702"	271	50	603	134	11	65	246	249	"44,419"
BK	"7,420"	"11,294"	"9,083"	"2,636"	"1,136"	"4,354"	"4,963"	"6,286"	"6,516"	"2,708"	"4,033"	"2,205"	"2,112"	"1,786"	"1,716"	"1,053"	"1,898"	"1,756"	"1,252"	"1,283"	"1,475"	795	409	435	"1,269"	"12,859"	"9,032"	"10,011"	"8,020"	"4,399"	"3,677"	"2,063"	"1,283"	"1,660"	477	469	"1,102"	255	839	500	584	"3,675"	"1,652"	375	"1,872"	862	204	550	"1,949"	"2,762"	"151,004"
AS	"1,312"	"1,759"	"1,319"	852	"4,306"	261	"1,193"	"2,061"	"2,179"	677	"1,392"	767	641	418	426	205	295	243	250	261	246	186	43	185	373	"6,236"	"4,871"	"4,206"	"4,346"	"2,354"	"1,387"	430	422	577	84	92	180	51	188	68	122	"1,174"	293	52	459	248	29	120	227	358	"50,424"
MA	"2,378"	"2,830"	"1,513"	"1,056"	"4,928"	"1,176"	712	"2,315"	"2,755"	838	"2,335"	"1,843"	"1,536"	986	927	571	698	698	"1,858"	"1,376"	"1,688"	643	471	"1,030"	975	"10,724"	"8,265"	"7,913"	"7,823"	"4,890"	"2,819"	960	997	"1,100"	215	228	499	375	"1,582"	238	308	"1,852"	441	304	510	506	418	"1,376"	495	707	"93,681"
19	"1,686"	"3,517"	"2,263"	"1,958"	"5,924"	"2,193"	"2,362"	498	521	462	"1,610"	"1,554"	"2,053"	"1,368"	"1,501"	854	"1,392"	"1,363"	"1,755"	"2,097"	"2,506"	"1,177"	879	"1,717"	"1,056"	"13,399"	"10,146"	"9,164"	"8,787"	"4,945"	"3,253"	"1,493"	"1,281"	"1,499"	388	332	935	556	"1,146"	491	555	"1,627"	646	494	465	559	279	"1,222"	731	884	"109,543"
12	"2,036"	"4,832"	"2,547"	"1,965"	"6,187"	"2,218"	"2,537"	411	639	342	"1,724"	"2,010"	"3,069"	"2,215"	"1,979"	"1,281"	"1,902"	"1,670"	"2,392"	"2,654"	"2,664"	"1,235"	992	"1,858"	"1,121"	"13,266"	"9,047"	"10,449"	"8,593"	"4,411"	"3,496"	"1,701"	"1,842"	"1,992"	774	365	"1,372"	768	"1,881"	690	857	"2,108"	919	427	560	684	296	"1,778"	799	"1,084"	"122,639"
LM	593	"1,137"	741	681	"2,712"	743	870	383	381	411	"2,544"	"2,628"	"4,587"	"3,354"	"2,101"	"1,302"	"1,507"	"1,198"	283	275	333	130	91	269	554	"8,518"	"6,752"	"7,139"	"6,167"	"2,962"	"2,190"	772	874	"1,140"	165	"1,567"	"2,827"	149	312	118	153	417	169	"1,386"	479	997	98	367	725	"1,040"	"77,291"
FV	"1,393"	"1,838"	785	807	"3,706"	"1,480"	"2,412"	"1,915"	"1,739"	"2,305"	668	"3,465"	"4,157"	"3,655"	"3,401"	"1,726"	"1,294"	"1,470"	505	280	441	259	319	658	"1,990"	"8,706"	"7,113"	"9,345"	"8,906"	"4,141"	"3,390"	776	"1,203"	"2,319"	142	957	"2,171"	58	321	165	308	864	228	944	240	"1,101"	124	355	776	"1,103"	"98,424"
