Avg Weekday Trip OD																																																			
																																																			
2024 / 04																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	13	71	57	36	263	52	80	60	77	26	56	42	24	14	15	11	7	9	16	9	18	10	6	11	19	206	156	228	156	103	103	26	34	62	12	3	5	3	13	9	14	42	10	2	8	11	4	12	5	10	"2,237"
EN	74	20	64	47	423	68	111	141	197	47	72	53	33	22	33	11	17	16	20	10	19	8	9	16	22	405	339	399	322	139	99	38	42	117	11	5	9	3	8	16	17	63	29	6	21	19	2	8	15	20	"3,703"
EP	63	53	10	28	333	48	63	93	111	31	26	19	17	10	9	3	10	7	9	9	12	6	5	13	4	248	204	145	150	52	34	17	13	34	3	4	4	2	4	5	8	42	11	3	17	6	0	2	7	8	"2,016"
NB	39	43	30	9	83	28	41	71	77	25	36	22	16	9	13	3	7	10	10	7	12	3	4	7	10	277	200	129	155	66	39	15	14	18	4	1	5	1	4	2	5	59	10	2	20	5	0	3	9	9	"1,665"
BK	295	437	350	100	37	171	188	241	251	107	156	88	81	71	65	42	73	65	52	51	57	31	16	16	46	443	325	316	280	152	132	73	49	59	18	16	39	9	35	20	22	130	57	13	71	33	8	23	66	88	"5,565"
AS	51	64	50	31	169	9	42	78	87	26	54	30	24	16	15	7	10	9	10	10	8	7	2	7	14	247	198	150	168	81	47	15	16	24	3	3	6	2	8	2	5	39	11	2	15	10	1	5	8	11	"1,908"
MA	94	109	56	37	187	41	15	86	106	31	88	73	61	38	37	23	26	27	75	56	67	25	19	36	37	421	334	286	300	177	103	36	39	43	8	9	20	15	67	9	12	64	16	12	18	20	17	57	17	23	"3,572"
19	69	141	88	74	225	83	86	18	22	18	62	62	81	55	59	35	59	56	72	88	102	49	36	63	40	532	416	335	341	181	119	58	53	60	16	14	38	24	49	21	22	55	25	20	16	23	12	51	29	33	"4,286"
12	85	197	105	80	236	87	98	17	23	13	69	80	128	92	82	54	82	71	102	114	112	52	42	72	42	523	368	387	336	163	133	68	74	83	32	16	60	33	82	29	34	75	37	19	22	29	12	77	33	44	"4,901"
LM	24	43	28	25	110	28	32	14	15	15	94	102	181	126	84	52	61	46	11	12	14	6	4	10	19	328	271	251	235	99	76	28	33	45	6	63	114	7	13	5	6	15	6	57	17	41	4	16	27	37	"2,952"
FV	54	68	29	30	141	56	90	74	69	85	25	134	161	135	132	68	52	58	19	12	16	10	13	25	75	342	289	349	350	153	125	29	49	97	5	35	84	2	12	6	12	31	9	33	9	45	4	14	29	38	"3,782"
CL	47	55	19	19	82	36	70	69	78	100	136	9	80	88	92	39	45	36	17	19	15	10	6	15	42	177	120	189	141	56	64	23	27	58	4	31	81	6	19	8	7	14	11	25	15	38	6	26	31	39	"2,437"
SL	26	32	14	18	80	25	63	86	135	189	172	91	19	80	133	71	63	98	13	12	14	3	5	14	27	335	310	288	236	89	61	23	36	69	4	26	95	2	11	6	5	23	6	32	7	49	2	14	40	41	"3,293"
BF	13	19	11	11	64	14	40	60	89	130	134	88	82	18	56	52	44	62	13	3	8	1	2	7	21	253	250	271	194	60	45	24	22	46	5	26	87	1	5	7	6	12	6	39	5	48	3	6	25	32	"2,518"
HY	16	33	10	12	62	17	36	59	83	81	132	90	139	65	17	54	118	129	15	8	9	4	2	6	24	162	128	128	109	43	22	14	14	30	5	10	38	1	12	6	5	9	6	16	7	78	3	10	56	62	"2,195"
SH	11	12	3	3	39	7	25	33	49	49	60	34	65	44	48	10	42	55	7	4	5	3	1	2	9	135	111	88	85	23	23	4	8	18	2	13	23	1	4	3	2	7	3	14	5	60	2	4	27	39	"1,319"
