Avg Saturday Trip OD																																																			
																																																			
2024 / 04																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	16	33	32	20	125	30	40	26	27	8	22	21	11	5	9	6	5	3	8	3	7	5	1	8	10	91	46	104	50	47	64	9	18	17	6	2	5	1	2	5	8	30	4	1	2	5	3	3	4	9	"1,010"
EN	41	23	44	27	229	54	68	65	77	22	50	37	20	18	20	9	9	9	12	7	15	6	4	12	20	203	123	268	123	73	80	24	27	27	12	5	7	2	6	8	13	50	12	2	17	11	3	5	14	17	"2,026"
EP	39	39	10	24	201	40	44	49	41	21	23	14	12	6	7	3	4	8	5	4	8	3	1	10	4	121	76	129	59	36	33	10	6	12	1	4	5	1	1	1	2	35	4	2	10	3	1	2	4	7	"1,180"
NB	19	31	19	11	63	18	35	43	33	12	18	12	10	4	13	3	7	8	2	5	9	1	1	6	9	152	78	118	91	77	43	12	7	11	5	1	4		3	1	4	42	6	1	19	4	1	2	5	7	"1,085"
BK	138	244	216	69	42	89	131	145	149	53	80	39	47	33	44	21	41	51	15	28	31	17	8	11	34	430	256	434	253	149	109	57	32	56	12	17	34	12	10	10	13	87	63	12	38	18	3	8	61	105	"4,050"
AS	27	52	26	23	92	11	39	50	39	16	31	16	12	11	12	5	10	7	6	6	8	3	1	6	8	111	67	122	96	86	51	13	11	10	1	3	6	1	3	2	3	37	7	2	13	6	1	2	7	16	"1,189"
MA	47	65	46	37	118	40	81	66	69	23	60	34	32	21	20	9	22	22	31	28	33	19	13	37	23	204	131	238	183	151	88	27	26	27	5	6	12	8	20	6	9	54	13	6	13	10	8	19	23	31	"2,307"
19	28	64	50	51	147	51	74	13	6	10	36	32	40	18	29	13	16	20	27	28	36	17	15	42	24	235	140	254	179	149	97	30	19	28	5	5	17	7	8	6	9	47	12	8	11	10	3	16	13	21	"2,211"
12	26	77	42	32	150	50	65	6	23	7	32	39	39	29	30	15	16	19	19	26	31	13	12	40	28	271	135	281	181	133	91	29	32	24	9	4	8	6	11	9	16	54	19	2	11	8	4	13	12	19	"2,241"
LM	7	23	18	19	42	17	30	10	8	10	51	52	84	79	37	23	24	26	4	2	3	2	1	8	15	174	116	215	135	108	65	19	18	16	4	23	45	1	4	2	3	7	4	18	11	12	0	2	20	32	"1,646"
FV	30	48	20	21	82	35	66	42	34	43	13	76	92	92	69	35	21	29	11	3	13	6	6	14	48	181	107	237	168	120	99	22	22	28	5	27	47	1	9	5	5	21	5	28	4	19	2	6	21	35	"2,169"
CL	23	36	11	11	36	17	38	29	37	47	74	9	50	46	35	22	27	17	6	6	6	6	2	7	28	74	43	113	55	37	38	8	14	21	4	13	39	1	7	4	7	10	3	13	13	17	2	10	14	20	"1,198"
SL	14	18	10	7	45	15	39	44	52	88	98	57	13	57	63	34	22	24	5	4	6	1	1	10	17	133	91	182	86	42	38	12	18	19	5	18	41	1	4	3	4	19	4	24	8	16	1	7	21	25	"1,559"
BF	6	15	7	6	33	12	23	23	36	72	88	54	56	13	47	37	22	27	9	1	6	1	1	2	17	112	80	213	59	31	30	13	12	17	3	17	45	2	4	2	5	7	3	29	4	20	2	4	20	19	"1,362"
