Avg Sunday Trip OD																																																			
																																																			
2024 / 04																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	12	24	23	14	92	17	25	19	19	13	21	12	9	4	6	3	2	2	6	3	7	3	2	6	10	75	29	78	32	33	28	7	15	13	4	1	2	2	3	3	4	23	4	0	4	4	3	2	3	7	728
EN	31	16	35	31	163	39	53	46	54	25	35	31	16	19	11	8	6	7	12	4	10	5	2	9	12	145	85	209	95	42	42	12	18	16	9	1	5	1	3	6	8	53	7	3	11	6	0	5	11	21	"1,490"
EP	37	30	7	14	124	32	23	31	28	15	20	17	8	3	3	3	4	4	2	4	6	2	2	7	3	83	59	92	57	22	19	8	7	4	3	2	3		1	2	4	33	2	1	13	2	0	2	4	9	855
NB	16	32	19	7	36	15	22	38	20	9	19	8	8	5	6	2	2	7	5	4	8	3	1	5	7	115	63	87	77	47	32	15	5	4	1	2	5	1	2	1	2	58	5	1	22	3	0	1	7	7	861
BK	94	177	128	41	37	57	75	103	97	38	70	26	34	22	28	13	31	33	14	14	22	14	5	9	30	348	216	330	210	117	83	58	19	37	7	11	25	3	8	6	13	117	36	11	42	19	2	6	66	100	"3,093"
AS	18	36	27	20	57	7	28	35	31	12	23	10	14	9	10	5	8	5	3	3	8	4	1	5	8	88	59	104	70	56	38	10	7	5	3	3	4	0	1	3	1	40	5	1	18	3	1	1	6	12	921
MA	29	42	23	21	88	26	13	38	39	15	43	25	18	20	10	6	9	7	20	10	21	7	3	22	17	163	99	166	125	97	53	16	12	13	4	2	5	4	10	3	4	55	7	7	16	6	3	10	9	18	"1,469"
19	15	40	32	32	96	39	42	13	6	9	28	17	27	19	20	7	8	13	14	15	31	8	4	40	22	186	108	194	143	93	64	24	11	19	4	3	8	3	7	4	8	56	10	3	15	6	2	9	12	20	"1,603"
12	17	48	21	21	97	26	33	5	13	5	21	24	24	22	14	7	10	10	17	9	22	9	6	32	21	170	102	202	117	73	50	21	22	17	7	2	6	2	9	6	11	62	10	1	10	3	2	10	9	9	"1,462"
LM	12	27	12	13	32	15	13	10	5	11	69	44	68	65	24	17	18	21	5	3	3	0	2	7	18	154	84	191	114	90	64	20	21	22	3	24	38		3	2	4	12	3	16	16	10	0	2	13	25	"1,441"
FV	19	36	17	18	67	27	41	29	21	64	15	56	63	81	53	26	18	18	13	4	9	3	3	15	36	115	83	181	131	73	61	14	12	17	4	22	35	1	6	5	5	23	3	25	7	11	5	8	13	29	"1,635"
CL	12	34	18	9	25	11	26	19	20	42	53	13	47	41	33	22	17	16	6	4	7	4	2	6	23	58	33	87	40	29	25	6	6	13	2	11	45	2	8	1	4	12	2	15	17	11	2	5	15	20	969
SL	12	18	6	7	37	16	25	32	26	80	66	51	10	37	42	22	17	16	4	2	4	1	1	7	14	104	72	146	69	28	25	8	13	11	2	16	32	1	3	0	4	16	2	22	6	12	2	5	10	23	"1,179"
BF	7	16	3	7	29	7	20	18	23	57	86	42	43	17	35	24	17	22	7	1	5	1	1	4	12	88	62	159	58	26	16	6	11	8	4	14	40	1	4	2	3	10	1	24	6	15	1	3	17	20	"1,095"
HY	7	13	3	6	28	9	10	20	19	24	57	29	49	34	9	23	33	41	6	2	7	2	1	3	9	49	30	63	29	13	14	4	9	10	2	6	22	3	3	1	5	7	2	10	6	29	2	4	30	31	821
SH	2	6	4	2	13	5	6	6	9	13	27	21	18	23	20	6	12	20	2	1	3	1	1	2	2	43	24	50	23	6	13	3	5	5	1	4	11	0	2	1	3	4	1	8	4	21	1	1	14	27	495
UC	3	10	3	1	34	7	10	12	10	18	21	17	9	20	37	16	8	25	2	1	2	2	0	2	4	69	37	68	31	9	10	4	2	7		4	11	3	2	1	1	10	1	6	8	30	1	2	32	34	651
FM	4	8	7	6	30	7	7	15	12	22	18	12	19	22	43	24	19	12	4	1	3		1	2	3	85	39	79	41	20	6	5	3	8	2	5	12	0	3		2	18	1	5	9	20	1	3	49	50	763
CN	4	13	1	4	16	4	24	18	16	7	11	7	4	4	6	2	1	3	23	27	84	66	5	17	5	83	49	80	35	17	17	5	5	11	3	1	1	8	48	5	4	37	2	2	9	2	22	32	2	5	853
PH	3	5	4	3	14	4	16	14	11	5	5	4	3	1	2		1	1	28	15	33	18	3	17	4	98	58	81	39	19	10	6	7	8	2	1	2	3	20	1	3	57	1	0	11	1	9	14	2	2	664
WC	6	11	4	7	24	6	20	28	20	4	7	5	3	4	5	3	2	3	98	37	17	23	10	44	5	140	73	91	57	26	15	11	9	11	4	1	2	7	33	3	3	63	2	2	19	2	13	28	2	7	"1,013"
LF	2	5	1	2	12	3	8	9	11	0	2	2		1	2	2	1	0	71	19	24	4	3	15	1	89	40	54	34	19	8	6	3	4	1		1	4	6	1	3	39	1		7	0	4	9	1	2	534
OR	2	1	1	1	6	2	6	5	6	1	3	2	1	3	1	0	1	1	5	4	11	5	4	22	2	74	27	35	28	18	8	3	2	2	2		1	1	4	0	1	31	1	0	2	0	1	4	1	2	338
RR	6	8	9	5	10	3	20	43	33	6	14	7	8	2	3	1	4	2	17	25	42	19	16	12	9	221	117	162	117	67	43	20	11	11	1	0	2	4	7	2	4	88	8	1	12	1	2	8	3	7	"1,238"
OW	7	11	4	5	25	8	19	23	28	11	40	20	10	13	8	3	3	6	6	5	6	1	2	12	18	298	154	323	197	143	79	14	21	21	6	3	14	3	5	5	7	54	6	4	5	3	2	8	4	4	"1,668"
EM	80	160	90	133	355	102	186	214	196	138	126	66	115	105	53	44	72	93	97	115	164	107	80	251	330	69	10	57	41	144	213	124	117	127	36	77	347	34	75	24	43	151	67	99	50	29	11	51	84	100	"5,644"
MT	35	102	60	86	314	83	130	123	130	98	87	45	86	72	37	39	48	56	60	64	71	36	33	133	191	11	28	14	21	115	138	78	147	115	37	44	130	13	43	34	36	134	47	37	23	24	8	28	66	64	"3,650"
PL	63	163	82	76	288	83	152	163	181	137	151	69	123	122	57	40	53	59	79	61	81	48	35	122	321	74	11	63	53	377	453	215	354	309	89	55	142	20	59	75	96	362	112	44	31	28	10	47	55	67	"6,005"
